Seed 1656949570
ARCH 2|F_ID 2|LIMIT 6
before: 
06(1000)
Melhor resultado nxn: macrophave_activation, 885, 18, 18,  917, 1, 6, 2616145, 84908.06, 0, 0.00, 1: 297; 2: 127; 3: 51; 4: 24; 5: 15; 6: 7; 
macrophave_activation, 885, 18, 18,  917, 1, 6, 2616145, 84908.06, 0, 0.00, 1: 297; 2: 127; 3: 51; 4: 24; 5: 15; 6: 7; 
macrophave_activation, 229, 17, 19,  920, 1, 6, 2600108, 84908.06, 0, 0.00, 1: 283; 2: 147; 3: 47; 4: 26; 5: 10; 6: 8; 
macrophave_activation, 711, 18, 18,  921, 1, 6, 2616137, 84908.06, 0, 0.00, 1: 286; 2: 139; 3: 45; 4: 35; 5: 14; 6: 2; 
macrophave_activation, 145, 16, 21,  921, 1, 6, 2695827, 84908.06, 1, 0.00, 1: 282; 2: 142; 3: 54; 4: 29; 5: 7; 6: 7; 
macrophave_activation, 950, 17, 20,  923, 1, 6, 2757483, 84908.06, 0, 0.00, 1: 288; 2: 138; 3: 48; 4: 27; 5: 13; 6: 7; 
macrophave_activation, 542, 21, 16,  923, 1, 6, 2695930, 84908.06, 0, 0.00, 1: 283; 2: 146; 3: 44; 4: 27; 5: 18; 6: 3; 
macrophave_activation, 346, 17, 20,  924, 1, 6, 2757663, 84908.06, 206, 0.00, 1: 282; 2: 148; 3: 46; 4: 25; 5: 12; 6: 8; 
macrophave_activation, 614, 18, 18,  924, 1, 6, 2616162, 84908.06, 0, 0.00, 1: 285; 2: 143; 3: 45; 4: 28; 5: 14; 6: 6; 
macrophave_activation, 174, 17, 20,  924, 1, 6, 2757894, 84908.06, 0, 0.00, 1: 285; 2: 142; 3: 46; 4: 29; 5: 13; 6: 6; 
macrophave_activation, 244, 21, 16,  926, 1, 6, 2696135, 84908.06, 0, 0.00, 1: 290; 2: 133; 3: 50; 4: 25; 5: 18; 6: 5; 
macrophave_activation, 475, 17, 19,  927, 1, 6, 2600073, 84908.06, 52, 0.00, 1: 270; 2: 165; 3: 42; 4: 24; 5: 15; 6: 5; 
macrophave_activation, 966, 17, 19,  927, 1, 6, 2600077, 84908.06, 0, 0.00, 1: 278; 2: 154; 3: 39; 4: 29; 5: 18; 6: 3; 
macrophave_activation, 964, 21, 16,  927, 1, 6, 2695730, 84908.06, 0, 0.00, 1: 276; 2: 149; 3: 52; 4: 26; 5: 15; 6: 3; 
macrophave_activation, 869, 21, 16,  927, 1, 6, 2696138, 84908.06, 0, 0.00, 1: 292; 2: 126; 3: 60; 4: 19; 5: 17; 6: 7; 
macrophave_activation, 330, 17, 20,  928, 1, 6, 2757739, 84908.06, 206, 0.00, 1: 280; 2: 143; 3: 52; 4: 28; 5: 14; 6: 4; 
macrophave_activation, 968, 15, 22,  928, 1, 6, 2658092, 84908.06, 0, 0.00, 1: 282; 2: 146; 3: 49; 4: 23; 5: 11; 6: 10; 
macrophave_activation, 159, 16, 21,  928, 1, 6, 2696168, 84908.06, 0, 0.00, 1: 283; 2: 141; 3: 51; 4: 28; 5: 10; 6: 8; 
macrophave_activation, 775, 17, 19,  929, 1, 6, 2600117, 84908.06, 0, 0.00, 1: 278; 2: 149; 3: 53; 4: 20; 5: 12; 6: 9; 
macrophave_activation, 619, 14, 24,  930, 1, 6, 2696348, 84908.06, 52, 0.00, 1: 288; 2: 139; 3: 44; 4: 25; 5: 18; 6: 7; 
macrophave_activation, 293, 18, 18,  931, 1, 6, 2616114, 84908.06, 0, 0.00, 1: 296; 2: 125; 3: 52; 4: 22; 5: 15; 6: 11; 
macrophave_activation, 412, 18, 18,  931, 1, 6, 2616104, 84908.06, 218, 0.00, 1: 274; 2: 150; 3: 54; 4: 26; 5: 11; 6: 6; 
macrophave_activation, 956, 21, 16,  931, 1, 6, 2695979, 84908.06, 218, 0.00, 1: 288; 2: 142; 3: 37; 4: 30; 5: 16; 6: 8; 
macrophave_activation, 903, 18, 18,  931, 1, 6, 2616093, 84908.06, 0, 0.00, 1: 272; 2: 158; 3: 43; 4: 31; 5: 12; 6: 5; 
macrophave_activation, 733, 14, 24,  932, 1, 6, 2696266, 84908.06, 85, 0.00, 1: 281; 2: 147; 3: 47; 4: 24; 5: 12; 6: 10; 
macrophave_activation, 594, 19, 17,  933, 1, 6, 2600125, 84908.06, 0, 0.00, 1: 272; 2: 155; 3: 51; 4: 22; 5: 16; 6: 5; 
macrophave_activation, 357, 21, 16,  933, 1, 6, 2695695, 84908.06, 0, 0.00, 1: 286; 2: 137; 3: 47; 4: 30; 5: 14; 6: 7; 
macrophave_activation,  49, 21, 16,  933, 1, 6, 2695864, 84908.06, 0, 0.00, 1: 279; 2: 140; 3: 55; 4: 31; 5: 11; 6: 5; 
macrophave_activation,  46, 17, 19,  933, 1, 6, 2600092, 84908.06, 0, 0.00, 1: 276; 2: 149; 3: 50; 4: 29; 5: 9; 6: 8; 
macrophave_activation, 972, 15, 22,  933, 1, 6, 2658157, 84908.06, 218, 0.00, 1: 280; 2: 148; 3: 45; 4: 24; 5: 18; 6: 6; 
macrophave_activation, 710, 21, 16,  934, 1, 6, 2696184, 84908.06, 0, 0.00, 1: 283; 2: 136; 3: 55; 4: 27; 5: 14; 6: 6; 
macrophave_activation, 472, 17, 20,  934, 1, 6, 2757522, 84908.06, 32, 0.00, 1: 277; 2: 144; 3: 54; 4: 26; 5: 17; 6: 3; 
macrophave_activation, 782, 17, 19,  934, 1, 6, 2600101, 84908.06, 0, 0.00, 1: 283; 2: 138; 3: 53; 4: 25; 5: 16; 6: 6; 
macrophave_activation, 152, 18, 18,  934, 1, 6, 2616096, 84908.06, 160, 0.00, 1: 280; 2: 142; 3: 51; 4: 27; 5: 17; 6: 4; 
macrophave_activation, 987, 17, 19,  934, 1, 6, 2600103, 84908.06, 52, 0.00, 1: 272; 2: 152; 3: 52; 4: 26; 5: 16; 6: 3; 
macrophave_activation, 835, 16, 21,  935, 1, 6, 2696031, 84908.06, 0, 0.00, 1: 278; 2: 152; 3: 44; 4: 24; 5: 13; 6: 10; 
macrophave_activation, 612, 21, 16,  935, 1, 6, 2695843, 84908.06, 0, 0.00, 1: 278; 2: 142; 3: 53; 4: 30; 5: 14; 6: 4; 
macrophave_activation, 736, 16, 21,  935, 1, 6, 2695957, 84908.06, 245, 0.00, 1: 274; 2: 150; 3: 56; 4: 21; 5: 11; 6: 9; 
macrophave_activation,  23, 17, 20,  935, 1, 6, 2757568, 84908.06, 0, 0.00, 1: 287; 2: 133; 3: 53; 4: 25; 5: 15; 6: 8; 
macrophave_activation, 854, 16, 21,  935, 1, 6, 2696166, 84908.06, 0, 0.00, 1: 277; 2: 144; 3: 56; 4: 24; 5: 14; 6: 6; 
macrophave_activation, 797, 21, 16,  935, 1, 6, 2695961, 84908.06, 85, 0.00, 1: 272; 2: 149; 3: 58; 4: 23; 5: 15; 6: 4; 
macrophave_activation,  36, 17, 20,  935, 1, 6, 2757665, 84908.06, 0, 0.00, 1: 282; 2: 138; 3: 51; 4: 30; 5: 16; 6: 4; 
macrophave_activation, 591, 17, 19,  935, 1, 6, 2600096, 84908.06, 0, 0.00, 1: 278; 2: 151; 3: 44; 4: 24; 5: 17; 6: 7; 
macrophave_activation, 107, 17, 19,  936, 1, 6, 2600113, 84908.06, 52, 0.00, 1: 287; 2: 136; 3: 48; 4: 25; 5: 17; 6: 8; 
macrophave_activation, 681, 15, 22,  936, 1, 6, 2657741, 84908.06, 138, 0.00, 1: 278; 2: 147; 3: 48; 4: 29; 5: 10; 6: 9; 
macrophave_activation, 221, 15, 22,  936, 1, 6, 2658153, 84908.06, 85, 0.00, 1: 262; 2: 168; 3: 50; 4: 21; 5: 16; 6: 4; 
macrophave_activation, 254, 15, 22,  936, 1, 6, 2658220, 84908.06, 0, 0.00, 1: 272; 2: 146; 3: 62; 4: 24; 5: 12; 6: 5; 
macrophave_activation, 285, 17, 19,  937, 1, 6, 2600095, 84908.06, 85, 0.00, 1: 288; 2: 130; 3: 54; 4: 25; 5: 17; 6: 7; 
macrophave_activation, 662, 15, 22,  937, 1, 6, 2658113, 84908.06, 0, 0.00, 1: 274; 2: 153; 3: 45; 4: 27; 5: 18; 6: 4; 
macrophave_activation, 993, 21, 16,  937, 1, 6, 2695911, 84908.06, 1, 0.00, 1: 283; 2: 135; 3: 55; 4: 28; 5: 13; 6: 7; 
macrophave_activation, 482, 15, 22,  937, 1, 6, 2658195, 84908.06, 0, 0.00, 1: 286; 2: 136; 3: 50; 4: 25; 5: 15; 6: 9; 
macrophave_activation, 508, 18, 18,  938, 1, 6, 2616159, 84908.06, 218, 0.00, 1: 276; 2: 142; 3: 53; 4: 35; 5: 11; 6: 4; 
macrophave_activation, 818, 19, 17,  938, 1, 6, 2600056, 84908.06, 0, 0.00, 1: 289; 2: 133; 3: 46; 4: 29; 5: 15; 6: 9; 
macrophave_activation, 889, 17, 20,  938, 1, 6, 2757733, 84908.06, 140, 0.00, 1: 283; 2: 136; 3: 53; 4: 30; 5: 10; 6: 9; 
macrophave_activation, 678, 21, 16,  939, 1, 6, 2695632, 84908.06, 0, 0.00, 1: 284; 2: 138; 3: 48; 4: 27; 5: 17; 6: 7; 
macrophave_activation, 303, 13, 25,  939, 1, 6, 2632180, 84908.06, 0, 0.00, 1: 287; 2: 129; 3: 56; 4: 24; 5: 20; 6: 5; 
macrophave_activation, 425, 19, 17,  939, 1, 6, 2600077, 84908.06, 136, 0.00, 1: 279; 2: 139; 3: 55; 4: 27; 5: 17; 6: 4; 
macrophave_activation, 544, 17, 19,  939, 1, 6, 2600072, 84908.06, 213, 0.00, 1: 280; 2: 143; 3: 52; 4: 22; 5: 15; 6: 9; 
macrophave_activation, 804, 18, 18,  940, 1, 6, 2616162, 84908.06, 0, 0.00, 1: 278; 2: 146; 3: 44; 4: 33; 5: 14; 6: 6; 
macrophave_activation, 891, 17, 19,  940, 1, 6, 2600109, 84908.06, 52, 0.00, 1: 281; 2: 142; 3: 50; 4: 23; 5: 17; 6: 8; 
macrophave_activation,  13, 18, 18,  940, 1, 6, 2616085, 84908.06, 127, 0.00, 1: 273; 2: 155; 3: 49; 4: 20; 5: 14; 6: 10; 
macrophave_activation, 951, 19, 17,  940, 1, 6, 2600081, 84908.06, 0, 0.00, 1: 279; 2: 142; 3: 54; 4: 23; 5: 15; 6: 8; 
macrophave_activation, 918, 21, 16,  940, 1, 6, 2695765, 84908.06, 0, 0.00, 1: 275; 2: 144; 3: 56; 4: 27; 5: 13; 6: 6; 
macrophave_activation, 922, 12, 27,  940, 1, 6, 2616148, 84908.06, 206, 0.00, 1: 286; 2: 137; 3: 49; 4: 23; 5: 15; 6: 11; 
macrophave_activation, 249, 17, 20,  940, 1, 6, 2757842, 84908.06, 135, 0.00, 1: 274; 2: 153; 3: 45; 4: 28; 5: 13; 6: 8; 
