Seed 1656949570
ARCH 0|F_ID 2|LIMIT 6
before: 
8
6(174)
Melhor resultado nxn: signal_transduction_in_fibroblasts, 416, 12, 12, 1701, 0, 6, 1152011, 70317.39, 14, 0.00, 0: 50; 1: 81; 2: 105; 3: 79; 4: 68; 5: 77; 6: 86; 
signal_transduction_in_fibroblasts, 819, 13, 11, 1639, 0, 6, 1146613, 70317.39, 0, 0.00, 0: 50; 1: 91; 2: 99; 3: 87; 4: 81; 5: 63; 6: 75; 
signal_transduction_in_fibroblasts, 205, 13, 11, 1663, 0, 6, 1146628, 70317.39, 0, 0.00, 0: 50; 1: 81; 2: 101; 3: 94; 4: 79; 5: 64; 6: 77; 
signal_transduction_in_fibroblasts,  18, 13, 11, 1685, 0, 6, 1146568, 70317.39, 164, 0.00, 0: 50; 1: 82; 2: 89; 3: 92; 4: 90; 5: 69; 6: 74; 
signal_transduction_in_fibroblasts, 299, 11, 13, 1691, 0, 6, 1146588, 70317.39, 0, 0.00, 0: 50; 1: 81; 2: 100; 3: 86; 4: 75; 5: 72; 6: 82; 
signal_transduction_in_fibroblasts, 969, 11, 13, 1692, 0, 6, 1146571, 70317.39, 0, 0.00, 0: 50; 1: 85; 2: 102; 3: 72; 4: 81; 5: 73; 6: 83; 
signal_transduction_in_fibroblasts, 430, 11, 13, 1693, 0, 6, 1146580, 70317.39, 0, 0.00, 0: 50; 1: 76; 2: 110; 3: 82; 4: 73; 5: 71; 6: 84; 
signal_transduction_in_fibroblasts, 948, 11, 13, 1693, 0, 6, 1146612, 70317.39, 27, 0.00, 0: 50; 1: 83; 2: 94; 3: 85; 4: 79; 5: 79; 6: 76; 
signal_transduction_in_fibroblasts, 478, 11, 13, 1696, 0, 6, 1146577, 70317.39, 0, 0.00, 0: 50; 1: 78; 2: 95; 3: 95; 4: 78; 5: 69; 6: 81; 
signal_transduction_in_fibroblasts, 416, 12, 12, 1701, 0, 6, 1152011, 70317.39, 14, 0.00, 0: 50; 1: 81; 2: 105; 3: 79; 4: 68; 5: 77; 6: 86; 
signal_transduction_in_fibroblasts, 959, 11, 13, 1702, 0, 6, 1146614, 70317.39, 0, 0.00, 0: 50; 1: 70; 2: 101; 3: 97; 4: 77; 5: 75; 6: 76; 
signal_transduction_in_fibroblasts, 217, 13, 11, 1703, 0, 6, 1146597, 70317.39, 0, 0.00, 0: 50; 1: 81; 2: 88; 3: 95; 4: 75; 5: 81; 6: 76; 
signal_transduction_in_fibroblasts,  11, 12, 12, 1705, 0, 6, 1152003, 70317.39, 213, 0.00, 0: 50; 1: 93; 2: 77; 3: 85; 4: 80; 5: 83; 6: 78; 
signal_transduction_in_fibroblasts, 208, 12, 12, 1708, 0, 6, 1151982, 70317.39, 9, 0.00, 0: 50; 1: 83; 2: 87; 3: 95; 4: 74; 5: 72; 6: 85; 
signal_transduction_in_fibroblasts, 761, 10, 14, 1711, 0, 6, 1128680, 70317.39, 0, 0.00, 0: 50; 1: 83; 2: 94; 3: 76; 4: 83; 5: 80; 6: 80; 
signal_transduction_in_fibroblasts, 460, 11, 13, 1711, 0, 6, 1146609, 70317.39, 16, 0.00, 0: 50; 1: 83; 2: 81; 3: 92; 4: 90; 5: 70; 6: 80; 
signal_transduction_in_fibroblasts, 608, 11, 13, 1712, 0, 6, 1146593, 70317.39, 21, 0.00, 0: 50; 1: 72; 2: 97; 3: 92; 4: 82; 5: 76; 6: 77; 
signal_transduction_in_fibroblasts, 818, 10, 15, 1719, 0, 6, 1200934, 70317.39, 0, 0.00, 0: 50; 1: 73; 2: 94; 3: 95; 4: 76; 5: 79; 6: 79; 
signal_transduction_in_fibroblasts, 309, 10, 15, 1720, 0, 6, 1200928, 70317.39, 0, 0.00, 0: 50; 1: 76; 2: 88; 3: 85; 4: 91; 5: 87; 6: 69; 
signal_transduction_in_fibroblasts, 283, 12, 12, 1721, 0, 6, 1152003, 70317.39, 0, 0.00, 0: 50; 1: 72; 2: 97; 3: 85; 4: 91; 5: 70; 6: 81; 
signal_transduction_in_fibroblasts, 202, 12, 12, 1721, 0, 6, 1151999, 70317.39, 0, 0.00, 0: 50; 1: 88; 2: 80; 3: 81; 4: 86; 5: 80; 6: 81; 
signal_transduction_in_fibroblasts, 790, 12, 12, 1722, 0, 6, 1152011, 70317.39, 0, 0.00, 0: 50; 1: 80; 2: 93; 3: 84; 4: 70; 5: 90; 6: 79; 
signal_transduction_in_fibroblasts, 902, 11, 13, 1722, 0, 6, 1146583, 70317.39, 0, 0.00, 0: 50; 1: 84; 2: 87; 3: 74; 4: 88; 5: 88; 6: 75; 
signal_transduction_in_fibroblasts, 495, 13, 11, 1725, 0, 6, 1146600, 70317.39, 0, 0.00, 0: 50; 1: 69; 2: 103; 3: 88; 4: 78; 5: 74; 6: 84; 
signal_transduction_in_fibroblasts, 671, 12, 12, 1726, 0, 6, 1152027, 70317.39, 0, 0.00, 0: 50; 1: 79; 2: 94; 3: 79; 4: 81; 5: 80; 6: 83; 
signal_transduction_in_fibroblasts, 456, 11, 13, 1728, 0, 6, 1146607, 70317.39, 16, 0.00, 0: 50; 1: 88; 2: 83; 3: 75; 4: 89; 5: 73; 6: 88; 
signal_transduction_in_fibroblasts, 233, 11, 13, 1730, 0, 6, 1146564, 70317.39, 0, 0.00, 0: 50; 1: 75; 2: 92; 3: 92; 4: 75; 5: 77; 6: 85; 
signal_transduction_in_fibroblasts, 505, 13, 11, 1733, 0, 6, 1146588, 70317.39, 0, 0.00, 0: 50; 1: 79; 2: 81; 3: 91; 4: 83; 5: 85; 6: 77; 
signal_transduction_in_fibroblasts, 888, 12, 12, 1735, 0, 6, 1152046, 70317.39, 27, 0.00, 0: 50; 1: 73; 2: 99; 3: 79; 4: 83; 5: 77; 6: 85; 
signal_transduction_in_fibroblasts, 162, 13, 11, 1737, 0, 6, 1146610, 70317.39, 0, 0.00, 0: 50; 1: 80; 2: 77; 3: 100; 4: 80; 5: 71; 6: 88; 
signal_transduction_in_fibroblasts, 662, 10, 15, 1737, 0, 6, 1200900, 70317.39, 0, 0.00, 0: 50; 1: 77; 2: 94; 3: 77; 4: 89; 5: 69; 6: 90; 
signal_transduction_in_fibroblasts, 155, 11, 13, 1738, 0, 6, 1146596, 70317.39, 0, 0.00, 0: 50; 1: 84; 2: 76; 3: 79; 4: 101; 5: 75; 6: 81; 
signal_transduction_in_fibroblasts, 200, 11, 13, 1739, 0, 6, 1146591, 70317.39, 8, 0.00, 0: 50; 1: 78; 2: 90; 3: 89; 4: 76; 5: 68; 6: 95; 
signal_transduction_in_fibroblasts, 173, 12, 12, 1740, 0, 6, 1152008, 70317.39, 0, 0.00, 0: 50; 1: 79; 2: 85; 3: 78; 4: 97; 5: 73; 6: 84; 
signal_transduction_in_fibroblasts, 214, 11, 13, 1740, 0, 6, 1146535, 70317.39, 0, 0.00, 0: 50; 1: 84; 2: 75; 3: 84; 4: 90; 5: 84; 6: 79; 
signal_transduction_in_fibroblasts, 765, 10, 15, 1742, 0, 6, 1200896, 70317.39, 0, 0.00, 0: 50; 1: 74; 2: 91; 3: 84; 4: 83; 5: 82; 6: 82; 
signal_transduction_in_fibroblasts, 628, 10, 15, 1743, 0, 6, 1200845, 70317.39, 94, 0.00, 0: 50; 1: 79; 2: 72; 3: 99; 4: 87; 5: 79; 6: 80; 
signal_transduction_in_fibroblasts,  77, 10, 15, 1743, 0, 6, 1200877, 70317.39, 0, 0.00, 0: 50; 1: 83; 2: 66; 3: 106; 4: 82; 5: 72; 6: 87; 
signal_transduction_in_fibroblasts, 884, 10, 14, 1743, 0, 6, 1128680, 70317.39, 124, 0.00, 0: 50; 1: 68; 2: 101; 3: 77; 4: 87; 5: 84; 6: 79; 
signal_transduction_in_fibroblasts, 498, 11, 13, 1744, 0, 6, 1146616, 70317.39, 0, 0.00, 0: 50; 1: 79; 2: 88; 3: 82; 4: 77; 5: 85; 6: 85; 
signal_transduction_in_fibroblasts, 919, 11, 13, 1746, 0, 6, 1146586, 70317.39, 0, 0.00, 0: 50; 1: 81; 2: 86; 3: 71; 4: 94; 5: 80; 6: 84; 
signal_transduction_in_fibroblasts, 640,  9, 17, 1748, 0, 6, 1222874, 70317.39, 22, 0.00, 0: 50; 1: 76; 2: 72; 3: 113; 4: 78; 5: 65; 6: 92; 
signal_transduction_in_fibroblasts, 612, 10, 15, 1748, 0, 6, 1200946, 70317.39, 94, 0.00, 0: 50; 1: 70; 2: 101; 3: 79; 4: 78; 5: 81; 6: 87; 
signal_transduction_in_fibroblasts, 435, 13, 11, 1749, 0, 6, 1146595, 70317.39, 0, 0.00, 0: 50; 1: 66; 2: 80; 3: 107; 4: 97; 5: 62; 6: 84; 
signal_transduction_in_fibroblasts, 565,  9, 16, 1749, 0, 6, 1152025, 70317.39, 0, 0.00, 0: 50; 1: 71; 2: 91; 3: 92; 4: 82; 5: 68; 6: 92; 
signal_transduction_in_fibroblasts,   9, 12, 12, 1754, 0, 6, 1152037, 70317.39, 98, 0.00, 0: 50; 1: 85; 2: 85; 3: 77; 4: 70; 5: 86; 6: 93; 
signal_transduction_in_fibroblasts, 161, 11, 13, 1754, 0, 6, 1146589, 70317.39, 0, 0.00, 0: 50; 1: 69; 2: 96; 3: 85; 4: 80; 5: 78; 6: 88; 
signal_transduction_in_fibroblasts, 917, 14, 10, 1754, 0, 6, 1128680, 70317.39, 0, 0.00, 0: 50; 1: 78; 2: 79; 3: 82; 4: 90; 5: 90; 6: 77; 
signal_transduction_in_fibroblasts, 133, 11, 13, 1755, 0, 6, 1146603, 70317.39, 0, 0.00, 0: 50; 1: 79; 2: 80; 3: 75; 4: 94; 5: 93; 6: 75; 
signal_transduction_in_fibroblasts, 797, 11, 13, 1756, 0, 6, 1146590, 70317.39, 0, 0.00, 0: 50; 1: 62; 2: 90; 3: 102; 4: 86; 5: 72; 6: 84; 
signal_transduction_in_fibroblasts, 955, 11, 13, 1756, 0, 6, 1146590, 70317.39, 0, 0.00, 0: 50; 1: 74; 2: 82; 3: 85; 4: 92; 5: 83; 6: 80; 
signal_transduction_in_fibroblasts, 542, 10, 15, 1760, 0, 6, 1200881, 70317.39, 0, 0.00, 0: 50; 1: 79; 2: 78; 3: 84; 4: 85; 5: 87; 6: 83; 
signal_transduction_in_fibroblasts, 293, 12, 12, 1760, 0, 6, 1151972, 70317.39, 0, 0.00, 0: 50; 1: 70; 2: 89; 3: 87; 4: 75; 5: 99; 6: 76; 
