Seed 1656949570
ARCH 1|F_ID 0|LIMIT 4
before: 
2(247)
Melhor resultado nxn: Apoptosis_network, 164,  6,  8,   83, 1, 2, 372062, 6927.79, 0, 0.00, 1: 63; 2: 10; 
Apoptosis_network, 164,  6,  8,   83, 1, 2, 372062, 6927.79, 0, 0.00, 1: 63; 2: 10; 
Apoptosis_network, 816,  5, 10,   84, 1, 2, 384013, 6927.79, 21, 0.00, 1: 62; 2: 11; 
Apoptosis_network, 699,  6,  8,   84, 1, 2, 372378, 6927.79, 0, 0.00, 1: 62; 2: 11; 
Apoptosis_network, 132,  5,  9,   84, 1, 2, 353569, 6927.79, 146, 0.00, 1: 62; 2: 11; 
Apoptosis_network, 455,  5, 10,   84, 1, 2, 383709, 6927.79, 0, 0.00, 1: 62; 2: 11; 
Apoptosis_network, 113,  5, 10,   84, 1, 2, 383364, 6927.79, 0, 0.00, 1: 62; 2: 11; 
Apoptosis_network, 383,  5, 10,   85, 1, 2, 382720, 6927.79, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 953,  5, 10,   85, 1, 2, 383508, 6927.79, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 505,  6,  8,   85, 1, 2, 372330, 6927.79, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 123,  5, 10,   85, 1, 2, 383158, 6927.79, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 361,  6,  8,   85, 1, 2, 372442, 6927.79, 66, 0.00, 1: 61; 2: 12; 
Apoptosis_network,  33,  5, 10,   85, 1, 2, 384124, 6927.79, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 217,  5,  9,   85, 1, 2, 353471, 6927.79, 167, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 345,  5,  9,   85, 1, 2, 353358, 6927.79, 167, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 940,  5,  9,   85, 1, 2, 353450, 6927.79, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 325,  5, 10,   85, 1, 2, 383769, 6927.79, 85, 0.00, 1: 61; 2: 12; 
Apoptosis_network,  97,  6,  8,   85, 1, 2, 371595, 6927.79, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 622,  7,  6,   85, 1, 2, 330624, 6927.79, 100, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 179,  6,  8,   85, 1, 2, 371463, 6927.79, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 391,  6,  8,   85, 1, 2, 372013, 6927.79, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 160,  5, 10,   86, 1, 2, 383572, 6927.79, 5, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 797,  6,  8,   86, 1, 2, 372707, 6927.79, 85, 0.00, 1: 60; 2: 13; 
Apoptosis_network,  43,  5, 10,   86, 1, 2, 384354, 6927.79, 48, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 102,  6,  7,   86, 1, 2, 330624, 6927.79, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 453,  6,  8,   86, 1, 2, 371401, 6927.79, 85, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 708,  6,  8,   86, 1, 2, 371691, 6927.79, 146, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 835,  9,  5,   86, 1, 2, 353418, 6927.79, 78, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 830,  9,  5,   86, 1, 2, 352936, 6927.79, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network,  57,  5, 10,   86, 1, 2, 384278, 6927.79, 0, 0.00, 1: 60; 2: 13; 
