Seed 1656949570
ARCH 2|F_ID 0|LIMIT 3
before: 
3(297)
Melhor resultado nxn: B_bronchiseptica_and_T_retortaeformis_coinfectio, 157,  6, 10,  189, 1, 3, 469954, 12208.51, 0, 0.00, 1: 86; 2: 44; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 157,  6, 10,  189, 1, 3, 469954, 12208.51, 0, 0.00, 1: 86; 2: 44; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 208,  7,  8,  189, 1, 3, 442743, 12208.51, 6, 0.00, 1: 85; 2: 46; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 857,  8,  7,  190, 1, 3, 442710, 12208.51, 0, 0.00, 1: 84; 2: 47; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 897,  6, 10,  190, 1, 3, 470869, 12208.51, 0, 0.00, 1: 86; 2: 43; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 900,  7,  8,  190, 1, 3, 442534, 12208.51, 44, 0.00, 1: 86; 2: 43; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 417,  6, 10,  190, 1, 3, 470675, 12208.51, 0, 0.00, 1: 83; 2: 49; 3: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  92,  9,  6,  190, 1, 3, 427869, 12208.51, 28, 0.00, 1: 84; 2: 47; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 929,  6, 10,  190, 1, 3, 471081, 12208.51, 0, 0.00, 1: 84; 2: 47; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 118,  7,  8,  190, 1, 3, 442781, 12208.51, 0, 0.00, 1: 85; 2: 45; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 658,  6, 10,  190, 1, 3, 470555, 12208.51, 0, 0.00, 1: 86; 2: 43; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,   0,  6, 10,  190, 1, 3, 470206, 12208.51, 224, 0.00, 1: 87; 2: 41; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 722,  6, 10,  191, 1, 3, 470032, 12208.51, 0, 0.00, 1: 85; 2: 44; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 741,  6, 10,  191, 1, 3, 470480, 12208.51, 0, 0.00, 1: 84; 2: 46; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 506,  8,  7,  191, 1, 3, 442688, 12208.51, 0, 0.00, 1: 85; 2: 44; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  76,  7,  8,  191, 1, 3, 442583, 12208.51, 31, 0.00, 1: 84; 2: 46; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 447,  6, 10,  191, 1, 3, 470356, 12208.51, 0, 0.00, 1: 86; 2: 42; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  91,  6, 10,  191, 1, 3, 469857, 12208.51, 0, 0.00, 1: 85; 2: 44; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 524,  7,  8,  191, 1, 3, 442852, 12208.51, 43, 0.00, 1: 83; 2: 48; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 820,  7,  8,  191, 1, 3, 442710, 12208.51, 10, 0.00, 1: 86; 2: 42; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 546,  6, 10,  191, 1, 3, 470278, 12208.51, 0, 0.00, 1: 87; 2: 40; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 358,  6, 10,  191, 1, 3, 470503, 12208.51, 0, 0.00, 1: 85; 2: 44; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 316,  5, 11,  191, 1, 3, 434828, 12208.51, 18, 0.00, 1: 89; 2: 36; 3: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 309,  6, 10,  191, 1, 3, 471002, 12208.51, 0, 0.00, 1: 89; 2: 36; 3: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 403,  8,  7,  191, 1, 3, 442756, 12208.51, 0, 0.00, 1: 82; 2: 50; 3: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 907,  9,  6,  191, 1, 3, 427869, 12208.51, 0, 0.00, 1: 82; 2: 50; 3: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 954,  6,  9,  191, 1, 3, 427869, 12208.51, 0, 0.00, 1: 84; 2: 46; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 718,  6, 10,  192, 1, 3, 470666, 12208.51, 0, 0.00, 1: 83; 2: 47; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 452,  9,  6,  192, 1, 3, 427869, 12208.51, 32, 0.00, 1: 83; 2: 47; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 205,  8,  7,  192, 1, 3, 442742, 12208.51, 0, 0.00, 1: 83; 2: 47; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 460,  8,  7,  192, 1, 3, 442696, 12208.51, 16, 0.00, 1: 84; 2: 45; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 728,  6,  9,  192, 1, 3, 427869, 12208.51, 32, 0.00, 1: 83; 2: 47; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 725,  6, 10,  192, 1, 3, 470723, 12208.51, 0, 0.00, 1: 84; 2: 45; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 494,  7,  8,  192, 1, 3, 442705, 12208.51, 0, 0.00, 1: 86; 2: 41; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 109,  9,  6,  192, 1, 3, 427869, 12208.51, 0, 0.00, 1: 85; 2: 43; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 961,  6, 10,  192, 1, 3, 470876, 12208.51, 0, 0.00, 1: 84; 2: 45; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 180,  6, 10,  192, 1, 3, 470854, 12208.51, 32, 0.00, 1: 84; 2: 45; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 972,  6, 10,  192, 1, 3, 471059, 12208.51, 1, 0.00, 1: 84; 2: 45; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 976,  6, 10,  192, 1, 3, 470266, 12208.51, 45, 0.00, 1: 84; 2: 45; 3: 6; 
