Seed 1656949570
ARCH 1|F_ID 0|LIMIT 4
before: 
3(417)
Melhor resultado nxn: Bortezomib_Responses_in_U266_Human_Myelo, 429,  7, 10,  165, 1, 3, 557233, 11999.60, 0, 0.00, 1: 98; 2: 29; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 429,  7, 10,  165, 1, 3, 557233, 11999.60, 0, 0.00, 1: 98; 2: 29; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 328, 10,  7,  166, 1, 3, 557014, 11999.60, 21, 0.00, 1: 97; 2: 30; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 892,  7, 11,  166, 1, 3, 604896, 11999.60, 4, 0.00, 1: 97; 2: 30; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 642,  7, 11,  166, 1, 3, 605457, 11999.60, 0, 0.00, 1: 97; 2: 30; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 929,  8,  9,  167, 1, 3, 570129, 11999.60, 0, 0.00, 1: 97; 2: 29; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo,  74,  7, 10,  167, 1, 3, 557194, 11999.60, 0, 0.00, 1: 99; 2: 25; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 421,  8,  9,  167, 1, 3, 570285, 11999.60, 0, 0.00, 1: 97; 2: 29; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 800,  8,  9,  167, 1, 3, 570060, 11999.60, 57, 0.00, 1: 97; 2: 29; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 204,  9,  8,  167, 1, 3, 570719, 11999.60, 55, 0.00, 1: 98; 2: 27; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo,   9,  7, 11,  167, 1, 3, 604877, 11999.60, 255, 0.00, 1: 97; 2: 29; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 697,  8,  9,  167, 1, 3, 570303, 11999.60, 0, 0.00, 1: 97; 2: 29; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 900,  7, 11,  167, 1, 3, 605337, 11999.60, 5, 0.00, 1: 96; 2: 31; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 543,  9,  8,  168, 1, 3, 570294, 11999.60, 0, 0.00, 1: 96; 2: 30; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 381,  9,  8,  168, 1, 3, 570266, 11999.60, 0, 0.00, 1: 96; 2: 30; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 947,  7, 11,  168, 1, 3, 605027, 11999.60, 0, 0.00, 1: 96; 2: 30; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 580,  7, 11,  168, 1, 3, 604792, 11999.60, 13, 0.00, 1: 95; 2: 32; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 770,  6, 12,  168, 1, 3, 570288, 11999.60, 0, 0.00, 1: 97; 2: 28; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 424,  7, 11,  168, 1, 3, 605460, 11999.60, 28, 0.00, 1: 98; 2: 26; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 574,  8,  9,  168, 1, 3, 570276, 11999.60, 0, 0.00, 1: 96; 2: 30; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 987,  9,  8,  168, 1, 3, 570234, 11999.60, 0, 0.00, 1: 96; 2: 30; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 540,  7, 10,  168, 1, 3, 557261, 11999.60, 38, 0.00, 1: 97; 2: 28; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 500, 10,  7,  169, 1, 3, 557137, 11999.60, 60, 0.00, 1: 95; 2: 31; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 377, 10,  7,  169, 1, 3, 557060, 11999.60, 0, 0.00, 1: 94; 2: 33; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 513,  9,  8,  169, 1, 3, 570030, 11999.60, 0, 0.00, 1: 96; 2: 29; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 554,  8,  9,  169, 1, 3, 570442, 11999.60, 0, 0.00, 1: 97; 2: 27; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 384,  6, 12,  169, 1, 3, 570094, 11999.60, 25, 0.00, 1: 94; 2: 33; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo,  38,  7, 10,  169, 1, 3, 556852, 11999.60, 0, 0.00, 1: 96; 2: 29; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo,  65,  7, 11,  169, 1, 3, 604921, 11999.60, 0, 0.00, 1: 98; 2: 25; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 242,  9,  8,  169, 1, 3, 570276, 11999.60, 0, 0.00, 1: 94; 2: 33; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 910,  8,  9,  169, 1, 3, 570380, 11999.60, 0, 0.00, 1: 99; 2: 23; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 353,  7, 11,  169, 1, 3, 605090, 11999.60, 0, 0.00, 1: 92; 2: 37; 3: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 942,  9,  8,  169, 1, 3, 570227, 11999.60, 0, 0.00, 1: 94; 2: 33; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 348,  8,  9,  169, 1, 3, 570149, 11999.60, 39, 0.00, 1: 94; 2: 33; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 162,  7, 10,  169, 1, 3, 557301, 11999.60, 0, 0.00, 1: 98; 2: 25; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 266,  7, 11,  169, 1, 3, 604798, 11999.60, 0, 0.00, 1: 94; 2: 33; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 426,  9,  8,  169, 1, 3, 570404, 11999.60, 0, 0.00, 1: 95; 2: 31; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo,  10,  8,  9,  169, 1, 3, 570550, 11999.60, 25, 0.00, 1: 95; 2: 31; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 638,  8,  9,  169, 1, 3, 570575, 11999.60, 0, 0.00, 1: 97; 2: 27; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 821,  9,  8,  169, 1, 3, 570477, 11999.60, 0, 0.00, 1: 99; 2: 23; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 831,  8,  9,  169, 1, 3, 570254, 11999.60, 0, 0.00, 1: 96; 2: 29; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 968,  7, 11,  169, 1, 3, 604825, 11999.60, 64, 0.00, 1: 94; 2: 33; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 824,  9,  8,  169, 1, 3, 570114, 11999.60, 59, 0.00, 1: 94; 2: 33; 3: 3; 
