Seed 1656949570
ARCH 2|F_ID 0|LIMIT 4
before: 
3(242)
Melhor resultado nxn: Bortezomib_Responses_in_U266_Human_Myelo, 208,  9,  8,  174, 1, 3, 570556, 13022.43, 13, 0.00, 1: 95; 2: 26; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 208,  9,  8,  174, 1, 3, 570556, 13022.43, 13, 0.00, 1: 95; 2: 26; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 558,  9,  8,  176, 1, 3, 570416, 13022.43, 0, 0.00, 1: 89; 2: 36; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 343,  8,  9,  176, 1, 3, 570057, 13022.43, 0, 0.00, 1: 89; 2: 36; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 852,  7, 11,  177, 1, 3, 605249, 13022.43, 10, 0.00, 1: 88; 2: 37; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 189,  7, 10,  177, 1, 3, 556978, 13022.43, 0, 0.00, 1: 91; 2: 31; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 560,  7, 11,  178, 1, 3, 605020, 13022.43, 38, 0.00, 1: 88; 2: 36; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 331,  9,  8,  178, 1, 3, 570188, 13022.43, 0, 0.00, 1: 85; 2: 42; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 446,  9,  8,  178, 1, 3, 570478, 13022.43, 0, 0.00, 1: 88; 2: 36; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 943,  9,  8,  178, 1, 3, 570381, 13022.43, 0, 0.00, 1: 87; 2: 38; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 451,  7, 11,  178, 1, 3, 605286, 13022.43, 0, 0.00, 1: 87; 2: 38; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 600,  8,  9,  178, 1, 3, 570471, 13022.43, 40, 0.00, 1: 87; 2: 38; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo,  60,  9,  8,  178, 1, 3, 569717, 13022.43, 20, 0.00, 1: 87; 2: 38; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 979, 10,  7,  179, 1, 3, 557285, 13022.43, 0, 0.00, 1: 86; 2: 39; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 379,  7, 11,  179, 1, 3, 604904, 13022.43, 0, 0.00, 1: 87; 2: 37; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 513,  9,  8,  179, 1, 3, 569693, 13022.43, 0, 0.00, 1: 86; 2: 39; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 183,  7, 10,  179, 1, 3, 557253, 13022.43, 0, 0.00, 1: 86; 2: 39; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 932,  9,  8,  179, 1, 3, 570558, 13022.43, 61, 0.00, 1: 88; 2: 35; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 170,  7, 10,  179, 1, 3, 556803, 13022.43, 0, 0.00, 1: 83; 2: 45; 3: 2; 
Bortezomib_Responses_in_U266_Human_Myelo,  89,  8,  9,  179, 1, 3, 570275, 13022.43, 0, 0.00, 1: 86; 2: 39; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 559,  8,  9,  179, 1, 3, 570092, 13022.43, 0, 0.00, 1: 85; 2: 41; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 311,  8,  9,  179, 1, 3, 570405, 13022.43, 0, 0.00, 1: 88; 2: 35; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 195,  8,  9,  180, 1, 3, 570436, 13022.43, 0, 0.00, 1: 84; 2: 42; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 641,  7, 10,  180, 1, 3, 557293, 13022.43, 0, 0.00, 1: 85; 2: 40; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 162,  7, 10,  180, 1, 3, 557276, 13022.43, 0, 0.00, 1: 84; 2: 42; 3: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 373,  7, 11,  180, 1, 3, 604952, 13022.43, 0, 0.00, 1: 88; 2: 34; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 223,  7, 11,  180, 1, 3, 605322, 13022.43, 0, 0.00, 1: 88; 2: 34; 3: 8; 
Bortezomib_Responses_in_U266_Human_Myelo,  93,  9,  8,  180, 1, 3, 569833, 13022.43, 0, 0.00, 1: 86; 2: 38; 3: 6; 
