Seed 1656949570
ARCH 1|F_ID 0|LIMIT 4
before: 
03(220)
Melhor resultado nxn: IGVH_mutations_in_chronic_lymphocytic_leukemia, 292, 10, 10,  185, 1, 3, 796125, 18030.87, 9, 0.00, 1: 120; 2: 25; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 292, 10, 10,  185, 1, 3, 796125, 18030.87, 9, 0.00, 1: 120; 2: 25; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 421, 10, 10,  185, 1, 3, 796094, 18030.87, 0, 0.00, 1: 122; 2: 21; 3: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 226, 11,  9,  186, 1, 3, 786584, 18030.87, 0, 0.00, 1: 118; 2: 28; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 373,  9, 11,  186, 1, 3, 785467, 18030.87, 0, 0.00, 1: 120; 2: 24; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 842, 10, 10,  186, 1, 3, 796243, 18030.87, 0, 0.00, 1: 119; 2: 26; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 806, 10, 10,  187, 1, 3, 796098, 18030.87, 0, 0.00, 1: 116; 2: 31; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 229,  9, 11,  187, 1, 3, 786397, 18030.87, 0, 0.00, 1: 117; 2: 29; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 652, 10, 10,  187, 1, 3, 796389, 18030.87, 77, 0.00, 1: 116; 2: 31; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 752, 10, 10,  187, 1, 3, 796178, 18030.87, 69, 0.00, 1: 117; 2: 29; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  59, 11,  9,  187, 1, 3, 786293, 18030.87, 0, 0.00, 1: 119; 2: 25; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 869, 11,  9,  188, 1, 3, 786672, 18030.87, 0, 0.00, 1: 118; 2: 26; 3: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 549, 10, 10,  188, 1, 3, 796923, 18030.87, 0, 0.00, 1: 115; 2: 32; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 836,  9, 11,  188, 1, 3, 786074, 18030.87, 5, 0.00, 1: 117; 2: 28; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  75,  9, 11,  188, 1, 3, 785357, 18030.87, 0, 0.00, 1: 116; 2: 30; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 454, 11,  9,  188, 1, 3, 786335, 18030.87, 0, 0.00, 1: 117; 2: 28; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 449,  9, 11,  188, 1, 3, 786686, 18030.87, 0, 0.00, 1: 117; 2: 28; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 436,  8, 12,  188, 1, 3, 764130, 18030.87, 68, 0.00, 1: 116; 2: 30; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 808,  8, 12,  188, 1, 3, 764362, 18030.87, 75, 0.00, 1: 116; 2: 30; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 625, 12,  8,  188, 1, 3, 763899, 18030.87, 0, 0.00, 1: 116; 2: 30; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 776, 11,  9,  188, 1, 3, 786431, 18030.87, 74, 0.00, 1: 117; 2: 28; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 132,  9, 11,  188, 1, 3, 785848, 18030.87, 21, 0.00, 1: 115; 2: 32; 3: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 706, 10, 10,  188, 1, 3, 795809, 18030.87, 0, 0.00, 1: 116; 2: 30; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 108,  8, 12,  188, 1, 3, 764607, 18030.87, 49, 0.00, 1: 116; 2: 30; 3: 4; 
