Seed 1656949570
ARCH 1|F_ID 0|LIMIT 4
before: 
3(175)
Melhor resultado nxn: IL-6_Signalling,  70,  8, 12,  196, 1, 3, 760013, 20184.74, 0, 0.00, 1: 106; 2: 39; 3: 4; 
IL-6_Signalling,  70,  8, 12,  196, 1, 3, 760013, 20184.74, 0, 0.00, 1: 106; 2: 39; 3: 4; 
IL-6_Signalling, 456, 10,  9,  196, 1, 3, 720473, 20184.74, 34, 0.00, 1: 106; 2: 39; 3: 4; 
IL-6_Signalling, 127,  8, 12,  197, 1, 3, 760478, 20184.74, 0, 0.00, 1: 105; 2: 40; 3: 4; 
IL-6_Signalling, 382,  8, 12,  198, 1, 3, 760086, 20184.74, 0, 0.00, 1: 105; 2: 39; 3: 5; 
IL-6_Signalling, 255,  8, 12,  199, 1, 3, 759970, 20184.74, 0, 0.00, 1: 103; 2: 42; 3: 4; 
IL-6_Signalling, 594,  9, 10,  199, 1, 3, 720392, 20184.74, 0, 0.00, 1: 103; 2: 42; 3: 4; 
IL-6_Signalling, 500, 10,  9,  199, 1, 3, 720338, 20184.74, 78, 0.00, 1: 105; 2: 38; 3: 6; 
IL-6_Signalling, 612,  9, 10,  199, 1, 3, 720363, 20184.74, 12, 0.00, 1: 105; 2: 38; 3: 6; 
IL-6_Signalling, 536,  8, 12,  200, 1, 3, 760442, 20184.74, 43, 0.00, 1: 103; 2: 41; 3: 5; 
IL-6_Signalling, 145,  7, 13,  200, 1, 3, 727118, 20184.74, 0, 0.00, 1: 104; 2: 39; 3: 6; 
IL-6_Signalling, 112, 10,  9,  200, 1, 3, 720403, 20184.74, 8, 0.00, 1: 104; 2: 39; 3: 6; 
IL-6_Signalling, 125,  8, 12,  200, 1, 3, 759160, 20184.74, 0, 0.00, 1: 104; 2: 39; 3: 6; 
IL-6_Signalling, 129, 10,  9,  200, 1, 3, 720170, 20184.74, 0, 0.00, 1: 103; 2: 41; 3: 5; 
IL-6_Signalling, 989, 10,  9,  201, 1, 3, 720284, 20184.74, 0, 0.00, 1: 103; 2: 40; 3: 6; 
IL-6_Signalling, 226, 10,  9,  201, 1, 3, 720410, 20184.74, 0, 0.00, 1: 104; 2: 38; 3: 7; 
IL-6_Signalling, 474,  8, 12,  201, 1, 3, 760211, 20184.74, 0, 0.00, 1: 104; 2: 38; 3: 7; 
IL-6_Signalling, 743,  9, 10,  201, 1, 3, 720380, 20184.74, 0, 0.00, 1: 101; 2: 44; 3: 4; 
IL-6_Signalling, 215,  8, 12,  201, 1, 3, 759630, 20184.74, 0, 0.00, 1: 104; 2: 38; 3: 7; 
IL-6_Signalling, 588,  7, 13,  201, 1, 3, 728020, 20184.74, 1, 0.00, 1: 102; 2: 42; 3: 5; 
IL-6_Signalling, 578,  7, 14,  201, 1, 3, 775457, 20184.74, 0, 0.00, 1: 101; 2: 44; 3: 4; 
