Seed 1656949570
ARCH 1|F_ID 0|LIMIT 4
before: 
103(477)
Melhor resultado nxn: Lymphopoiesis_Regulatory_Network, 147,  9,  9,  198, 1, 3, 644760, 20467.92, 0, 0.00, 1: 122; 2: 32; 3: 4; 
Lymphopoiesis_Regulatory_Network, 691,  9, 10,  194, 1, 3, 714455, 20467.92, 0, 0.00, 1: 124; 2: 32; 3: 2; 
Lymphopoiesis_Regulatory_Network, 713,  9, 10,  194, 1, 3, 715006, 20467.92, 0, 0.00, 1: 126; 2: 28; 3: 4; 
Lymphopoiesis_Regulatory_Network, 507,  9, 10,  196, 1, 3, 715085, 20467.92, 0, 0.00, 1: 124; 2: 30; 3: 4; 
Lymphopoiesis_Regulatory_Network, 874,  8, 11,  197, 1, 3, 700060, 20467.92, 0, 0.00, 1: 120; 2: 37; 3: 1; 
Lymphopoiesis_Regulatory_Network, 661,  9, 10,  197, 1, 3, 714800, 20467.92, 0, 0.00, 1: 123; 2: 31; 3: 4; 
Lymphopoiesis_Regulatory_Network, 291,  7, 13,  197, 1, 3, 720779, 20467.92, 0, 0.00, 1: 123; 2: 31; 3: 4; 
Lymphopoiesis_Regulatory_Network, 776, 11,  8,  197, 1, 3, 700557, 20467.92, 61, 0.00, 1: 120; 2: 37; 3: 1; 
Lymphopoiesis_Regulatory_Network, 790, 11,  8,  197, 1, 3, 700449, 20467.92, 0, 0.00, 1: 122; 2: 33; 3: 3; 
Lymphopoiesis_Regulatory_Network, 930,  7, 13,  197, 1, 3, 721071, 20467.92, 0, 0.00, 1: 123; 2: 31; 3: 4; 
Lymphopoiesis_Regulatory_Network, 474,  8, 11,  198, 1, 3, 700738, 20467.92, 0, 0.00, 1: 123; 2: 30; 3: 5; 
Lymphopoiesis_Regulatory_Network, 147,  9,  9,  198, 1, 3, 644760, 20467.92, 0, 0.00, 1: 122; 2: 32; 3: 4; 
Lymphopoiesis_Regulatory_Network, 879, 11,  8,  198, 1, 3, 700586, 20467.92, 0, 0.00, 1: 122; 2: 32; 3: 4; 
Lymphopoiesis_Regulatory_Network, 102, 12,  7,  198, 1, 3, 668788, 20467.92, 0, 0.00, 1: 122; 2: 32; 3: 4; 
Lymphopoiesis_Regulatory_Network, 100,  8, 11,  198, 1, 3, 701079, 20467.92, 63, 0.00, 1: 120; 2: 36; 3: 2; 
Lymphopoiesis_Regulatory_Network, 709,  7, 13,  198, 1, 3, 719949, 20467.92, 0, 0.00, 1: 123; 2: 30; 3: 5; 
Lymphopoiesis_Regulatory_Network, 902, 11,  8,  198, 1, 3, 700619, 20467.92, 0, 0.00, 1: 124; 2: 28; 3: 6; 
Lymphopoiesis_Regulatory_Network,  64, 11,  8,  198, 1, 3, 700384, 20467.92, 7, 0.00, 1: 121; 2: 34; 3: 3; 
Lymphopoiesis_Regulatory_Network, 381, 11,  8,  198, 1, 3, 700918, 20467.92, 0, 0.00, 1: 123; 2: 30; 3: 5; 
Lymphopoiesis_Regulatory_Network, 918,  7, 12,  199, 1, 3, 668861, 20467.92, 0, 0.00, 1: 121; 2: 33; 3: 4; 
Lymphopoiesis_Regulatory_Network, 233,  7, 13,  199, 1, 3, 721204, 20467.92, 0, 0.00, 1: 124; 2: 27; 3: 7; 
