Seed 1656949570
ARCH 2|F_ID 0|LIMIT 4
before: 
153(237)
Melhor resultado nxn: Lymphopoiesis_Regulatory_Network, 511,  9,  9,  213, 1, 3, 644760, 20443.05, 0, 0.00, 1: 110; 2: 41; 3: 7; 
Lymphopoiesis_Regulatory_Network, 297,  9, 10,  209, 1, 3, 713880, 20443.05, 0, 0.00, 1: 112; 2: 41; 3: 5; 
Lymphopoiesis_Regulatory_Network, 434, 11,  8,  210, 1, 3, 700108, 20443.05, 0, 0.00, 1: 111; 2: 42; 3: 5; 
Lymphopoiesis_Regulatory_Network, 798,  8, 11,  211, 1, 3, 700827, 20443.05, 0, 0.00, 1: 110; 2: 43; 3: 5; 
Lymphopoiesis_Regulatory_Network, 350,  9, 10,  211, 1, 3, 714229, 20443.05, 0, 0.00, 1: 110; 2: 43; 3: 5; 
Lymphopoiesis_Regulatory_Network, 987, 11,  8,  211, 1, 3, 700450, 20443.05, 0, 0.00, 1: 113; 2: 37; 3: 8; 
Lymphopoiesis_Regulatory_Network, 715,  7, 13,  211, 1, 3, 721360, 20443.05, 0, 0.00, 1: 111; 2: 41; 3: 6; 
Lymphopoiesis_Regulatory_Network, 899,  8, 11,  211, 1, 3, 700592, 20443.05, 0, 0.00, 1: 112; 2: 39; 3: 7; 
Lymphopoiesis_Regulatory_Network, 131,  9, 10,  211, 1, 3, 714519, 20443.05, 0, 0.00, 1: 109; 2: 45; 3: 4; 
Lymphopoiesis_Regulatory_Network,  86, 11,  8,  212, 1, 3, 700376, 20443.05, 0, 0.00, 1: 112; 2: 38; 3: 8; 
Lymphopoiesis_Regulatory_Network, 736,  9, 10,  212, 1, 3, 713644, 20443.05, 58, 0.00, 1: 109; 2: 44; 3: 5; 
Lymphopoiesis_Regulatory_Network, 858,  8, 11,  212, 1, 3, 700357, 20443.05, 0, 0.00, 1: 111; 2: 40; 3: 7; 
Lymphopoiesis_Regulatory_Network, 244,  7, 12,  212, 1, 3, 668822, 20443.05, 16, 0.00, 1: 111; 2: 40; 3: 7; 
Lymphopoiesis_Regulatory_Network, 381, 11,  8,  212, 1, 3, 700697, 20443.05, 0, 0.00, 1: 112; 2: 38; 3: 8; 
Lymphopoiesis_Regulatory_Network, 679,  6, 14,  212, 1, 3, 668771, 20443.05, 0, 0.00, 1: 107; 2: 48; 3: 3; 
