Seed 1656949570
ARCH 2|F_ID 0|LIMIT 4
before: 
3(369)
Melhor resultado nxn: MAPK_Cancer_Cell_Fate_Network,  31,  7,  9,  137, 1, 3, 492452, 14505.53, 0, 0.00, 1: 73; 2: 26; 3: 4; 
MAPK_Cancer_Cell_Fate_Network,  31,  7,  9,  137, 1, 3, 492452, 14505.53, 0, 0.00, 1: 73; 2: 26; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 549,  7,  8,  137, 1, 3, 443520, 14505.53, 0, 0.00, 1: 72; 2: 28; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 428,  6, 10,  137, 1, 3, 473616, 14505.53, 66, 0.00, 1: 73; 2: 26; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 738,  7,  9,  137, 1, 3, 491864, 14505.53, 0, 0.00, 1: 71; 2: 30; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 771,  7,  9,  139, 1, 3, 492445, 14505.53, 111, 0.00, 1: 68; 2: 34; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 551,  7,  8,  139, 1, 3, 443520, 14505.53, 0, 0.00, 1: 69; 2: 32; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 609,  7,  9,  139, 1, 3, 493233, 14505.53, 0, 0.00, 1: 71; 2: 28; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 243,  7,  8,  139, 1, 3, 443520, 14505.53, 0, 0.00, 1: 68; 2: 34; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 464,  7,  9,  139, 1, 3, 493146, 14505.53, 176, 0.00, 1: 70; 2: 30; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 205,  8,  7,  140, 1, 3, 443520, 14505.53, 85, 0.00, 1: 70; 2: 29; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 688,  7,  9,  140, 1, 3, 493192, 14505.53, 105, 0.00, 1: 70; 2: 29; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 742,  6, 10,  140, 1, 3, 473916, 14505.53, 0, 0.00, 1: 70; 2: 29; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 766,  7,  9,  140, 1, 3, 492890, 14505.53, 0, 0.00, 1: 69; 2: 31; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 725,  6, 10,  140, 1, 3, 473610, 14505.53, 85, 0.00, 1: 68; 2: 33; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 962,  7,  9,  140, 1, 3, 493047, 14505.53, 80, 0.00, 1: 68; 2: 33; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 961,  6, 10,  140, 1, 3, 473730, 14505.53, 85, 0.00, 1: 71; 2: 27; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 581,  6, 10,  140, 1, 3, 473637, 14505.53, 85, 0.00, 1: 70; 2: 29; 3: 4; 
MAPK_Cancer_Cell_Fate_Network,   0,  6, 10,  140, 1, 3, 473444, 14505.53, 0, 0.00, 1: 71; 2: 27; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 331,  5, 12,  140, 1, 3, 473342, 14505.53, 111, 0.00, 1: 71; 2: 27; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 544,  7,  9,  140, 1, 3, 493261, 14505.53, 7, 0.00, 1: 70; 2: 29; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 493,  7,  9,  140, 1, 3, 492697, 14505.53, 100, 0.00, 1: 67; 2: 35; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 118,  7,  8,  140, 1, 3, 443520, 14505.53, 0, 0.00, 1: 70; 2: 29; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 894,  7,  8,  140, 1, 3, 443520, 14505.53, 0, 0.00, 1: 68; 2: 33; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 426,  7,  9,  140, 1, 3, 492988, 14505.53, 82, 0.00, 1: 72; 2: 25; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 898,  7,  9,  140, 1, 3, 493168, 14505.53, 80, 0.00, 1: 69; 2: 31; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 174,  8,  7,  141, 1, 3, 443520, 14505.53, 0, 0.00, 1: 69; 2: 30; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 172,  6, 10,  141, 1, 3, 473512, 14505.53, 50, 0.00, 1: 71; 2: 26; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 806,  7,  9,  141, 1, 3, 493270, 14505.53, 0, 0.00, 1: 69; 2: 30; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 199,  6, 10,  141, 1, 3, 473506, 14505.53, 0, 0.00, 1: 70; 2: 28; 3: 5; 
MAPK_Cancer_Cell_Fate_Network,  77, 10,  6,  141, 1, 3, 473900, 14505.53, 85, 0.00, 1: 71; 2: 26; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 440,  7,  9,  141, 1, 3, 492547, 14505.53, 0, 0.00, 1: 68; 2: 32; 3: 3; 
MAPK_Cancer_Cell_Fate_Network,  54,  7,  9,  141, 1, 3, 493008, 14505.53, 0, 0.00, 1: 72; 2: 24; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 723, 10,  6,  141, 1, 3, 473688, 14505.53, 112, 0.00, 1: 66; 2: 36; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 709, 10,  6,  141, 1, 3, 473486, 14505.53, 85, 0.00, 1: 69; 2: 30; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 675,  7,  9,  141, 1, 3, 492999, 14505.53, 0, 0.00, 1: 72; 2: 24; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 671,  7,  9,  141, 1, 3, 492733, 14505.53, 0, 0.00, 1: 70; 2: 28; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 274,  6, 10,  141, 1, 3, 473346, 14505.53, 0, 0.00, 1: 68; 2: 32; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 350,  7,  9,  141, 1, 3, 492401, 14505.53, 0, 0.00, 1: 68; 2: 32; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 353, 10,  6,  141, 1, 3, 473146, 14505.53, 0, 0.00, 1: 72; 2: 24; 3: 7; 
MAPK_Cancer_Cell_Fate_Network, 500,  8,  7,  141, 1, 3, 443520, 14505.53, 0, 0.00, 1: 70; 2: 28; 3: 5; 
MAPK_Cancer_Cell_Fate_Network, 494,  7,  8,  141, 1, 3, 443520, 14505.53, 97, 0.00, 1: 68; 2: 32; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 486, 10,  6,  141, 1, 3, 473771, 14505.53, 0, 0.00, 1: 73; 2: 22; 3: 8; 
MAPK_Cancer_Cell_Fate_Network, 456,  8,  7,  141, 1, 3, 443520, 14505.53, 176, 0.00, 1: 69; 2: 30; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 423,  6, 10,  141, 1, 3, 473464, 14505.53, 0, 0.00, 1: 68; 2: 32; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 450,  7,  8,  141, 1, 3, 443520, 14505.53, 79, 0.00, 1: 67; 2: 34; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 448,  6, 10,  141, 1, 3, 473335, 14505.53, 160, 0.00, 1: 69; 2: 30; 3: 4; 
MAPK_Cancer_Cell_Fate_Network,  24, 10,  6,  141, 1, 3, 473580, 14505.53, 176, 0.00, 1: 71; 2: 26; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 943,  6, 10,  141, 1, 3, 473608, 14505.53, 0, 0.00, 1: 69; 2: 30; 3: 4; 
