Seed 1656949570
ARCH 1|F_ID 0|LIMIT 3
before: 
62(284)
Melhor resultado nxn: Treatment_of_Castration-Resistant_Prostate_Ca, 431,  7,  7,   76, 1, 2, 382047, 9161.15, 101, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 760,  8,  6,   75, 1, 2, 375925, 9161.15, 0, 0.00, 1: 55; 2: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca,  32,  6,  8,   75, 1, 2, 375476, 9161.15, 3, 0.00, 1: 55; 2: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 782,  6,  8,   75, 1, 2, 375989, 9161.15, 0, 0.00, 1: 55; 2: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 237,  8,  6,   75, 1, 2, 375156, 9161.15, 83, 0.00, 1: 55; 2: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 399,  8,  6,   75, 1, 2, 375429, 9161.15, 0, 0.00, 1: 55; 2: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 555,  8,  6,   76, 1, 2, 375808, 9161.15, 76, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 431,  7,  7,   76, 1, 2, 382047, 9161.15, 101, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 425,  5, 10,   76, 1, 2, 389193, 9161.15, 65, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 629,  8,  6,   76, 1, 2, 375699, 9161.15, 0, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 647,  9,  5,   76, 1, 2, 355111, 9161.15, 0, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca,  51,  5, 10,   76, 1, 2, 388967, 9161.15, 238, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 150,  6,  8,   76, 1, 2, 375866, 9161.15, 0, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 517,  7,  7,   76, 1, 2, 382286, 9161.15, 0, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 569,  7,  7,   76, 1, 2, 381697, 9161.15, 0, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 849,  7,  7,   76, 1, 2, 381029, 9161.15, 198, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 824,  5, 10,   76, 1, 2, 388959, 9161.15, 0, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 388,  6,  8,   76, 1, 2, 375301, 9161.15, 219, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 197,  8,  6,   76, 1, 2, 375755, 9161.15, 85, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 935,  8,  6,   77, 1, 2, 375953, 9161.15, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 690,  8,  6,   77, 1, 2, 376163, 9161.15, 105, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 913,  7,  7,   77, 1, 2, 382133, 9161.15, 92, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 273,  6,  8,   77, 1, 2, 375486, 9161.15, 90, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 417,  5, 10,   77, 1, 2, 389036, 9161.15, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 365,  8,  6,   77, 1, 2, 375536, 9161.15, 50, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 366,  5,  9,   77, 1, 2, 355005, 9161.15, 52, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 885,  9,  5,   77, 1, 2, 355080, 9161.15, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca,  76,  6,  8,   77, 1, 2, 375814, 9161.15, 219, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca,  74,  5, 10,   77, 1, 2, 388887, 9161.15, 23, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 531,  7,  7,   77, 1, 2, 382092, 9161.15, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 288,  5,  9,   77, 1, 2, 354921, 9161.15, 9, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 410,  8,  6,   77, 1, 2, 375448, 9161.15, 24, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 293,  6,  8,   77, 1, 2, 375768, 9161.15, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 401,  9,  5,   77, 1, 2, 355037, 9161.15, 90, 0.00, 1: 53; 2: 12; 
