Seed 1656949570
ARCH 2|F_ID 0|LIMIT 4
before: 
43(480)
Melhor resultado nxn: Yeast_Apoptosis, 836,  9,  9,  145, 1, 3, 639081, 17070.56, 75, 0.00, 1: 81; 2: 29; 3: 2; 
Yeast_Apoptosis, 714,  8, 10,  142, 1, 3, 634146, 17070.56, 64, 0.00, 1: 85; 2: 24; 3: 3; 
Yeast_Apoptosis, 923, 10,  8,  143, 1, 3, 634407, 17070.56, 187, 0.00, 1: 83; 2: 27; 3: 2; 
Yeast_Apoptosis, 155,  7, 12,  145, 1, 3, 657599, 17070.56, 186, 0.00, 1: 81; 2: 29; 3: 2; 
Yeast_Apoptosis, 378,  7, 12,  145, 1, 3, 658034, 17070.56, 0, 0.00, 1: 84; 2: 23; 3: 5; 
Yeast_Apoptosis, 836,  9,  9,  145, 1, 3, 639081, 17070.56, 75, 0.00, 1: 81; 2: 29; 3: 2; 
Yeast_Apoptosis, 681,  9,  9,  146, 1, 3, 638965, 17070.56, 67, 0.00, 1: 82; 2: 26; 3: 4; 
Yeast_Apoptosis, 214,  9,  9,  146, 1, 3, 638808, 17070.56, 0, 0.00, 1: 80; 2: 30; 3: 2; 
Yeast_Apoptosis,  26,  9,  9,  146, 1, 3, 638126, 17070.56, 64, 0.00, 1: 81; 2: 28; 3: 3; 
Yeast_Apoptosis, 559,  9,  9,  146, 1, 3, 639140, 17070.56, 0, 0.00, 1: 79; 2: 32; 3: 1; 
Yeast_Apoptosis, 279, 10,  8,  146, 1, 3, 634103, 17070.56, 0, 0.00, 1: 80; 2: 30; 3: 2; 
Yeast_Apoptosis,  18,  9,  9,  146, 1, 3, 639086, 17070.56, 64, 0.00, 1: 81; 2: 28; 3: 3; 
Yeast_Apoptosis, 459,  9,  9,  146, 1, 3, 639075, 17070.56, 186, 0.00, 1: 83; 2: 24; 3: 5; 
Yeast_Apoptosis, 292,  9,  9,  146, 1, 3, 639033, 17070.56, 0, 0.00, 1: 79; 2: 32; 3: 1; 
Yeast_Apoptosis, 691,  8, 10,  146, 1, 3, 634197, 17070.56, 0, 0.00, 1: 81; 2: 28; 3: 3; 
Yeast_Apoptosis, 465, 11,  7,  146, 1, 3, 613340, 17070.56, 160, 0.00, 1: 83; 2: 24; 3: 5; 
Yeast_Apoptosis, 388,  6, 14,  146, 1, 3, 658108, 17070.56, 0, 0.00, 1: 81; 2: 28; 3: 3; 
Yeast_Apoptosis, 312, 10,  8,  146, 1, 3, 634018, 17070.56, 0, 0.00, 1: 81; 2: 28; 3: 3; 
Yeast_Apoptosis, 682,  7, 12,  146, 1, 3, 658881, 17070.56, 68, 0.00, 1: 79; 2: 32; 3: 1; 
Yeast_Apoptosis, 103, 10,  8,  146, 1, 3, 634442, 17070.56, 0, 0.00, 1: 81; 2: 28; 3: 3; 
Yeast_Apoptosis, 879, 10,  8,  146, 1, 3, 633736, 17070.56, 89, 0.00, 1: 81; 2: 28; 3: 3; 
Yeast_Apoptosis, 639,  9,  9,  146, 1, 3, 638744, 17070.56, 0, 0.00, 1: 81; 2: 28; 3: 3; 
Yeast_Apoptosis, 368,  9,  9,  147, 1, 3, 639543, 17070.56, 115, 0.00, 1: 79; 2: 31; 3: 2; 
Yeast_Apoptosis, 282, 10,  8,  147, 1, 3, 633584, 17070.56, 88, 0.00, 1: 79; 2: 31; 3: 2; 
Yeast_Apoptosis,  61,  7, 12,  147, 1, 3, 659145, 17070.56, 86, 0.00, 1: 81; 2: 27; 3: 4; 
Yeast_Apoptosis, 593,  7, 12,  147, 1, 3, 658599, 17070.56, 2, 0.00, 1: 81; 2: 27; 3: 4; 
Yeast_Apoptosis, 269,  7, 12,  147, 1, 3, 658561, 17070.56, 86, 0.00, 1: 82; 2: 25; 3: 5; 
Yeast_Apoptosis,  82, 11,  7,  147, 1, 3, 612840, 17070.56, 88, 0.00, 1: 83; 2: 23; 3: 6; 
Yeast_Apoptosis, 739,  9,  9,  147, 1, 3, 639569, 17070.56, 0, 0.00, 1: 81; 2: 27; 3: 4; 
Yeast_Apoptosis, 875,  6, 14,  147, 1, 3, 658762, 17070.56, 116, 0.00, 1: 82; 2: 25; 3: 5; 
Yeast_Apoptosis, 759, 11,  7,  147, 1, 3, 613346, 17070.56, 0, 0.00, 1: 82; 2: 25; 3: 5; 
Yeast_Apoptosis, 180,  7, 12,  147, 1, 3, 659345, 17070.56, 6, 0.00, 1: 80; 2: 29; 3: 3; 
Yeast_Apoptosis, 838,  9,  9,  147, 1, 3, 639595, 17070.56, 0, 0.00, 1: 80; 2: 29; 3: 3; 
Yeast_Apoptosis, 490,  9,  9,  147, 1, 3, 639704, 17070.56, 73, 0.00, 1: 81; 2: 27; 3: 4; 
Yeast_Apoptosis, 540,  8, 10,  147, 1, 3, 634503, 17070.56, 75, 0.00, 1: 83; 2: 23; 3: 6; 
Yeast_Apoptosis, 175,  8, 10,  147, 1, 3, 633906, 17070.56, 0, 0.00, 1: 80; 2: 29; 3: 3; 
Yeast_Apoptosis, 526,  6, 13,  147, 1, 3, 619738, 17070.56, 0, 0.00, 1: 81; 2: 27; 3: 4; 
Yeast_Apoptosis, 179,  7, 12,  147, 1, 3, 658885, 17070.56, 0, 0.00, 1: 81; 2: 27; 3: 4; 
Yeast_Apoptosis, 984,  9,  9,  147, 1, 3, 639037, 17070.56, 200, 0.00, 1: 79; 2: 31; 3: 2; 
Yeast_Apoptosis, 983,  8, 10,  147, 1, 3, 633687, 17070.56, 0, 0.00, 1: 78; 2: 33; 3: 1; 
Yeast_Apoptosis, 978,  9,  9,  147, 1, 3, 638955, 17070.56, 64, 0.00, 1: 81; 2: 27; 3: 4; 
Yeast_Apoptosis,  22,  7, 11,  147, 1, 3, 613222, 17070.56, 0, 0.00, 1: 80; 2: 29; 3: 3; 
