Seed 1656949570
ARCH 1|F_ID 1|LIMIT 4
before: 
2(684)
Melhor resultado nxn: Apoptosis_network, 569,  6,  7,   83, 1, 2, 330624, 7209.36, 0, 0.00, 1: 63; 2: 10; 
Apoptosis_network, 569,  6,  7,   83, 1, 2, 330624, 7209.36, 0, 0.00, 1: 63; 2: 10; 
Apoptosis_network, 293,  6,  8,   84, 1, 2, 371814, 7209.36, 0, 0.00, 1: 62; 2: 11; 
Apoptosis_network,  57,  5, 10,   85, 1, 2, 384362, 7209.36, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 925,  9,  5,   85, 1, 2, 353282, 7209.36, 86, 0.00, 1: 61; 2: 12; 
Apoptosis_network,  79,  5, 10,   85, 1, 2, 384138, 7209.36, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 292,  6,  7,   85, 1, 2, 330624, 7209.36, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 696,  5, 10,   85, 1, 2, 383862, 7209.36, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 418,  5,  9,   85, 1, 2, 353410, 7209.36, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 651,  5, 10,   85, 1, 2, 384105, 7209.36, 6, 0.00, 1: 61; 2: 12; 
Apoptosis_network,  74,  5, 10,   85, 1, 2, 384451, 7209.36, 54, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 840,  6,  8,   85, 1, 2, 372034, 7209.36, 48, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 646,  6,  8,   85, 1, 2, 371529, 7209.36, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 992,  5, 10,   85, 1, 2, 383788, 7209.36, 6, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 687,  5, 10,   85, 1, 2, 384088, 7209.36, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 386,  9,  5,   85, 1, 2, 352798, 7209.36, 54, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 339,  6,  8,   85, 1, 2, 371839, 7209.36, 6, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 260,  5, 10,   85, 1, 2, 383991, 7209.36, 58, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 780,  6,  8,   85, 1, 2, 372045, 7209.36, 58, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 814,  6,  8,   85, 1, 2, 372114, 7209.36, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 868,  5, 10,   85, 1, 2, 384193, 7209.36, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 662,  6,  8,   85, 1, 2, 371840, 7209.36, 0, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 664,  5,  9,   85, 1, 2, 352784, 7209.36, 40, 0.00, 1: 61; 2: 12; 
Apoptosis_network, 383,  5, 10,   86, 1, 2, 383396, 7209.36, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 568,  6,  8,   86, 1, 2, 371950, 7209.36, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 378,  6,  8,   86, 1, 2, 372330, 7209.36, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 153,  6,  8,   86, 1, 2, 371540, 7209.36, 247, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 659,  5,  9,   86, 1, 2, 353436, 7209.36, 6, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 384,  5, 10,   86, 1, 2, 384389, 7209.36, 32, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 676,  5, 10,   86, 1, 2, 384178, 7209.36, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 160,  5, 10,   86, 1, 2, 384183, 7209.36, 5, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 391,  6,  8,   86, 1, 2, 372090, 7209.36, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network,  50,  9,  5,   86, 1, 2, 353100, 7209.36, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 374,  9,  5,   86, 1, 2, 353236, 7209.36, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 278,  5,  9,   86, 1, 2, 353226, 7209.36, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 708,  6,  8,   86, 1, 2, 372115, 7209.36, 58, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 365,  7,  6,   86, 1, 2, 330624, 7209.36, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 892,  9,  5,   86, 1, 2, 353109, 7209.36, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 585,  6,  7,   86, 1, 2, 330624, 7209.36, 240, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 883,  6,  8,   86, 1, 2, 371800, 7209.36, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 591,  5, 10,   86, 1, 2, 384038, 7209.36, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network,  93,  6,  8,   86, 1, 2, 372039, 7209.36, 86, 0.00, 1: 60; 2: 13; 
Apoptosis_network,  94,  5,  9,   86, 1, 2, 353279, 7209.36, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 630,  5, 10,   86, 1, 2, 384180, 7209.36, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 627,  5, 10,   86, 1, 2, 384603, 7209.36, 32, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 859,  9,  5,   86, 1, 2, 353148, 7209.36, 6, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 862,  6,  8,   86, 1, 2, 371965, 7209.36, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 111,  5,  9,   86, 1, 2, 353077, 7209.36, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 618,  6,  7,   86, 1, 2, 330624, 7209.36, 97, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 990,  5, 10,   86, 1, 2, 384212, 7209.36, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 446,  5, 10,   86, 1, 2, 384206, 7209.36, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 476,  4, 11,   86, 1, 2, 346166, 7209.36, 58, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 725,  5, 10,   86, 1, 2, 383565, 7209.36, 86, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 405,  9,  5,   86, 1, 2, 353212, 7209.36, 86, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 695,  6,  8,   86, 1, 2, 370645, 7209.36, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 164,  6,  8,   86, 1, 2, 371912, 7209.36, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 765,  5, 10,   86, 1, 2, 383986, 7209.36, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 241,  4, 12,   86, 1, 2, 371887, 7209.36, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 494,  5, 10,   86, 1, 2, 384364, 7209.36, 32, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 531,  6,  7,   86, 1, 2, 330624, 7209.36, 6, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 169,  5,  9,   86, 1, 2, 353329, 7209.36, 65, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 947,  5,  9,   86, 1, 2, 353317, 7209.36, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 534,  5,  9,   86, 1, 2, 353184, 7209.36, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 782,  6,  8,   86, 1, 2, 372093, 7209.36, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 680,  5, 10,   86, 1, 2, 383519, 7209.36, 32, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 698,  4, 11,   86, 1, 2, 346109, 7209.36, 0, 0.00, 1: 60; 2: 13; 
Apoptosis_network, 296,  5, 10,   87, 1, 2, 384501, 7209.36, 32, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 224,  5, 10,   87, 1, 2, 384158, 7209.36, 7, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 733,  5, 10,   87, 1, 2, 384282, 7209.36, 86, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 317,  5,  9,   87, 1, 2, 353298, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 635,  5, 10,   87, 1, 2, 384058, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 732,  7,  6,   87, 1, 2, 330624, 7209.36, 58, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 218,  9,  5,   87, 1, 2, 353287, 7209.36, 204, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 847,  6,  8,   87, 1, 2, 371846, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 848,  7,  6,   87, 1, 2, 330624, 7209.36, 48, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 313,  6,  7,   87, 1, 2, 330624, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 315,  9,  5,   87, 1, 2, 353196, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 217,  5,  9,   87, 1, 2, 353291, 7209.36, 247, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 744,  6,  8,   87, 1, 2, 371828, 7209.36, 32, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 215,  5, 10,   87, 1, 2, 383714, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 114,  5, 10,   87, 1, 2, 384119, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 707,  5,  9,   87, 1, 2, 353190, 7209.36, 6, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 717,  5, 10,   87, 1, 2, 384347, 7209.36, 86, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 212,  7,  6,   87, 1, 2, 330624, 7209.36, 58, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 715,  5,  9,   87, 1, 2, 353245, 7209.36, 6, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 711,  7,  6,   87, 1, 2, 330624, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 621,  6,  8,   87, 1, 2, 372043, 7209.36, 95, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 812,  5, 10,   87, 1, 2, 384363, 7209.36, 56, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 255,  5, 10,   87, 1, 2, 384171, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 248,  9,  5,   87, 1, 2, 353148, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 242,  7,  6,   87, 1, 2, 330624, 7209.36, 0, 0.00, 1: 59; 2: 14; 
