Seed 1656949570
ARCH 2|F_ID 1|LIMIT 4
before: 
2(500)
Melhor resultado nxn: Apoptosis_network,  40,  6,  8,   89, 1, 2, 371850, 7753.06, 32, 0.00, 1: 57; 2: 16; 
Apoptosis_network,  40,  6,  8,   89, 1, 2, 371850, 7753.06, 32, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 295,  6,  8,   89, 1, 2, 372157, 7753.06, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 872,  5, 10,   89, 1, 2, 384073, 7753.06, 32, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 416,  5, 10,   89, 1, 2, 383387, 7753.06, 6, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 564,  6,  8,   90, 1, 2, 372167, 7753.06, 255, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 993,  5,  9,   90, 1, 2, 353426, 7753.06, 0, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 480,  5,  9,   90, 1, 2, 353210, 7753.06, 7, 0.00, 1: 56; 2: 17; 
Apoptosis_network,  41,  5, 10,   90, 1, 2, 384372, 7753.06, 65, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 879,  6,  8,   90, 1, 2, 371910, 7753.06, 0, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 679,  5, 10,   90, 1, 2, 384153, 7753.06, 0, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 787,  5, 10,   90, 1, 2, 384243, 7753.06, 40, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 415,  5, 10,   90, 1, 2, 384426, 7753.06, 0, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 193,  5,  9,   90, 1, 2, 353345, 7753.06, 244, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 325,  5, 10,   91, 1, 2, 384210, 7753.06, 85, 0.00, 1: 55; 2: 18; 
Apoptosis_network,  96,  5, 10,   91, 1, 2, 383577, 7753.06, 5, 0.00, 1: 55; 2: 18; 
Apoptosis_network, 477,  6,  8,   91, 1, 2, 371851, 7753.06, 85, 0.00, 1: 55; 2: 18; 
Apoptosis_network, 711,  7,  6,   91, 1, 2, 330624, 7753.06, 0, 0.00, 1: 55; 2: 18; 
Apoptosis_network, 853,  6,  8,   91, 1, 2, 372150, 7753.06, 85, 0.00, 1: 55; 2: 18; 
Apoptosis_network, 590,  7,  6,   91, 1, 2, 330624, 7753.06, 0, 0.00, 1: 55; 2: 18; 
Apoptosis_network, 942,  5, 10,   91, 1, 2, 383907, 7753.06, 0, 0.00, 1: 55; 2: 18; 
Apoptosis_network,  57,  5, 10,   91, 1, 2, 383749, 7753.06, 0, 0.00, 1: 55; 2: 18; 
Apoptosis_network, 816,  5, 10,   91, 1, 2, 383396, 7753.06, 21, 0.00, 1: 55; 2: 18; 
Apoptosis_network, 355,  6,  8,   91, 1, 2, 371947, 7753.06, 0, 0.00, 1: 55; 2: 18; 
Apoptosis_network, 153,  6,  8,   91, 1, 2, 372084, 7753.06, 183, 0.00, 1: 55; 2: 18; 
Apoptosis_network, 145,  5,  9,   91, 1, 2, 353171, 7753.06, 97, 0.00, 1: 55; 2: 18; 
Apoptosis_network,  69,  6,  8,   91, 1, 2, 372243, 7753.06, 85, 0.00, 1: 55; 2: 18; 
Apoptosis_network, 537,  6,  8,   91, 1, 2, 371943, 7753.06, 184, 0.00, 1: 55; 2: 18; 
Apoptosis_network, 201,  7,  6,   91, 1, 2, 330624, 7753.06, 244, 0.00, 1: 55; 2: 18; 
Apoptosis_network, 842,  9,  5,   91, 1, 2, 353274, 7753.06, 210, 0.00, 1: 55; 2: 18; 
Apoptosis_network, 571,  6,  8,   91, 1, 2, 371897, 7753.06, 0, 0.00, 1: 55; 2: 18; 
Apoptosis_network, 891,  5,  9,   92, 1, 2, 353372, 7753.06, 0, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 921,  5,  9,   92, 1, 2, 353358, 7753.06, 255, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 686,  4, 11,   92, 1, 2, 346106, 7753.06, 0, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 649,  5, 10,   92, 1, 2, 383751, 7753.06, 170, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 613,  6,  8,   92, 1, 2, 372309, 7753.06, 0, 0.00, 1: 54; 2: 19; 
Apoptosis_network,  15,  9,  5,   92, 1, 2, 353354, 7753.06, 0, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 849,  6,  7,   92, 1, 2, 330624, 7753.06, 178, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 388,  6,  8,   92, 1, 2, 371918, 7753.06, 125, 0.00, 1: 54; 2: 19; 
Apoptosis_network,  65,  6,  7,   92, 1, 2, 330624, 7753.06, 29, 0.00, 1: 54; 2: 19; 
Apoptosis_network,  11,  5, 10,   92, 1, 2, 383762, 7753.06, 32, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 808,  6,  8,   92, 1, 2, 372139, 7753.06, 32, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 505,  6,  8,   92, 1, 2, 371934, 7753.06, 0, 0.00, 1: 54; 2: 19; 
Apoptosis_network, 734,  6,  8,   92, 1, 2, 372077, 7753.06, 0, 0.00, 1: 54; 2: 19; 
