Seed 1656949570
ARCH 0|F_ID 1|LIMIT 4
before: 
3(209)
Melhor resultado nxn: Apoptosis_network, 109,  6,  8,  110, 1, 3, 371940, 7240.49, 0, 0.00, 1: 42; 2: 25; 3: 6; 
Apoptosis_network, 109,  6,  8,  110, 1, 3, 371940, 7240.49, 0, 0.00, 1: 42; 2: 25; 3: 6; 
Apoptosis_network, 393,  6,  8,  111, 1, 3, 372017, 7240.49, 184, 0.00, 1: 40; 2: 28; 3: 5; 
Apoptosis_network, 661,  6,  8,  111, 1, 3, 371937, 7240.49, 85, 0.00, 1: 41; 2: 26; 3: 6; 
Apoptosis_network, 824,  5, 10,  111, 1, 3, 384244, 7240.49, 0, 0.00, 1: 41; 2: 26; 3: 6; 
Apoptosis_network, 571,  6,  8,  112, 1, 3, 371954, 7240.49, 0, 0.00, 1: 42; 2: 23; 3: 8; 
Apoptosis_network,   0,  6,  8,  112, 1, 3, 372043, 7240.49, 0, 0.00, 1: 40; 2: 27; 3: 6; 
Apoptosis_network, 150,  6,  8,  112, 1, 3, 371957, 7240.49, 0, 0.00, 1: 41; 2: 25; 3: 7; 
Apoptosis_network, 340,  6,  7,  112, 1, 3, 330624, 7240.49, 129, 0.00, 1: 41; 2: 25; 3: 7; 
Apoptosis_network, 261,  9,  5,  112, 1, 3, 353311, 7240.49, 85, 0.00, 1: 42; 2: 23; 3: 8; 
Apoptosis_network, 676,  5, 10,  112, 1, 3, 384175, 7240.49, 0, 0.00, 1: 42; 2: 23; 3: 8; 
Apoptosis_network, 875,  6,  8,  112, 1, 3, 371730, 7240.49, 115, 0.00, 1: 41; 2: 25; 3: 7; 
Apoptosis_network, 307,  9,  5,  112, 1, 3, 353191, 7240.49, 0, 0.00, 1: 41; 2: 25; 3: 7; 
Apoptosis_network, 178,  5, 10,  113, 1, 3, 383829, 7240.49, 0, 0.00, 1: 40; 2: 26; 3: 7; 
Apoptosis_network, 434,  6,  8,  113, 1, 3, 372109, 7240.49, 0, 0.00, 1: 40; 2: 26; 3: 7; 
Apoptosis_network, 243,  6,  7,  113, 1, 3, 330624, 7240.49, 0, 0.00, 1: 39; 2: 28; 3: 6; 
