Seed 1656949570
ARCH 0|F_ID 1|LIMIT 3
before: 
4(255)
Melhor resultado nxn: B_bronchiseptica_and_T_retortaeformis_coinfectio, 375,  6, 10,  237, 0, 4, 470467, 11992.95, 0, 0.00, 0: 6; 1: 52; 2: 50; 3: 23; 4: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 375,  6, 10,  237, 0, 4, 470467, 11992.95, 0, 0.00, 0: 6; 1: 52; 2: 50; 3: 23; 4: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 587,  7,  8,  238, 0, 4, 442641, 11992.95, 0, 0.00, 0: 6; 1: 54; 2: 45; 3: 26; 4: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 906,  7,  8,  239, 0, 4, 442693, 11992.95, 0, 0.00, 0: 6; 1: 50; 2: 52; 3: 23; 4: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 813,  7,  8,  239, 0, 4, 442678, 11992.95, 0, 0.00, 0: 6; 1: 56; 2: 45; 3: 19; 4: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 428,  6, 10,  239, 0, 4, 470492, 11992.95, 34, 0.00, 0: 6; 1: 54; 2: 46; 3: 23; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 427,  7,  8,  240, 0, 4, 442667, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 53; 3: 26; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 768,  8,  7,  240, 0, 4, 442651, 11992.95, 33, 0.00, 0: 6; 1: 48; 2: 54; 3: 24; 4: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 254,  7,  8,  241, 0, 4, 442650, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 56; 3: 19; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 321,  6, 10,  241, 0, 4, 470345, 11992.95, 0, 0.00, 0: 6; 1: 51; 2: 50; 3: 22; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 846,  7,  8,  241, 0, 4, 442658, 11992.95, 0, 0.00, 0: 6; 1: 51; 2: 49; 3: 24; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 553,  6, 10,  241, 0, 4, 470517, 11992.95, 0, 0.00, 0: 6; 1: 51; 2: 51; 3: 20; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 173,  8,  7,  241, 0, 4, 442622, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 53; 3: 25; 4: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 827,  9,  6,  242, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 53; 2: 46; 3: 23; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 441,  6, 10,  242, 0, 4, 470543, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 53; 3: 24; 4: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 793,  7,  8,  242, 0, 4, 442615, 11992.95, 0, 0.00, 0: 6; 1: 50; 2: 51; 3: 22; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 539,  8,  7,  242, 0, 4, 442697, 11992.95, 0, 0.00, 0: 6; 1: 51; 2: 48; 3: 25; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 836,  7,  8,  242, 0, 4, 442693, 11992.95, 32, 0.00, 0: 6; 1: 52; 2: 47; 3: 24; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 839,  6, 10,  242, 0, 4, 470426, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 54; 3: 22; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 543,  7,  8,  242, 0, 4, 442671, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 51; 3: 28; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 118,  7,  8,  242, 0, 4, 442623, 11992.95, 0, 0.00, 0: 6; 1: 53; 2: 46; 3: 23; 4: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 725,  6, 10,  242, 0, 4, 470497, 11992.95, 0, 0.00, 0: 6; 1: 53; 2: 43; 3: 29; 4: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 982,  6, 10,  242, 0, 4, 470479, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 51; 3: 25; 4: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 216,  6, 10,  242, 0, 4, 470425, 11992.95, 7, 0.00, 0: 6; 1: 51; 2: 48; 3: 25; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 977,  8,  7,  242, 0, 4, 442633, 11992.95, 0, 0.00, 0: 6; 1: 50; 2: 51; 3: 22; 4: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 295,  6, 10,  243, 0, 4, 470487, 11992.95, 0, 0.00, 0: 6; 1: 51; 2: 47; 3: 26; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 810,  9,  6,  243, 0, 4, 427869, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 59; 3: 14; 4: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 814,  6, 10,  243, 0, 4, 470396, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 54; 3: 18; 4: 8; 
