Seed 1656949570
ARCH 0|F_ID 1|LIMIT 4
before: 
4(202)
Melhor resultado nxn: Bortezomib_Responses_in_U266_Human_Myelo, 267,  9,  8,  228, 0, 4, 570342, 12440.03, 0, 0.00, 0: 1; 1: 62; 2: 41; 3: 20; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 267,  9,  8,  228, 0, 4, 570342, 12440.03, 0, 0.00, 0: 1; 1: 62; 2: 41; 3: 20; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 830,  7, 11,  230, 0, 4, 605031, 12440.03, 0, 0.00, 0: 1; 1: 61; 2: 43; 3: 17; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 824,  9,  8,  231, 0, 4, 570328, 12440.03, 59, 0.00, 0: 1; 1: 60; 2: 43; 3: 19; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 534,  7, 11,  232, 0, 4, 605004, 12440.03, 0, 0.00, 0: 1; 1: 57; 2: 48; 3: 17; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 896,  9,  8,  232, 0, 4, 570339, 12440.03, 62, 0.00, 0: 1; 1: 57; 2: 49; 3: 15; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 596,  7, 10,  232, 0, 4, 557157, 12440.03, 14, 0.00, 0: 1; 1: 61; 2: 40; 3: 21; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 511,  8,  9,  233, 0, 4, 570315, 12440.03, 0, 0.00, 0: 1; 1: 56; 2: 48; 3: 19; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo,  59,  9,  8,  233, 0, 4, 570264, 12440.03, 0, 0.00, 0: 1; 1: 59; 2: 41; 3: 24; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 861,  9,  8,  233, 0, 4, 570186, 12440.03, 0, 0.00, 0: 1; 1: 60; 2: 42; 3: 19; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 516, 10,  7,  233, 0, 4, 557180, 12440.03, 35, 0.00, 0: 1; 1: 58; 2: 44; 3: 21; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 798,  7, 11,  234, 0, 4, 604699, 12440.03, 0, 0.00, 0: 1; 1: 57; 2: 44; 3: 23; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 780,  7, 10,  234, 0, 4, 557215, 12440.03, 40, 0.00, 0: 1; 1: 59; 2: 44; 3: 17; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 407, 10,  7,  234, 0, 4, 557206, 12440.03, 0, 0.00, 0: 1; 1: 54; 2: 52; 3: 16; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 524,  9,  8,  234, 0, 4, 570235, 12440.03, 32, 0.00, 0: 1; 1: 56; 2: 47; 3: 20; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 538,  9,  8,  234, 0, 4, 570257, 12440.03, 0, 0.00, 0: 1; 1: 57; 2: 48; 3: 15; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 821,  9,  8,  234, 0, 4, 570351, 12440.03, 0, 0.00, 0: 1; 1: 58; 2: 47; 3: 14; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 174,  8,  9,  234, 0, 4, 570305, 12440.03, 0, 0.00, 0: 1; 1: 53; 2: 49; 3: 25; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 702,  9,  8,  235, 0, 4, 570221, 12440.03, 0, 0.00, 0: 1; 1: 52; 2: 52; 3: 21; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 748,  8,  9,  235, 0, 4, 570310, 12440.03, 57, 0.00, 0: 1; 1: 55; 2: 47; 3: 22; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 311,  8,  9,  235, 0, 4, 570283, 12440.03, 0, 0.00, 0: 1; 1: 56; 2: 45; 3: 23; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 795,  9,  8,  235, 0, 4, 570264, 12440.03, 0, 0.00, 0: 1; 1: 58; 2: 41; 3: 25; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 689,  8,  9,  235, 0, 4, 570184, 12440.03, 0, 0.00, 0: 1; 1: 54; 2: 51; 3: 17; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 595,  9,  8,  235, 0, 4, 570310, 12440.03, 0, 0.00, 0: 1; 1: 56; 2: 48; 3: 17; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo,  31,  8,  9,  235, 0, 4, 570348, 12440.03, 0, 0.00, 0: 1; 1: 56; 2: 48; 3: 17; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 426,  9,  8,  235, 0, 4, 570340, 12440.03, 0, 0.00, 0: 1; 1: 54; 2: 49; 3: 21; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 892,  7, 11,  236, 0, 4, 604997, 12440.03, 4, 0.00, 0: 1; 1: 56; 2: 45; 3: 22; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 559,  8,  9,  236, 0, 4, 570323, 12440.03, 0, 0.00, 0: 1; 1: 64; 2: 31; 3: 26; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 106, 10,  7,  236, 0, 4, 557135, 12440.03, 0, 0.00, 0: 1; 1: 58; 2: 44; 3: 18; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 801,  9,  8,  236, 0, 4, 570232, 12440.03, 0, 0.00, 0: 1; 1: 57; 2: 40; 3: 29; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 957,  8,  9,  236, 0, 4, 570197, 12440.03, 0, 0.00, 0: 1; 1: 52; 2: 51; 3: 22; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 371,  8,  9,  236, 0, 4, 570360, 12440.03, 0, 0.00, 0: 1; 1: 56; 2: 45; 3: 22; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 319,  8,  9,  236, 0, 4, 570322, 12440.03, 0, 0.00, 0: 1; 1: 52; 2: 55; 3: 14; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo,  53,  7, 11,  236, 0, 4, 604957, 12440.03, 0, 0.00, 0: 1; 1: 55; 2: 51; 3: 13; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo,  16, 10,  7,  236, 0, 4, 557189, 12440.03, 160, 0.00, 0: 1; 1: 58; 2: 45; 3: 16; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo,  66,  8,  9,  237, 0, 4, 570332, 12440.03, 0, 0.00, 0: 1; 1: 56; 2: 43; 3: 25; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo,  27,  8,  9,  237, 0, 4, 570347, 12440.03, 9, 0.00, 0: 1; 1: 55; 2: 46; 3: 22; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 223,  7, 11,  237, 0, 4, 604933, 12440.03, 0, 0.00, 0: 1; 1: 55; 2: 48; 3: 18; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 264,  9,  8,  237, 0, 4, 570359, 12440.03, 15, 0.00, 0: 1; 1: 52; 2: 52; 3: 19; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 425,  9,  8,  237, 0, 4, 570320, 12440.03, 0, 0.00, 0: 1; 1: 53; 2: 52; 3: 16; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 879,  9,  8,  237, 0, 4, 570296, 12440.03, 0, 0.00, 0: 1; 1: 57; 2: 43; 3: 22; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 776,  9,  8,  237, 0, 4, 570300, 12440.03, 55, 0.00, 0: 1; 1: 51; 2: 53; 3: 20; 4: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 589,  7, 10,  237, 0, 4, 557156, 12440.03, 0, 0.00, 0: 1; 1: 58; 2: 43; 3: 19; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 763, 10,  7,  237, 0, 4, 557190, 12440.03, 0, 0.00, 0: 1; 1: 59; 2: 42; 3: 18; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 706, 10,  7,  237, 0, 4, 557156, 12440.03, 0, 0.00, 0: 1; 1: 52; 2: 53; 3: 17; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 800,  8,  9,  237, 0, 4, 570317, 12440.03, 57, 0.00, 0: 1; 1: 54; 2: 50; 3: 17; 4: 8; 
