Seed 1656949570
ARCH 1|F_ID 1|LIMIT 4
before: 
103(216)
Melhor resultado nxn: CD4_T_cell_signaling, 432, 14, 14,  500, 1, 3, 1583856, 33154.60, 29, 0.00, 1: 210; 2: 118; 3: 18; 
CD4_T_cell_signaling, 158,  9, 23,  495, 1, 3, 1649475, 33154.60, 0, 0.00, 1: 216; 2: 111; 3: 19; 
CD4_T_cell_signaling, 316, 12, 17,  496, 1, 3, 1626457, 33154.60, 100, 0.00, 1: 217; 2: 108; 3: 21; 
CD4_T_cell_signaling, 972,  9, 22,  496, 1, 3, 1595602, 33154.60, 164, 0.00, 1: 221; 2: 100; 3: 25; 
CD4_T_cell_signaling, 731, 11, 18,  497, 1, 3, 1595505, 33154.60, 0, 0.00, 1: 215; 2: 111; 3: 20; 
CD4_T_cell_signaling, 754, 10, 20,  497, 1, 3, 1606436, 33154.60, 0, 0.00, 1: 212; 2: 117; 3: 17; 
CD4_T_cell_signaling, 654, 10, 20,  497, 1, 3, 1606625, 33154.60, 0, 0.00, 1: 208; 2: 125; 3: 13; 
CD4_T_cell_signaling, 598, 12, 17,  498, 1, 3, 1626279, 33154.60, 0, 0.00, 1: 210; 2: 120; 3: 16; 
CD4_T_cell_signaling, 928, 12, 17,  499, 1, 3, 1625989, 33154.60, 70, 0.00, 1: 207; 2: 125; 3: 14; 
CD4_T_cell_signaling, 899, 12, 16,  499, 1, 3, 1539686, 33154.60, 0, 0.00, 1: 210; 2: 119; 3: 17; 
CD4_T_cell_signaling, 694, 12, 17,  499, 1, 3, 1626399, 33154.60, 0, 0.00, 1: 210; 2: 119; 3: 17; 
CD4_T_cell_signaling, 432, 14, 14,  500, 1, 3, 1583856, 33154.60, 29, 0.00, 1: 210; 2: 118; 3: 18; 
CD4_T_cell_signaling, 463, 12, 17,  500, 1, 3, 1626352, 33154.60, 0, 0.00, 1: 215; 2: 108; 3: 23; 
CD4_T_cell_signaling, 588, 11, 18,  500, 1, 3, 1595584, 33154.60, 125, 0.00, 1: 208; 2: 122; 3: 16; 
CD4_T_cell_signaling, 793, 14, 14,  500, 1, 3, 1583896, 33154.60, 0, 0.00, 1: 208; 2: 122; 3: 16; 
CD4_T_cell_signaling, 160, 12, 17,  501, 1, 3, 1626647, 33154.60, 13, 0.00, 1: 213; 2: 111; 3: 22; 
CD4_T_cell_signaling,  73, 11, 18,  502, 1, 3, 1595573, 33154.60, 0, 0.00, 1: 213; 2: 110; 3: 23; 
CD4_T_cell_signaling, 188,  9, 22,  502, 1, 3, 1595562, 33154.60, 34, 0.00, 1: 206; 2: 124; 3: 16; 
CD4_T_cell_signaling, 795, 11, 18,  502, 1, 3, 1595542, 33154.60, 0, 0.00, 1: 205; 2: 126; 3: 15; 
CD4_T_cell_signaling, 497, 12, 16,  502, 1, 3, 1539746, 33154.60, 0, 0.00, 1: 208; 2: 120; 3: 18; 
CD4_T_cell_signaling, 994, 10, 20,  502, 1, 3, 1606640, 33154.60, 0, 0.00, 1: 213; 2: 110; 3: 23; 
CD4_T_cell_signaling, 214, 14, 14,  502, 1, 3, 1583777, 33154.60, 0, 0.00, 1: 208; 2: 120; 3: 18; 
CD4_T_cell_signaling,  58,  9, 23,  502, 1, 3, 1649334, 33154.60, 0, 0.00, 1: 207; 2: 122; 3: 17; 
CD4_T_cell_signaling, 504, 12, 17,  502, 1, 3, 1625965, 33154.60, 33, 0.00, 1: 216; 2: 104; 3: 26; 
CD4_T_cell_signaling, 303, 12, 17,  503, 1, 3, 1626450, 33154.60, 0, 0.00, 1: 205; 2: 125; 3: 16; 
CD4_T_cell_signaling, 964, 13, 15,  503, 1, 3, 1568204, 33154.60, 70, 0.00, 1: 211; 2: 113; 3: 22; 
CD4_T_cell_signaling, 513,  9, 23,  503, 1, 3, 1649623, 33154.60, 0, 0.00, 1: 207; 2: 121; 3: 18; 
CD4_T_cell_signaling, 108, 13, 15,  503, 1, 3, 1568133, 33154.60, 170, 0.00, 1: 210; 2: 115; 3: 21; 
CD4_T_cell_signaling, 889, 10, 20,  503, 1, 3, 1606700, 33154.60, 0, 0.00, 1: 211; 2: 113; 3: 22; 
CD4_T_cell_signaling, 589, 10, 20,  504, 1, 3, 1606179, 33154.60, 0, 0.00, 1: 206; 2: 122; 3: 18; 
CD4_T_cell_signaling, 514,  9, 23,  504, 1, 3, 1649547, 33154.60, 0, 0.00, 1: 214; 2: 106; 3: 26; 
CD4_T_cell_signaling, 753, 10, 19,  505, 1, 3, 1526091, 33154.60, 0, 0.00, 1: 205; 2: 123; 3: 18; 
CD4_T_cell_signaling, 387,  9, 23,  505, 1, 3, 1649493, 33154.60, 0, 0.00, 1: 206; 2: 121; 3: 19; 
CD4_T_cell_signaling, 238, 11, 18,  505, 1, 3, 1595376, 33154.60, 0, 0.00, 1: 201; 2: 131; 3: 14; 
CD4_T_cell_signaling, 376,  9, 22,  505, 1, 3, 1595675, 33154.60, 24, 0.00, 1: 204; 2: 125; 3: 17; 
CD4_T_cell_signaling, 215,  9, 23,  505, 1, 3, 1649667, 33154.60, 0, 0.00, 1: 206; 2: 121; 3: 19; 
CD4_T_cell_signaling, 863,  9, 22,  505, 1, 3, 1595611, 33154.60, 0, 0.00, 1: 209; 2: 115; 3: 22; 
CD4_T_cell_signaling, 755, 12, 17,  505, 1, 3, 1626373, 33154.60, 0, 0.00, 1: 207; 2: 119; 3: 20; 
CD4_T_cell_signaling, 619, 11, 18,  505, 1, 3, 1595545, 33154.60, 0, 0.00, 1: 200; 2: 133; 3: 13; 
CD4_T_cell_signaling, 461, 12, 17,  506, 1, 3, 1626175, 33154.60, 0, 0.00, 1: 206; 2: 120; 3: 20; 
CD4_T_cell_signaling, 878,  9, 23,  506, 1, 3, 1649463, 33154.60, 0, 0.00, 1: 202; 2: 128; 3: 16; 
CD4_T_cell_signaling, 978, 10, 19,  506, 1, 3, 1526103, 33154.60, 0, 0.00, 1: 202; 2: 128; 3: 16; 
CD4_T_cell_signaling, 722, 12, 16,  506, 1, 3, 1539736, 33154.60, 0, 0.00, 1: 205; 2: 122; 3: 19; 
CD4_T_cell_signaling, 243, 10, 20,  506, 1, 3, 1606601, 33154.60, 0, 0.00, 1: 202; 2: 128; 3: 16; 
CD4_T_cell_signaling, 340, 12, 17,  506, 1, 3, 1626241, 33154.60, 24, 0.00, 1: 202; 2: 128; 3: 16; 
CD4_T_cell_signaling, 866,  9, 22,  507, 1, 3, 1595372, 33154.60, 0, 0.00, 1: 204; 2: 123; 3: 19; 
CD4_T_cell_signaling, 130, 12, 17,  507, 1, 3, 1626163, 33154.60, 0, 0.00, 1: 201; 2: 129; 3: 16; 
CD4_T_cell_signaling, 658, 12, 16,  507, 1, 3, 1539743, 33154.60, 0, 0.00, 1: 210; 2: 111; 3: 25; 
CD4_T_cell_signaling, 484, 13, 15,  507, 1, 3, 1568161, 33154.60, 170, 0.00, 1: 205; 2: 121; 3: 20; 
CD4_T_cell_signaling, 664, 11, 18,  507, 1, 3, 1595528, 33154.60, 41, 0.00, 1: 205; 2: 121; 3: 20; 
CD4_T_cell_signaling, 951,  9, 22,  507, 1, 3, 1595595, 33154.60, 0, 0.00, 1: 203; 2: 125; 3: 18; 
CD4_T_cell_signaling, 305, 11, 18,  507, 1, 3, 1595400, 33154.60, 0, 0.00, 1: 202; 2: 127; 3: 17; 
CD4_T_cell_signaling, 550, 11, 18,  507, 1, 3, 1595405, 33154.60, 0, 0.00, 1: 205; 2: 121; 3: 20; 
CD4_T_cell_signaling, 769, 13, 15,  507, 1, 3, 1568198, 33154.60, 0, 0.00, 1: 200; 2: 131; 3: 15; 
CD4_T_cell_signaling, 541, 11, 18,  507, 1, 3, 1595515, 33154.60, 0, 0.00, 1: 204; 2: 123; 3: 19; 
CD4_T_cell_signaling, 300, 13, 15,  508, 1, 3, 1568087, 33154.60, 91, 0.00, 1: 198; 2: 134; 3: 14; 
CD4_T_cell_signaling, 806, 16, 12,  508, 1, 3, 1539776, 33154.60, 0, 0.00, 1: 201; 2: 128; 3: 17; 
CD4_T_cell_signaling, 553,  9, 22,  508, 1, 3, 1595554, 33154.60, 0, 0.00, 1: 209; 2: 112; 3: 25; 
CD4_T_cell_signaling, 730, 10, 20,  508, 1, 3, 1606787, 33154.60, 0, 0.00, 1: 198; 2: 134; 3: 14; 
CD4_T_cell_signaling, 344,  9, 23,  508, 1, 3, 1649569, 33154.60, 22, 0.00, 1: 203; 2: 124; 3: 19; 
CD4_T_cell_signaling, 829, 11, 18,  508, 1, 3, 1595582, 33154.60, 0, 0.00, 1: 206; 2: 118; 3: 22; 
CD4_T_cell_signaling, 717, 12, 17,  509, 1, 3, 1626125, 33154.60, 0, 0.00, 1: 205; 2: 119; 3: 22; 
CD4_T_cell_signaling, 198, 10, 20,  509, 1, 3, 1606749, 33154.60, 0, 0.00, 1: 207; 2: 115; 3: 24; 
CD4_T_cell_signaling, 433,  9, 21,  509, 1, 3, 1527876, 33154.60, 0, 0.00, 1: 202; 2: 125; 3: 19; 
CD4_T_cell_signaling, 913, 15, 13,  509, 1, 3, 1568169, 33154.60, 0, 0.00, 1: 205; 2: 119; 3: 22; 
CD4_T_cell_signaling, 405,  9, 23,  509, 1, 3, 1649614, 33154.60, 0, 0.00, 1: 204; 2: 121; 3: 21; 
CD4_T_cell_signaling, 398,  8, 24,  509, 1, 3, 1539727, 33154.60, 0, 0.00, 1: 206; 2: 117; 3: 23; 
CD4_T_cell_signaling, 587, 14, 14,  509, 1, 3, 1583811, 33154.60, 0, 0.00, 1: 206; 2: 117; 3: 23; 
CD4_T_cell_signaling, 581, 10, 19,  509, 1, 3, 1526100, 33154.60, 0, 0.00, 1: 202; 2: 125; 3: 19; 
CD4_T_cell_signaling, 757, 12, 16,  509, 1, 3, 1539786, 33154.60, 0, 0.00, 1: 205; 2: 119; 3: 22; 
CD4_T_cell_signaling, 352, 14, 14,  509, 1, 3, 1583788, 33154.60, 22, 0.00, 1: 204; 2: 121; 3: 21; 
CD4_T_cell_signaling, 181, 15, 13,  509, 1, 3, 1568187, 33154.60, 0, 0.00, 1: 197; 2: 135; 3: 14; 
CD4_T_cell_signaling, 154, 11, 18,  509, 1, 3, 1595437, 33154.60, 0, 0.00, 1: 204; 2: 121; 3: 21; 
CD4_T_cell_signaling, 392, 14, 14,  510, 1, 3, 1583768, 33154.60, 25, 0.00, 1: 205; 2: 118; 3: 23; 
CD4_T_cell_signaling, 649, 10, 20,  510, 1, 3, 1606650, 33154.60, 0, 0.00, 1: 200; 2: 128; 3: 18; 
CD4_T_cell_signaling, 763,  9, 22,  510, 1, 3, 1595217, 33154.60, 0, 0.00, 1: 202; 2: 124; 3: 20; 
CD4_T_cell_signaling, 620,  9, 22,  510, 1, 3, 1595658, 33154.60, 151, 0.00, 1: 198; 2: 132; 3: 16; 
CD4_T_cell_signaling, 374, 12, 16,  510, 1, 3, 1539756, 33154.60, 0, 0.00, 1: 203; 2: 122; 3: 21; 
CD4_T_cell_signaling, 847,  9, 21,  510, 1, 3, 1527876, 33154.60, 0, 0.00, 1: 203; 2: 122; 3: 21; 
CD4_T_cell_signaling, 692, 16, 12,  510, 1, 3, 1539743, 33154.60, 35, 0.00, 1: 199; 2: 130; 3: 17; 
CD4_T_cell_signaling, 332,  9, 21,  510, 1, 3, 1527876, 33154.60, 129, 0.00, 1: 206; 2: 116; 3: 24; 
CD4_T_cell_signaling, 615, 11, 18,  510, 1, 3, 1595485, 33154.60, 0, 0.00, 1: 202; 2: 124; 3: 20; 
CD4_T_cell_signaling, 212, 14, 14,  510, 1, 3, 1583843, 33154.60, 120, 0.00, 1: 202; 2: 124; 3: 20; 
CD4_T_cell_signaling, 244, 12, 17,  510, 1, 3, 1626049, 33154.60, 34, 0.00, 1: 207; 2: 114; 3: 25; 
CD4_T_cell_signaling, 944, 11, 18,  510, 1, 3, 1595467, 33154.60, 71, 0.00, 1: 201; 2: 126; 3: 19; 
CD4_T_cell_signaling, 984, 10, 19,  510, 1, 3, 1526100, 33154.60, 74, 0.00, 1: 202; 2: 124; 3: 20; 
CD4_T_cell_signaling, 788, 11, 18,  510, 1, 3, 1595569, 33154.60, 161, 0.00, 1: 201; 2: 126; 3: 19; 
CD4_T_cell_signaling, 804, 12, 17,  511, 1, 3, 1626131, 33154.60, 58, 0.00, 1: 205; 2: 117; 3: 24; 
CD4_T_cell_signaling, 987, 11, 18,  511, 1, 3, 1595084, 33154.60, 0, 0.00, 1: 203; 2: 121; 3: 22; 
CD4_T_cell_signaling,  63, 12, 17,  511, 1, 3, 1626245, 33154.60, 0, 0.00, 1: 205; 2: 117; 3: 24; 
CD4_T_cell_signaling, 859, 15, 13,  511, 1, 3, 1568126, 33154.60, 0, 0.00, 1: 204; 2: 119; 3: 23; 
CD4_T_cell_signaling, 486, 11, 18,  511, 1, 3, 1595547, 33154.60, 0, 0.00, 1: 198; 2: 131; 3: 17; 
CD4_T_cell_signaling, 339,  9, 21,  511, 1, 3, 1527876, 33154.60, 0, 0.00, 1: 203; 2: 121; 3: 22; 
CD4_T_cell_signaling, 772,  9, 23,  511, 1, 3, 1649304, 33154.60, 57, 0.00, 1: 202; 2: 123; 3: 21; 
CD4_T_cell_signaling, 824,  9, 23,  511, 1, 3, 1649946, 33154.60, 60, 0.00, 1: 201; 2: 125; 3: 20; 
