Seed 1656949570
ARCH 2|F_ID 1|LIMIT 2
before: 
192(976)
Melhor resultado nxn: Cholesterol_Regulatory_Pathway, 934,  6,  6,   45, 1, 2, 281825, 4783.71, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 943,  5,  8,   44, 1, 2, 308417, 4783.71, 0, 0.00, 1: 42; 2: 1; 
Cholesterol_Regulatory_Pathway, 804,  7,  5,   44, 1, 2, 274295, 4783.71, 0, 0.00, 1: 42; 2: 1; 
Cholesterol_Regulatory_Pathway, 758,  4, 10,   44, 1, 2, 307998, 4783.71, 0, 0.00, 1: 42; 2: 1; 
Cholesterol_Regulatory_Pathway, 767,  5,  7,   45, 1, 2, 274295, 4783.71, 1, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 262,  5,  8,   45, 1, 2, 308036, 4783.71, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 263,  5,  7,   45, 1, 2, 274295, 4783.71, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 150,  4, 10,   45, 1, 2, 307973, 4783.71, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 726,  5,  7,   45, 1, 2, 274295, 4783.71, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 743,  4, 10,   45, 1, 2, 308354, 4783.71, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 745,  9,  4,   45, 1, 2, 281721, 4783.71, 70, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 131,  4,  9,   45, 1, 2, 281851, 4783.71, 87, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 449,  5,  7,   45, 1, 2, 274295, 4783.71, 164, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 158,  5,  8,   45, 1, 2, 308000, 4783.71, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 813,  5,  8,   45, 1, 2, 308503, 4783.71, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 818,  4, 10,   45, 1, 2, 308453, 4783.71, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 820,  9,  4,   45, 1, 2, 281784, 4783.71, 3, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway,  85,  5,  8,   45, 1, 2, 308195, 4783.71, 86, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 297,  5,  8,   45, 1, 2, 308096, 4783.71, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 386,  9,  4,   45, 1, 2, 281712, 4783.71, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 934,  6,  6,   45, 1, 2, 281825, 4783.71, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 615,  6,  6,   45, 1, 2, 281834, 4783.71, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 554,  5,  8,   45, 1, 2, 308050, 4783.71, 121, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 224,  6,  6,   45, 1, 2, 281732, 4783.71, 34, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 550,  5,  8,   45, 1, 2, 308434, 4783.71, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 219,  5,  7,   45, 1, 2, 274295, 4783.71, 86, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 216,  4, 10,   45, 1, 2, 308203, 4783.71, 176, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 543,  5,  8,   45, 1, 2, 308788, 4783.71, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 575,  5,  8,   45, 1, 2, 308306, 4783.71, 1, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 596,  5,  7,   45, 1, 2, 274295, 4783.71, 74, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 603,  5,  8,   45, 1, 2, 308262, 4783.71, 87, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 431,  4, 10,   45, 1, 2, 308268, 4783.71, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 520,  9,  4,   45, 1, 2, 281822, 4783.71, 32, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 190,  9,  4,   45, 1, 2, 281808, 4783.71, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 624,  4,  9,   45, 1, 2, 281770, 4783.71, 101, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 507,  5,  8,   45, 1, 2, 308193, 4783.71, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 505,  4,  9,   45, 1, 2, 281854, 4783.71, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 250,  5,  8,   45, 1, 2, 308348, 4783.71, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 172,  5,  8,   45, 1, 2, 308140, 4783.71, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 484,  5,  8,   45, 1, 2, 308351, 4783.71, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 938,  6,  6,   45, 1, 2, 281822, 4783.71, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 351,  4, 10,   45, 1, 2, 308288, 4783.71, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway,  30,  4, 10,   45, 1, 2, 308222, 4783.71, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 971,  4, 10,   45, 1, 2, 308386, 4783.71, 87, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway,  12,  4, 10,   45, 1, 2, 308385, 4783.71, 71, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 993,  4, 10,   45, 1, 2, 308605, 4783.71, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway,  19,  6,  6,   46, 1, 2, 281948, 4783.71, 87, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 472,  5,  7,   46, 1, 2, 274295, 4783.71, 200, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 264,  4, 10,   46, 1, 2, 308190, 4783.71, 96, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 960,  9,  4,   46, 1, 2, 281785, 4783.71, 208, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 341,  4, 10,   46, 1, 2, 307949, 4783.71, 86, 0.00, 1: 40; 2: 3; 
