Seed 1656949570
ARCH 0|F_ID 1|LIMIT 2
before: 
02(437)
Melhor resultado nxn: Cholesterol_Regulatory_Pathway,  26,  6,  6,   47, 0, 2, 281790, 4512.16, 70, 0.00, 0: 2; 1: 35; 2: 6; 
Cholesterol_Regulatory_Pathway,  26,  6,  6,   47, 0, 2, 281790, 4512.16, 70, 0.00, 0: 2; 1: 35; 2: 6; 
Cholesterol_Regulatory_Pathway, 957,  5,  8,   47, 0, 2, 308363, 4512.16, 0, 0.00, 0: 2; 1: 35; 2: 6; 
Cholesterol_Regulatory_Pathway, 575,  5,  8,   48, 0, 2, 308389, 4512.16, 1, 0.00, 0: 2; 1: 34; 2: 7; 
Cholesterol_Regulatory_Pathway, 163,  5,  7,   48, 0, 2, 274295, 4512.16, 0, 0.00, 0: 2; 1: 34; 2: 7; 
Cholesterol_Regulatory_Pathway, 709,  5,  7,   48, 0, 2, 274295, 4512.16, 85, 0.00, 0: 2; 1: 34; 2: 7; 
Cholesterol_Regulatory_Pathway, 755,  7,  5,   48, 0, 2, 274295, 4512.16, 115, 0.00, 0: 2; 1: 34; 2: 7; 
Cholesterol_Regulatory_Pathway, 109,  5,  7,   48, 0, 2, 274295, 4512.16, 121, 0.00, 0: 2; 1: 34; 2: 7; 
Cholesterol_Regulatory_Pathway, 582,  5,  8,   48, 0, 2, 308001, 4512.16, 0, 0.00, 0: 2; 1: 34; 2: 7; 
Cholesterol_Regulatory_Pathway, 225,  5,  8,   48, 0, 2, 308276, 4512.16, 0, 0.00, 0: 2; 1: 34; 2: 7; 
Cholesterol_Regulatory_Pathway, 773,  5,  7,   48, 0, 2, 274295, 4512.16, 85, 0.00, 0: 2; 1: 34; 2: 7; 
Cholesterol_Regulatory_Pathway, 409,  7,  5,   48, 0, 2, 274295, 4512.16, 13, 0.00, 0: 2; 1: 34; 2: 7; 
Cholesterol_Regulatory_Pathway,   8,  5,  8,   48, 0, 2, 308437, 4512.16, 0, 0.00, 0: 2; 1: 34; 2: 7; 
Cholesterol_Regulatory_Pathway, 436,  6,  6,   48, 0, 2, 281804, 4512.16, 16, 0.00, 0: 2; 1: 34; 2: 7; 
Cholesterol_Regulatory_Pathway, 805,  5,  8,   48, 0, 2, 308329, 4512.16, 0, 0.00, 0: 2; 1: 34; 2: 7; 
Cholesterol_Regulatory_Pathway, 415,  6,  6,   48, 0, 2, 281727, 4512.16, 0, 0.00, 0: 2; 1: 34; 2: 7; 
Cholesterol_Regulatory_Pathway, 760,  4, 10,   49, 0, 2, 308289, 4512.16, 0, 0.00, 0: 2; 1: 33; 2: 8; 
Cholesterol_Regulatory_Pathway, 852,  6,  6,   49, 0, 2, 281809, 4512.16, 144, 0.00, 0: 2; 1: 33; 2: 8; 
Cholesterol_Regulatory_Pathway, 684,  6,  6,   49, 0, 2, 281798, 4512.16, 0, 0.00, 0: 2; 1: 33; 2: 8; 
Cholesterol_Regulatory_Pathway, 843,  4,  9,   49, 0, 2, 281800, 4512.16, 136, 0.00, 0: 2; 1: 33; 2: 8; 
Cholesterol_Regulatory_Pathway, 718,  5,  7,   49, 0, 2, 274295, 4512.16, 0, 0.00, 0: 2; 1: 33; 2: 8; 
Cholesterol_Regulatory_Pathway, 724,  7,  5,   49, 0, 2, 274295, 4512.16, 144, 0.00, 0: 2; 1: 33; 2: 8; 
Cholesterol_Regulatory_Pathway, 732,  6,  6,   49, 0, 2, 281757, 4512.16, 144, 0.00, 0: 2; 1: 33; 2: 8; 
Cholesterol_Regulatory_Pathway,  76,  7,  5,   49, 0, 2, 274295, 4512.16, 144, 0.00, 0: 2; 1: 33; 2: 8; 
Cholesterol_Regulatory_Pathway, 765,  4, 10,   49, 0, 2, 308284, 4512.16, 1, 0.00, 0: 2; 1: 33; 2: 8; 
Cholesterol_Regulatory_Pathway,  81,  7,  5,   49, 0, 2, 274295, 4512.16, 0, 0.00, 0: 2; 1: 33; 2: 8; 
Cholesterol_Regulatory_Pathway, 668,  5,  8,   49, 0, 2, 308325, 4512.16, 144, 0.00, 0: 2; 1: 33; 2: 8; 
