Seed 1656949570
ARCH 1|F_ID 1|LIMIT 3
before: 
2(655)
Melhor resultado nxn: Differentiation_of_T_lymphocytes, 617,  8,  7,  108, 1, 2, 438950, 8992.16, 73, 0.00, 1: 86; 2: 11; 
Differentiation_of_T_lymphocytes, 617,  8,  7,  108, 1, 2, 438950, 8992.16, 73, 0.00, 1: 86; 2: 11; 
Differentiation_of_T_lymphocytes, 398,  6,  9,  110, 1, 2, 426099, 8992.16, 0, 0.00, 1: 84; 2: 13; 
Differentiation_of_T_lymphocytes, 501,  7,  8,  110, 1, 2, 439221, 8992.16, 0, 0.00, 1: 84; 2: 13; 
Differentiation_of_T_lymphocytes, 464,  6,  9,  111, 1, 2, 426238, 8992.16, 192, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes, 355,  8,  7,  111, 1, 2, 439248, 8992.16, 0, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes, 920,  8,  7,  111, 1, 2, 439268, 8992.16, 152, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes, 625,  7,  8,  111, 1, 2, 439336, 8992.16, 0, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes, 277,  6,  9,  111, 1, 2, 426095, 8992.16, 85, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes,  71,  6,  9,  111, 1, 2, 426001, 8992.16, 0, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes, 859,  8,  7,  111, 1, 2, 439244, 8992.16, 201, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes, 774,  8,  7,  111, 1, 2, 439309, 8992.16, 0, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes, 129,  9,  6,  111, 1, 2, 426089, 8992.16, 24, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes, 453,  5, 12,  111, 1, 2, 464177, 8992.16, 85, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes, 435,  7,  8,  111, 1, 2, 439012, 8992.16, 0, 0.00, 1: 83; 2: 14; 
Differentiation_of_T_lymphocytes,  73,  6,  9,  112, 1, 2, 426085, 8992.16, 253, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 776,  6,  9,  112, 1, 2, 426031, 8992.16, 0, 0.00, 1: 82; 2: 15; 
Differentiation_of_T_lymphocytes, 605,  9,  6,  112, 1, 2, 425992, 8992.16, 85, 0.00, 1: 82; 2: 15; 
