Seed 1656949570
ARCH 2|F_ID 1|LIMIT 3
before: 
2(436)
Melhor resultado nxn: Differentiation_of_T_lymphocytes, 500,  8,  7,  117, 1, 2, 439055, 9903.41, 36, 0.00, 1: 77; 2: 20; 
Differentiation_of_T_lymphocytes, 500,  8,  7,  117, 1, 2, 439055, 9903.41, 36, 0.00, 1: 77; 2: 20; 
Differentiation_of_T_lymphocytes, 680,  8,  7,  118, 1, 2, 439156, 9903.41, 32, 0.00, 1: 76; 2: 21; 
Differentiation_of_T_lymphocytes, 586,  8,  7,  118, 1, 2, 439293, 9903.41, 77, 0.00, 1: 76; 2: 21; 
Differentiation_of_T_lymphocytes, 239,  6,  9,  118, 1, 2, 425787, 9903.41, 0, 0.00, 1: 76; 2: 21; 
Differentiation_of_T_lymphocytes, 825,  7,  8,  118, 1, 2, 438911, 9903.41, 0, 0.00, 1: 76; 2: 21; 
Differentiation_of_T_lymphocytes, 909,  7,  8,  118, 1, 2, 439320, 9903.41, 85, 0.00, 1: 76; 2: 21; 
Differentiation_of_T_lymphocytes, 450,  7,  8,  118, 1, 2, 439205, 9903.41, 77, 0.00, 1: 76; 2: 21; 
Differentiation_of_T_lymphocytes, 792,  7,  8,  118, 1, 2, 439178, 9903.41, 24, 0.00, 1: 76; 2: 21; 
Differentiation_of_T_lymphocytes, 883,  8,  7,  118, 1, 2, 439145, 9903.41, 0, 0.00, 1: 76; 2: 21; 
Differentiation_of_T_lymphocytes, 437,  7,  8,  118, 1, 2, 439303, 9903.41, 0, 0.00, 1: 76; 2: 21; 
Differentiation_of_T_lymphocytes, 160,  7,  8,  119, 1, 2, 439245, 9903.41, 6, 0.00, 1: 75; 2: 22; 
Differentiation_of_T_lymphocytes, 254,  7,  8,  119, 1, 2, 439078, 9903.41, 0, 0.00, 1: 75; 2: 22; 
Differentiation_of_T_lymphocytes, 319,  7,  8,  119, 1, 2, 439039, 9903.41, 0, 0.00, 1: 75; 2: 22; 
Differentiation_of_T_lymphocytes, 389,  9,  6,  119, 1, 2, 425966, 9903.41, 0, 0.00, 1: 75; 2: 22; 
Differentiation_of_T_lymphocytes, 639,  9,  6,  119, 1, 2, 426149, 9903.41, 0, 0.00, 1: 75; 2: 22; 
Differentiation_of_T_lymphocytes, 930,  9,  6,  119, 1, 2, 426293, 9903.41, 0, 0.00, 1: 75; 2: 22; 
Differentiation_of_T_lymphocytes, 854,  8,  7,  119, 1, 2, 439354, 9903.41, 0, 0.00, 1: 75; 2: 22; 
Differentiation_of_T_lymphocytes, 243,  7,  8,  119, 1, 2, 439435, 9903.41, 0, 0.00, 1: 75; 2: 22; 
Differentiation_of_T_lymphocytes, 272,  8,  7,  119, 1, 2, 439501, 9903.41, 96, 0.00, 1: 75; 2: 22; 
Differentiation_of_T_lymphocytes, 361,  7,  8,  119, 1, 2, 439364, 9903.41, 71, 0.00, 1: 75; 2: 22; 
Differentiation_of_T_lymphocytes, 752,  8,  7,  119, 1, 2, 438917, 9903.41, 8, 0.00, 1: 75; 2: 22; 
Differentiation_of_T_lymphocytes, 751,  8,  7,  119, 1, 2, 439083, 9903.41, 0, 0.00, 1: 75; 2: 22; 
Differentiation_of_T_lymphocytes, 442,  8,  7,  119, 1, 2, 438941, 9903.41, 0, 0.00, 1: 75; 2: 22; 
Differentiation_of_T_lymphocytes, 898,  6,  9,  120, 1, 2, 426173, 9903.41, 77, 0.00, 1: 74; 2: 23; 
Differentiation_of_T_lymphocytes, 494,  7,  8,  120, 1, 2, 439349, 9903.41, 0, 0.00, 1: 74; 2: 23; 
Differentiation_of_T_lymphocytes, 264,  9,  6,  120, 1, 2, 425966, 9903.41, 64, 0.00, 1: 74; 2: 23; 
Differentiation_of_T_lymphocytes, 563,  7,  8,  120, 1, 2, 439029, 9903.41, 0, 0.00, 1: 74; 2: 23; 
Differentiation_of_T_lymphocytes, 953,  8,  7,  120, 1, 2, 439446, 9903.41, 0, 0.00, 1: 74; 2: 23; 
Differentiation_of_T_lymphocytes, 351,  9,  6,  120, 1, 2, 426107, 9903.41, 0, 0.00, 1: 74; 2: 23; 
Differentiation_of_T_lymphocytes,  53,  8,  7,  120, 1, 2, 439139, 9903.41, 0, 0.00, 1: 74; 2: 23; 
Differentiation_of_T_lymphocytes, 594,  9,  6,  120, 1, 2, 426070, 9903.41, 77, 0.00, 1: 74; 2: 23; 
Differentiation_of_T_lymphocytes, 456,  8,  7,  120, 1, 2, 439174, 9903.41, 192, 0.00, 1: 74; 2: 23; 
Differentiation_of_T_lymphocytes, 116,  7,  8,  120, 1, 2, 439247, 9903.41, 29, 0.00, 1: 74; 2: 23; 
Differentiation_of_T_lymphocytes, 625,  7,  8,  120, 1, 2, 439295, 9903.41, 0, 0.00, 1: 74; 2: 23; 
Differentiation_of_T_lymphocytes, 928,  7,  8,  120, 1, 2, 439193, 9903.41, 7, 0.00, 1: 74; 2: 23; 
Differentiation_of_T_lymphocytes, 498,  9,  6,  120, 1, 2, 426229, 9903.41, 0, 0.00, 1: 74; 2: 23; 
Differentiation_of_T_lymphocytes, 598,  7,  8,  120, 1, 2, 439121, 9903.41, 0, 0.00, 1: 74; 2: 23; 
Differentiation_of_T_lymphocytes, 964,  9,  6,  120, 1, 2, 426004, 9903.41, 0, 0.00, 1: 74; 2: 23; 
Differentiation_of_T_lymphocytes, 178,  9,  6,  120, 1, 2, 426096, 9903.41, 0, 0.00, 1: 74; 2: 23; 
Differentiation_of_T_lymphocytes, 720,  7,  8,  120, 1, 2, 439327, 9903.41, 192, 0.00, 1: 74; 2: 23; 
Differentiation_of_T_lymphocytes, 543,  7,  8,  120, 1, 2, 439138, 9903.41, 0, 0.00, 1: 74; 2: 23; 
Differentiation_of_T_lymphocytes, 916,  8,  7,  120, 1, 2, 439190, 9903.41, 143, 0.00, 1: 74; 2: 23; 
Differentiation_of_T_lymphocytes, 906,  7,  8,  120, 1, 2, 439497, 9903.41, 77, 0.00, 1: 74; 2: 23; 
