Seed 1656949570
ARCH 0|F_ID 1|LIMIT 3
before: 
3(298)
Melhor resultado nxn: Differentiation_of_T_lymphocytes, 876,  7,  8,  130, 0, 3, 439272, 9033.49, 50, 0.00, 0: 8; 1: 53; 2: 31; 3: 5; 
Differentiation_of_T_lymphocytes, 876,  7,  8,  130, 0, 3, 439272, 9033.49, 50, 0.00, 0: 8; 1: 53; 2: 31; 3: 5; 
Differentiation_of_T_lymphocytes, 679,  7,  8,  130, 0, 3, 439191, 9033.49, 0, 0.00, 0: 8; 1: 53; 2: 31; 3: 5; 
Differentiation_of_T_lymphocytes,  89,  7,  8,  130, 0, 3, 439113, 9033.49, 85, 0.00, 0: 8; 1: 53; 2: 31; 3: 5; 
Differentiation_of_T_lymphocytes, 490,  7,  8,  130, 0, 3, 439229, 9033.49, 70, 0.00, 0: 8; 1: 52; 2: 33; 3: 4; 
Differentiation_of_T_lymphocytes, 959,  8,  7,  131, 0, 3, 439152, 9033.49, 0, 0.00, 0: 8; 1: 51; 2: 34; 3: 4; 
Differentiation_of_T_lymphocytes, 793,  7,  8,  131, 0, 3, 439229, 9033.49, 88, 0.00, 0: 8; 1: 52; 2: 32; 3: 5; 
Differentiation_of_T_lymphocytes, 476,  8,  7,  131, 0, 3, 439243, 9033.49, 86, 0.00, 0: 8; 1: 52; 2: 32; 3: 5; 
Differentiation_of_T_lymphocytes, 222,  7,  8,  132, 0, 3, 438888, 9033.49, 0, 0.00, 0: 8; 1: 52; 2: 31; 3: 6; 
Differentiation_of_T_lymphocytes, 973,  7,  8,  132, 0, 3, 439085, 9033.49, 0, 0.00, 0: 8; 1: 52; 2: 31; 3: 6; 
Differentiation_of_T_lymphocytes, 203,  8,  7,  132, 0, 3, 439192, 9033.49, 195, 0.00, 0: 8; 1: 51; 2: 33; 3: 5; 
Differentiation_of_T_lymphocytes, 477,  7,  8,  132, 0, 3, 439251, 9033.49, 85, 0.00, 0: 8; 1: 53; 2: 29; 3: 7; 
Differentiation_of_T_lymphocytes, 234,  7,  8,  133, 0, 3, 439017, 9033.49, 111, 0.00, 0: 8; 1: 50; 2: 34; 3: 5; 
Differentiation_of_T_lymphocytes, 859,  8,  7,  133, 0, 3, 439158, 9033.49, 196, 0.00, 0: 8; 1: 49; 2: 36; 3: 4; 
Differentiation_of_T_lymphocytes, 821,  8,  7,  133, 0, 3, 439129, 9033.49, 0, 0.00, 0: 8; 1: 53; 2: 28; 3: 8; 
Differentiation_of_T_lymphocytes, 802,  8,  7,  134, 0, 3, 439151, 9033.49, 0, 0.00, 0: 8; 1: 52; 2: 29; 3: 8; 
Differentiation_of_T_lymphocytes, 795,  9,  6,  134, 0, 3, 426095, 9033.49, 196, 0.00, 0: 8; 1: 50; 2: 33; 3: 6; 
Differentiation_of_T_lymphocytes, 787,  7,  8,  134, 0, 3, 439181, 9033.49, 196, 0.00, 0: 8; 1: 50; 2: 33; 3: 6; 
Differentiation_of_T_lymphocytes, 755,  7,  8,  134, 0, 3, 439229, 9033.49, 0, 0.00, 0: 8; 1: 48; 2: 37; 3: 4; 
Differentiation_of_T_lymphocytes, 110,  8,  7,  134, 0, 3, 439225, 9033.49, 0, 0.00, 0: 8; 1: 51; 2: 31; 3: 7; 
Differentiation_of_T_lymphocytes, 174,  8,  7,  134, 0, 3, 439216, 9033.49, 0, 0.00, 0: 8; 1: 51; 2: 31; 3: 7; 
Differentiation_of_T_lymphocytes, 552,  8,  7,  134, 0, 3, 439098, 9033.49, 32, 0.00, 0: 8; 1: 49; 2: 35; 3: 5; 
Differentiation_of_T_lymphocytes,  53,  8,  7,  134, 0, 3, 439211, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 39; 3: 3; 
Differentiation_of_T_lymphocytes, 639,  9,  6,  135, 0, 3, 426093, 9033.49, 0, 0.00, 0: 8; 1: 49; 2: 34; 3: 6; 
Differentiation_of_T_lymphocytes, 823,  7,  8,  135, 0, 3, 439235, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 40; 3: 3; 
Differentiation_of_T_lymphocytes, 628,  8,  7,  135, 0, 3, 439172, 9033.49, 255, 0.00, 0: 8; 1: 48; 2: 36; 3: 5; 
Differentiation_of_T_lymphocytes, 558,  8,  7,  135, 0, 3, 439246, 9033.49, 32, 0.00, 0: 8; 1: 49; 2: 34; 3: 6; 
Differentiation_of_T_lymphocytes, 955,  8,  7,  135, 0, 3, 439183, 9033.49, 0, 0.00, 0: 8; 1: 49; 2: 34; 3: 6; 
Differentiation_of_T_lymphocytes, 589,  7,  8,  135, 0, 3, 439364, 9033.49, 85, 0.00, 0: 8; 1: 49; 2: 34; 3: 6; 
