Seed 1656949570
ARCH 1|F_ID 1|LIMIT 4
before: 
3(792)
Melhor resultado nxn: EGFR_&_ErbB_Signaling, 901,  8, 14,  336, 1, 3, 891074, 21421.00, 0, 0.00, 1: 130; 2: 85; 3: 12; 
EGFR_&_ErbB_Signaling, 901,  8, 14,  336, 1, 3, 891074, 21421.00, 0, 0.00, 1: 130; 2: 85; 3: 12; 
EGFR_&_ErbB_Signaling, 935,  8, 14,  337, 1, 3, 891156, 21421.00, 0, 0.00, 1: 125; 2: 94; 3: 8; 
EGFR_&_ErbB_Signaling, 459, 10, 11,  338, 1, 3, 879079, 21421.00, 0, 0.00, 1: 125; 2: 93; 3: 9; 
EGFR_&_ErbB_Signaling, 232,  7, 16,  338, 1, 3, 890999, 21421.00, 16, 0.00, 1: 128; 2: 87; 3: 12; 
EGFR_&_ErbB_Signaling, 130, 10, 11,  338, 1, 3, 879230, 21421.00, 0, 0.00, 1: 125; 2: 93; 3: 9; 
EGFR_&_ErbB_Signaling, 565,  7, 17,  339, 1, 3, 940702, 21421.00, 0, 0.00, 1: 125; 2: 92; 3: 10; 
EGFR_&_ErbB_Signaling, 569, 10, 11,  339, 1, 3, 878978, 21421.00, 0, 0.00, 1: 125; 2: 92; 3: 10; 
EGFR_&_ErbB_Signaling, 940,  7, 17,  339, 1, 3, 940459, 21421.00, 13, 0.00, 1: 125; 2: 92; 3: 10; 
EGFR_&_ErbB_Signaling, 874,  7, 17,  339, 1, 3, 940321, 21421.00, 0, 0.00, 1: 129; 2: 84; 3: 14; 
EGFR_&_ErbB_Signaling, 125,  7, 17,  339, 1, 3, 940451, 21421.00, 0, 0.00, 1: 126; 2: 90; 3: 11; 
EGFR_&_ErbB_Signaling, 551,  7, 17,  339, 1, 3, 940593, 21421.00, 0, 0.00, 1: 124; 2: 94; 3: 9; 
EGFR_&_ErbB_Signaling, 977,  7, 16,  340, 1, 3, 891081, 21421.00, 0, 0.00, 1: 124; 2: 93; 3: 10; 
EGFR_&_ErbB_Signaling, 896,  8, 14,  340, 1, 3, 891018, 21421.00, 42, 0.00, 1: 121; 2: 99; 3: 7; 
EGFR_&_ErbB_Signaling,   7, 10, 11,  340, 1, 3, 878940, 21421.00, 0, 0.00, 1: 125; 2: 91; 3: 11; 
EGFR_&_ErbB_Signaling, 867,  7, 17,  340, 1, 3, 940096, 21421.00, 0, 0.00, 1: 125; 2: 91; 3: 11; 
EGFR_&_ErbB_Signaling, 196,  7, 17,  340, 1, 3, 940466, 21421.00, 100, 0.00, 1: 127; 2: 87; 3: 13; 
EGFR_&_ErbB_Signaling, 777,  8, 14,  340, 1, 3, 891032, 21421.00, 0, 0.00, 1: 124; 2: 93; 3: 10; 
EGFR_&_ErbB_Signaling, 996,  8, 14,  340, 1, 3, 891048, 21421.00, 62, 0.00, 1: 125; 2: 91; 3: 11; 
EGFR_&_ErbB_Signaling, 489,  8, 14,  341, 1, 3, 890752, 21421.00, 0, 0.00, 1: 124; 2: 92; 3: 11; 
EGFR_&_ErbB_Signaling, 576,  7, 16,  341, 1, 3, 890930, 21421.00, 26, 0.00, 1: 125; 2: 90; 3: 12; 
EGFR_&_ErbB_Signaling,  62,  7, 16,  341, 1, 3, 891017, 21421.00, 0, 0.00, 1: 124; 2: 92; 3: 11; 
