Seed 1656949570
ARCH 2|F_ID 1|LIMIT 4
before: 
3(647)
Melhor resultado nxn: EGFR_&_ErbB_Signaling, 513,  8, 14,  350, 1, 3, 891013, 22578.03, 0, 0.00, 1: 120; 2: 91; 3: 16; 
EGFR_&_ErbB_Signaling, 513,  8, 14,  350, 1, 3, 891013, 22578.03, 0, 0.00, 1: 120; 2: 91; 3: 16; 
EGFR_&_ErbB_Signaling, 231, 11, 10,  353, 1, 3, 879134, 22578.03, 0, 0.00, 1: 115; 2: 98; 3: 14; 
EGFR_&_ErbB_Signaling, 121,  7, 17,  353, 1, 3, 940157, 22578.03, 0, 0.00, 1: 115; 2: 98; 3: 14; 
EGFR_&_ErbB_Signaling, 364,  8, 14,  354, 1, 3, 891002, 22578.03, 55, 0.00, 1: 116; 2: 95; 3: 16; 
EGFR_&_ErbB_Signaling, 254, 10, 11,  354, 1, 3, 878944, 22578.03, 0, 0.00, 1: 114; 2: 99; 3: 14; 
EGFR_&_ErbB_Signaling, 244,  8, 14,  354, 1, 3, 890896, 22578.03, 23, 0.00, 1: 116; 2: 95; 3: 16; 
EGFR_&_ErbB_Signaling, 435,  7, 17,  354, 1, 3, 940490, 22578.03, 0, 0.00, 1: 114; 2: 99; 3: 14; 
EGFR_&_ErbB_Signaling, 572,  8, 14,  355, 1, 3, 891103, 22578.03, 71, 0.00, 1: 112; 2: 102; 3: 13; 
EGFR_&_ErbB_Signaling,  57,  8, 14,  355, 1, 3, 891183, 22578.03, 0, 0.00, 1: 111; 2: 104; 3: 12; 
EGFR_&_ErbB_Signaling, 988,  8, 14,  355, 1, 3, 891179, 22578.03, 40, 0.00, 1: 116; 2: 94; 3: 17; 
EGFR_&_ErbB_Signaling, 253, 11, 10,  355, 1, 3, 878923, 22578.03, 0, 0.00, 1: 110; 2: 106; 3: 11; 
EGFR_&_ErbB_Signaling, 241,  9, 12,  355, 1, 3, 865841, 22578.03, 0, 0.00, 1: 115; 2: 96; 3: 16; 
EGFR_&_ErbB_Signaling, 755, 10, 11,  355, 1, 3, 879004, 22578.03, 0, 0.00, 1: 108; 2: 110; 3: 9; 
EGFR_&_ErbB_Signaling, 215,  8, 14,  355, 1, 3, 890808, 22578.03, 0, 0.00, 1: 113; 2: 100; 3: 14; 
EGFR_&_ErbB_Signaling, 777,  8, 14,  355, 1, 3, 891004, 22578.03, 0, 0.00, 1: 113; 2: 100; 3: 14; 
EGFR_&_ErbB_Signaling, 319,  7, 17,  355, 1, 3, 940606, 22578.03, 0, 0.00, 1: 111; 2: 104; 3: 12; 
EGFR_&_ErbB_Signaling, 663,  7, 17,  355, 1, 3, 940152, 22578.03, 0, 0.00, 1: 112; 2: 102; 3: 13; 
EGFR_&_ErbB_Signaling, 533,  7, 16,  355, 1, 3, 891036, 22578.03, 0, 0.00, 1: 115; 2: 96; 3: 16; 
EGFR_&_ErbB_Signaling, 150,  9, 12,  355, 1, 3, 865800, 22578.03, 0, 0.00, 1: 115; 2: 96; 3: 16; 
EGFR_&_ErbB_Signaling, 983,  8, 14,  356, 1, 3, 891164, 22578.03, 0, 0.00, 1: 113; 2: 99; 3: 15; 
EGFR_&_ErbB_Signaling, 759,  6, 19,  356, 1, 3, 907846, 22578.03, 0, 0.00, 1: 114; 2: 97; 3: 16; 
EGFR_&_ErbB_Signaling, 760,  8, 14,  356, 1, 3, 891124, 22578.03, 33, 0.00, 1: 108; 2: 109; 3: 10; 
EGFR_&_ErbB_Signaling, 367,  7, 16,  356, 1, 3, 891038, 22578.03, 0, 0.00, 1: 110; 2: 105; 3: 12; 
EGFR_&_ErbB_Signaling, 451,  7, 17,  356, 1, 3, 940660, 22578.03, 0, 0.00, 1: 113; 2: 99; 3: 15; 
EGFR_&_ErbB_Signaling, 579,  7, 16,  356, 1, 3, 891262, 22578.03, 0, 0.00, 1: 111; 2: 103; 3: 13; 
EGFR_&_ErbB_Signaling, 217,  7, 17,  356, 1, 3, 940760, 22578.03, 0, 0.00, 1: 111; 2: 103; 3: 13; 
EGFR_&_ErbB_Signaling, 994,  8, 14,  356, 1, 3, 890941, 22578.03, 0, 0.00, 1: 110; 2: 105; 3: 12; 
EGFR_&_ErbB_Signaling, 482,  9, 12,  356, 1, 3, 865801, 22578.03, 0, 0.00, 1: 114; 2: 97; 3: 16; 
EGFR_&_ErbB_Signaling, 209, 12,  9,  356, 1, 3, 865853, 22578.03, 0, 0.00, 1: 112; 2: 101; 3: 14; 
EGFR_&_ErbB_Signaling, 638,  7, 17,  356, 1, 3, 940833, 22578.03, 0, 0.00, 1: 116; 2: 93; 3: 18; 
EGFR_&_ErbB_Signaling, 190,  8, 14,  356, 1, 3, 891133, 22578.03, 0, 0.00, 1: 113; 2: 99; 3: 15; 
EGFR_&_ErbB_Signaling, 484,  9, 12,  356, 1, 3, 865852, 22578.03, 89, 0.00, 1: 112; 2: 101; 3: 14; 
EGFR_&_ErbB_Signaling, 946,  9, 12,  356, 1, 3, 865708, 22578.03, 0, 0.00, 1: 112; 2: 101; 3: 14; 
EGFR_&_ErbB_Signaling, 819, 12,  9,  357, 1, 3, 865820, 22578.03, 0, 0.00, 1: 116; 2: 92; 3: 19; 
EGFR_&_ErbB_Signaling, 395,  7, 16,  357, 1, 3, 891211, 22578.03, 0, 0.00, 1: 113; 2: 98; 3: 16; 
EGFR_&_ErbB_Signaling, 825,  8, 14,  357, 1, 3, 891017, 22578.03, 0, 0.00, 1: 111; 2: 102; 3: 14; 
EGFR_&_ErbB_Signaling, 422, 12,  9,  357, 1, 3, 865826, 22578.03, 0, 0.00, 1: 112; 2: 100; 3: 15; 
EGFR_&_ErbB_Signaling, 490, 10, 11,  357, 1, 3, 879176, 22578.03, 0, 0.00, 1: 108; 2: 108; 3: 11; 
EGFR_&_ErbB_Signaling, 341, 10, 11,  357, 1, 3, 879006, 22578.03, 0, 0.00, 1: 116; 2: 92; 3: 19; 
EGFR_&_ErbB_Signaling, 339,  9, 12,  357, 1, 3, 865702, 22578.03, 0, 0.00, 1: 110; 2: 104; 3: 13; 
EGFR_&_ErbB_Signaling, 861,  9, 12,  357, 1, 3, 865792, 22578.03, 0, 0.00, 1: 109; 2: 106; 3: 12; 
EGFR_&_ErbB_Signaling, 956,  8, 14,  357, 1, 3, 890934, 22578.03, 63, 0.00, 1: 112; 2: 100; 3: 15; 
EGFR_&_ErbB_Signaling, 315,  7, 17,  357, 1, 3, 940571, 22578.03, 0, 0.00, 1: 112; 2: 100; 3: 15; 
EGFR_&_ErbB_Signaling, 310,  9, 12,  357, 1, 3, 865806, 22578.03, 0, 0.00, 1: 112; 2: 100; 3: 15; 
EGFR_&_ErbB_Signaling, 109,  9, 12,  357, 1, 3, 865873, 22578.03, 0, 0.00, 1: 112; 2: 100; 3: 15; 
EGFR_&_ErbB_Signaling, 213, 10, 11,  357, 1, 3, 879122, 22578.03, 0, 0.00, 1: 110; 2: 104; 3: 13; 
EGFR_&_ErbB_Signaling, 212,  8, 14,  357, 1, 3, 891133, 22578.03, 83, 0.00, 1: 111; 2: 102; 3: 14; 
EGFR_&_ErbB_Signaling, 134,  7, 17,  357, 1, 3, 940720, 22578.03, 0, 0.00, 1: 113; 2: 98; 3: 16; 
EGFR_&_ErbB_Signaling, 143,  7, 16,  357, 1, 3, 891098, 22578.03, 0, 0.00, 1: 112; 2: 100; 3: 15; 
EGFR_&_ErbB_Signaling,  38,  8, 14,  357, 1, 3, 891136, 22578.03, 0, 0.00, 1: 114; 2: 96; 3: 17; 
EGFR_&_ErbB_Signaling, 628, 11, 10,  357, 1, 3, 878940, 22578.03, 23, 0.00, 1: 113; 2: 98; 3: 16; 
EGFR_&_ErbB_Signaling, 613,  7, 16,  357, 1, 3, 891197, 22578.03, 0, 0.00, 1: 112; 2: 100; 3: 15; 
EGFR_&_ErbB_Signaling, 780,  7, 16,  358, 1, 3, 891088, 22578.03, 94, 0.00, 1: 115; 2: 93; 3: 19; 
EGFR_&_ErbB_Signaling,  36,  7, 17,  358, 1, 3, 940239, 22578.03, 83, 0.00, 1: 108; 2: 107; 3: 12; 
EGFR_&_ErbB_Signaling, 371, 10, 11,  358, 1, 3, 879079, 22578.03, 0, 0.00, 1: 112; 2: 99; 3: 16; 
EGFR_&_ErbB_Signaling, 351,  7, 15,  358, 1, 3, 840840, 22578.03, 0, 0.00, 1: 112; 2: 99; 3: 16; 
EGFR_&_ErbB_Signaling, 832,  8, 14,  358, 1, 3, 891112, 22578.03, 37, 0.00, 1: 114; 2: 95; 3: 18; 
EGFR_&_ErbB_Signaling, 826,  7, 15,  358, 1, 3, 840840, 22578.03, 0, 0.00, 1: 113; 2: 97; 3: 17; 
EGFR_&_ErbB_Signaling, 548,  7, 17,  358, 1, 3, 940705, 22578.03, 23, 0.00, 1: 108; 2: 107; 3: 12; 
EGFR_&_ErbB_Signaling, 554,  7, 15,  358, 1, 3, 840840, 22578.03, 0, 0.00, 1: 111; 2: 101; 3: 15; 
EGFR_&_ErbB_Signaling, 303,  8, 14,  358, 1, 3, 891212, 22578.03, 0, 0.00, 1: 112; 2: 99; 3: 16; 
EGFR_&_ErbB_Signaling, 952,  7, 16,  358, 1, 3, 891025, 22578.03, 46, 0.00, 1: 113; 2: 97; 3: 17; 
EGFR_&_ErbB_Signaling, 421,  7, 17,  358, 1, 3, 940665, 22578.03, 0, 0.00, 1: 110; 2: 103; 3: 14; 
EGFR_&_ErbB_Signaling, 950, 10, 11,  358, 1, 3, 879019, 22578.03, 0, 0.00, 1: 109; 2: 105; 3: 13; 
EGFR_&_ErbB_Signaling, 896,  8, 14,  358, 1, 3, 891035, 22578.03, 42, 0.00, 1: 108; 2: 107; 3: 12; 
EGFR_&_ErbB_Signaling, 447,  7, 16,  358, 1, 3, 890908, 22578.03, 0, 0.00, 1: 110; 2: 103; 3: 14; 
EGFR_&_ErbB_Signaling,  49,  9, 12,  358, 1, 3, 865744, 22578.03, 0, 0.00, 1: 110; 2: 103; 3: 14; 
