Seed 1656949570
ARCH 1|F_ID 1|LIMIT 3
before: 
22(516)
Melhor resultado nxn: Glucose_Repression_Signaling_2009,  44,  9,  9,  127, 1, 2, 639230, 16081.55, 70, 0.00, 1: 85; 2: 21; 
Glucose_Repression_Signaling_2009, 725, 10,  8,  126, 1, 2, 633963, 16081.55, 0, 0.00, 1: 86; 2: 20; 
Glucose_Repression_Signaling_2009, 222, 10,  8,  127, 1, 2, 634044, 16081.55, 0, 0.00, 1: 85; 2: 21; 
Glucose_Repression_Signaling_2009,  44,  9,  9,  127, 1, 2, 639230, 16081.55, 70, 0.00, 1: 85; 2: 21; 
Glucose_Repression_Signaling_2009, 902, 10,  8,  127, 1, 2, 633953, 16081.55, 0, 0.00, 1: 85; 2: 21; 
Glucose_Repression_Signaling_2009, 661,  8, 10,  127, 1, 2, 633798, 16081.55, 85, 0.00, 1: 85; 2: 21; 
Glucose_Repression_Signaling_2009,  15,  9,  9,  128, 1, 2, 639397, 16081.55, 0, 0.00, 1: 84; 2: 22; 
Glucose_Repression_Signaling_2009, 851,  8, 10,  128, 1, 2, 634187, 16081.55, 139, 0.00, 1: 84; 2: 22; 
Glucose_Repression_Signaling_2009, 653,  9,  9,  128, 1, 2, 639005, 16081.55, 85, 0.00, 1: 84; 2: 22; 
Glucose_Repression_Signaling_2009, 638,  9,  9,  128, 1, 2, 639088, 16081.55, 0, 0.00, 1: 84; 2: 22; 
Glucose_Repression_Signaling_2009, 630,  8, 10,  128, 1, 2, 633906, 16081.55, 0, 0.00, 1: 84; 2: 22; 
Glucose_Repression_Signaling_2009, 259,  8, 10,  128, 1, 2, 634235, 16081.55, 0, 0.00, 1: 84; 2: 22; 
Glucose_Repression_Signaling_2009, 164,  7, 12,  128, 1, 2, 659012, 16081.55, 0, 0.00, 1: 84; 2: 22; 
Glucose_Repression_Signaling_2009, 166,  9,  9,  128, 1, 2, 639213, 16081.55, 0, 0.00, 1: 84; 2: 22; 
Glucose_Repression_Signaling_2009, 310, 10,  8,  129, 1, 2, 634220, 16081.55, 255, 0.00, 1: 83; 2: 23; 
Glucose_Repression_Signaling_2009, 196, 11,  7,  129, 1, 2, 613236, 16081.55, 187, 0.00, 1: 83; 2: 23; 
Glucose_Repression_Signaling_2009, 824, 10,  8,  129, 1, 2, 634261, 16081.55, 0, 0.00, 1: 83; 2: 23; 
Glucose_Repression_Signaling_2009, 800,  9,  9,  129, 1, 2, 638925, 16081.55, 6, 0.00, 1: 83; 2: 23; 
Glucose_Repression_Signaling_2009, 775, 11,  7,  129, 1, 2, 613091, 16081.55, 0, 0.00, 1: 83; 2: 23; 
Glucose_Repression_Signaling_2009, 267, 10,  8,  129, 1, 2, 634350, 16081.55, 0, 0.00, 1: 83; 2: 23; 
Glucose_Repression_Signaling_2009, 772, 10,  8,  129, 1, 2, 633963, 16081.55, 0, 0.00, 1: 83; 2: 23; 
Glucose_Repression_Signaling_2009, 170,  8, 10,  129, 1, 2, 634014, 16081.55, 65, 0.00, 1: 83; 2: 23; 
Glucose_Repression_Signaling_2009,  81,  9,  9,  129, 1, 2, 638847, 16081.55, 0, 0.00, 1: 83; 2: 23; 
Glucose_Repression_Signaling_2009, 345,  7, 11,  129, 1, 2, 613196, 16081.55, 233, 0.00, 1: 83; 2: 23; 
Glucose_Repression_Signaling_2009, 643, 11,  7,  129, 1, 2, 613167, 16081.55, 139, 0.00, 1: 83; 2: 23; 
Glucose_Repression_Signaling_2009, 633,  8, 10,  129, 1, 2, 634099, 16081.55, 0, 0.00, 1: 83; 2: 23; 
Glucose_Repression_Signaling_2009, 999,  7, 12,  129, 1, 2, 658776, 16081.55, 0, 0.00, 1: 83; 2: 23; 
Glucose_Repression_Signaling_2009, 343,  9,  9,  129, 1, 2, 638990, 16081.55, 0, 0.00, 1: 83; 2: 23; 
Glucose_Repression_Signaling_2009, 615, 10,  8,  129, 1, 2, 633373, 16081.55, 0, 0.00, 1: 83; 2: 23; 
Glucose_Repression_Signaling_2009, 590, 10,  8,  129, 1, 2, 634104, 16081.55, 0, 0.00, 1: 83; 2: 23; 
Glucose_Repression_Signaling_2009, 365,  7, 12,  129, 1, 2, 658575, 16081.55, 32, 0.00, 1: 83; 2: 23; 
Glucose_Repression_Signaling_2009, 967,  7, 12,  129, 1, 2, 658875, 16081.55, 0, 0.00, 1: 83; 2: 23; 
Glucose_Repression_Signaling_2009, 903,  7, 12,  129, 1, 2, 659040, 16081.55, 0, 0.00, 1: 83; 2: 23; 
Glucose_Repression_Signaling_2009,  21, 10,  8,  129, 1, 2, 634013, 16081.55, 85, 0.00, 1: 83; 2: 23; 
Glucose_Repression_Signaling_2009, 954,  8, 10,  129, 1, 2, 633878, 16081.55, 0, 0.00, 1: 83; 2: 23; 
Glucose_Repression_Signaling_2009, 940, 11,  7,  129, 1, 2, 613352, 16081.55, 55, 0.00, 1: 83; 2: 23; 
Glucose_Repression_Signaling_2009, 893,  9,  9,  129, 1, 2, 639256, 16081.55, 0, 0.00, 1: 83; 2: 23; 
Glucose_Repression_Signaling_2009, 914, 10,  8,  130, 1, 2, 634028, 16081.55, 46, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 315,  9,  9,  130, 1, 2, 638962, 16081.55, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 942, 10,  8,  130, 1, 2, 634236, 16081.55, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 511,  9,  9,  130, 1, 2, 639194, 16081.55, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009,  66,  9,  9,  130, 1, 2, 639064, 16081.55, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 508, 11,  7,  130, 1, 2, 613248, 16081.55, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 625,  7, 12,  130, 1, 2, 658540, 16081.55, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 957,  9,  9,  130, 1, 2, 639216, 16081.55, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 154,  6, 13,  130, 1, 2, 619657, 16081.55, 46, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 682,  7, 12,  130, 1, 2, 658820, 16081.55, 65, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 635, 10,  8,  130, 1, 2, 634156, 16081.55, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 403,  6, 14,  130, 1, 2, 658862, 16081.55, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 459,  9,  9,  130, 1, 2, 639363, 16081.55, 138, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009,  78,  8, 10,  130, 1, 2, 634063, 16081.55, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009,  79,  7, 12,  130, 1, 2, 658838, 16081.55, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 146,  7, 12,  130, 1, 2, 658924, 16081.55, 82, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 453, 10,  8,  130, 1, 2, 633967, 16081.55, 85, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 142,  7, 12,  130, 1, 2, 658412, 16081.55, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 646,  8, 10,  130, 1, 2, 634102, 16081.55, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009,  86, 10,  8,  130, 1, 2, 633860, 16081.55, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 442,  8, 10,  130, 1, 2, 634141, 16081.55, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 648,  9,  9,  130, 1, 2, 639123, 16081.55, 112, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009,  89,  9,  9,  130, 1, 2, 639251, 16081.55, 232, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 578, 10,  8,  130, 1, 2, 634027, 16081.55, 45, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 201, 10,  8,  130, 1, 2, 633943, 16081.55, 243, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 858,  7, 11,  130, 1, 2, 613224, 16081.55, 46, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 113,  8, 10,  130, 1, 2, 634186, 16081.55, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 845,  7, 12,  130, 1, 2, 658891, 16081.55, 85, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 187,  6, 14,  130, 1, 2, 658853, 16081.55, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 997,  9,  9,  130, 1, 2, 639000, 16081.55, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 109,  8, 10,  130, 1, 2, 634362, 16081.55, 32, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 821, 10,  8,  130, 1, 2, 634109, 16081.55, 0, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009,  43,  7, 12,  130, 1, 2, 658552, 16081.55, 82, 0.00, 1: 82; 2: 24; 
Glucose_Repression_Signaling_2009, 969, 11,  7,  130, 1, 2, 613047, 16081.55, 208, 0.00, 1: 82; 2: 24; 
