Seed 1656949570
ARCH 2|F_ID 1|LIMIT 3
before: 
72(320)
Melhor resultado nxn: Glucose_Repression_Signaling_2009, 392,  9,  9,  133, 1, 2, 638832, 17031.17, 0, 0.00, 1: 79; 2: 27; 
Glucose_Repression_Signaling_2009, 102, 11,  7,  131, 1, 2, 613260, 17031.17, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 263,  8, 10,  132, 1, 2, 633952, 17031.17, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 621,  8, 10,  132, 1, 2, 634182, 17031.17, 32, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009,  86, 10,  8,  133, 1, 2, 634113, 17031.17, 0, 0.00, 1: 79; 2: 27; 
Glucose_Repression_Signaling_2009, 703,  8, 10,  133, 1, 2, 634126, 17031.17, 0, 0.00, 1: 79; 2: 27; 
Glucose_Repression_Signaling_2009, 199,  7, 12,  133, 1, 2, 658778, 17031.17, 0, 0.00, 1: 79; 2: 27; 
Glucose_Repression_Signaling_2009, 480, 11,  7,  133, 1, 2, 612847, 17031.17, 7, 0.00, 1: 79; 2: 27; 
Glucose_Repression_Signaling_2009, 392,  9,  9,  133, 1, 2, 638832, 17031.17, 0, 0.00, 1: 79; 2: 27; 
Glucose_Repression_Signaling_2009, 663,  9,  9,  133, 1, 2, 639077, 17031.17, 0, 0.00, 1: 79; 2: 27; 
Glucose_Repression_Signaling_2009, 463, 11,  7,  133, 1, 2, 613229, 17031.17, 0, 0.00, 1: 79; 2: 27; 
Glucose_Repression_Signaling_2009, 994,  8, 10,  133, 1, 2, 633688, 17031.17, 0, 0.00, 1: 79; 2: 27; 
Glucose_Repression_Signaling_2009, 487, 11,  7,  133, 1, 2, 613197, 17031.17, 0, 0.00, 1: 79; 2: 27; 
Glucose_Repression_Signaling_2009, 529, 10,  8,  133, 1, 2, 634324, 17031.17, 239, 0.00, 1: 79; 2: 27; 
Glucose_Repression_Signaling_2009, 533,  8, 10,  133, 1, 2, 634176, 17031.17, 85, 0.00, 1: 79; 2: 27; 
Glucose_Repression_Signaling_2009, 739,  9,  9,  133, 1, 2, 639400, 17031.17, 0, 0.00, 1: 79; 2: 27; 
Glucose_Repression_Signaling_2009, 801, 10,  8,  133, 1, 2, 634055, 17031.17, 0, 0.00, 1: 79; 2: 27; 
Glucose_Repression_Signaling_2009, 660,  8, 10,  133, 1, 2, 633969, 17031.17, 224, 0.00, 1: 79; 2: 27; 
Glucose_Repression_Signaling_2009, 466, 11,  7,  134, 1, 2, 613289, 17031.17, 10, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 770,  7, 12,  134, 1, 2, 658775, 17031.17, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 310, 10,  8,  134, 1, 2, 634070, 17031.17, 255, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 272,  7, 12,  134, 1, 2, 658956, 17031.17, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 902, 10,  8,  134, 1, 2, 633555, 17031.17, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 906,  9,  9,  134, 1, 2, 639093, 17031.17, 230, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 685,  7, 12,  134, 1, 2, 658904, 17031.17, 32, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 259,  8, 10,  134, 1, 2, 633906, 17031.17, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 672,  8, 10,  134, 1, 2, 633657, 17031.17, 6, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 917, 11,  7,  134, 1, 2, 613213, 17031.17, 85, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 923, 10,  8,  134, 1, 2, 634145, 17031.17, 222, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 447,  8, 10,  134, 1, 2, 634117, 17031.17, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 868,  8, 10,  134, 1, 2, 634086, 17031.17, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 481,  9,  9,  134, 1, 2, 639139, 17031.17, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 646,  8, 10,  134, 1, 2, 634053, 17031.17, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 186, 11,  7,  134, 1, 2, 613253, 17031.17, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 786,  7, 11,  134, 1, 2, 613136, 17031.17, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 627,  8, 10,  134, 1, 2, 634116, 17031.17, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 398,  9,  9,  134, 1, 2, 639202, 17031.17, 0, 0.00, 1: 78; 2: 28; 
Glucose_Repression_Signaling_2009, 359,  7, 11,  135, 1, 2, 613169, 17031.17, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 542, 11,  7,  135, 1, 2, 613174, 17031.17, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 682,  7, 12,  135, 1, 2, 658825, 17031.17, 65, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 908,  9,  9,  135, 1, 2, 639191, 17031.17, 224, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009,  64, 10,  8,  135, 1, 2, 634099, 17031.17, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 548,  7, 11,  135, 1, 2, 613175, 17031.17, 0, 0.00, 1: 77; 2: 29; 
Glucose_Repression_Signaling_2009, 551,  9,  9,  135, 1, 2, 638842, 17031.17, 0, 0.00, 1: 77; 2: 29; 
