Seed 1656949570
ARCH 2|F_ID 1|LIMIT 3
before: 
62(348)
Melhor resultado nxn: Guard_Cell_Abscisic_Acid_Signaling, 710,  7,  7,  100, 1, 2, 383575, 11290.84, 0, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 960,  6,  8,   99, 1, 2, 376787, 11290.84, 160, 0.00, 1: 57; 2: 21; 
Guard_Cell_Abscisic_Acid_Signaling, 502,  5, 10,   99, 1, 2, 390859, 11290.84, 0, 0.00, 1: 57; 2: 21; 
Guard_Cell_Abscisic_Acid_Signaling, 110,  6,  8,   99, 1, 2, 377002, 11290.84, 0, 0.00, 1: 57; 2: 21; 
Guard_Cell_Abscisic_Acid_Signaling, 381,  8,  6,   99, 1, 2, 376876, 11290.84, 0, 0.00, 1: 57; 2: 21; 
Guard_Cell_Abscisic_Acid_Signaling, 976,  5, 10,  100, 1, 2, 390597, 11290.84, 176, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling,  92,  5, 10,  100, 1, 2, 390710, 11290.84, 126, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 710,  7,  7,  100, 1, 2, 383575, 11290.84, 0, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 453,  6,  8,  100, 1, 2, 376846, 11290.84, 85, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 909,  6,  8,  100, 1, 2, 376985, 11290.84, 85, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling,  76,  6,  8,  100, 1, 2, 376990, 11290.84, 126, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 988,  8,  6,  100, 1, 2, 376545, 11290.84, 126, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 890,  8,  6,  100, 1, 2, 377090, 11290.84, 0, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 690,  8,  6,  100, 1, 2, 377032, 11290.84, 0, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 728,  7,  7,  100, 1, 2, 383255, 11290.84, 152, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling,  38,  5, 10,  100, 1, 2, 390856, 11290.84, 0, 0.00, 1: 56; 2: 22; 
