Seed 1656949570
ARCH 2|F_ID 1|LIMIT 4
before: 
2(246)
Melhor resultado nxn: HGF_Signaling_in_Keratinocytes, 115,  6, 13,  128, 1, 2, 612273, 16245.83, 0, 0.00, 1: 78; 2: 25; 
HGF_Signaling_in_Keratinocytes, 115,  6, 13,  128, 1, 2, 612273, 16245.83, 0, 0.00, 1: 78; 2: 25; 
HGF_Signaling_in_Keratinocytes, 456,  7, 11,  129, 1, 2, 606918, 16245.83, 192, 0.00, 1: 77; 2: 26; 
HGF_Signaling_in_Keratinocytes, 595,  9,  8,  129, 1, 2, 571234, 16245.83, 0, 0.00, 1: 77; 2: 26; 
HGF_Signaling_in_Keratinocytes, 766,  7, 11,  130, 1, 2, 606562, 16245.83, 0, 0.00, 1: 76; 2: 27; 
HGF_Signaling_in_Keratinocytes, 918,  6, 12,  130, 1, 2, 571348, 16245.83, 0, 0.00, 1: 76; 2: 27; 
HGF_Signaling_in_Keratinocytes, 336,  7, 11,  130, 1, 2, 606901, 16245.83, 80, 0.00, 1: 76; 2: 27; 
HGF_Signaling_in_Keratinocytes, 261,  7, 11,  130, 1, 2, 607012, 16245.83, 85, 0.00, 1: 76; 2: 27; 
HGF_Signaling_in_Keratinocytes, 234,  6, 13,  130, 1, 2, 612162, 16245.83, 107, 0.00, 1: 76; 2: 27; 
HGF_Signaling_in_Keratinocytes, 113,  7, 10,  130, 1, 2, 557623, 16245.83, 0, 0.00, 1: 76; 2: 27; 
HGF_Signaling_in_Keratinocytes, 867,  7, 11,  130, 1, 2, 606518, 16245.83, 0, 0.00, 1: 76; 2: 27; 
HGF_Signaling_in_Keratinocytes, 471,  6, 13,  131, 1, 2, 612032, 16245.83, 0, 0.00, 1: 75; 2: 28; 
HGF_Signaling_in_Keratinocytes, 626,  7, 11,  131, 1, 2, 606791, 16245.83, 0, 0.00, 1: 75; 2: 28; 
HGF_Signaling_in_Keratinocytes, 873,  6, 13,  131, 1, 2, 612106, 16245.83, 67, 0.00, 1: 75; 2: 28; 
HGF_Signaling_in_Keratinocytes,  38,  7, 10,  131, 1, 2, 557623, 16245.83, 0, 0.00, 1: 75; 2: 28; 
HGF_Signaling_in_Keratinocytes, 451,  7, 11,  131, 1, 2, 607226, 16245.83, 47, 0.00, 1: 75; 2: 28; 
HGF_Signaling_in_Keratinocytes, 970,  6, 13,  131, 1, 2, 612147, 16245.83, 62, 0.00, 1: 75; 2: 28; 
HGF_Signaling_in_Keratinocytes, 145,  6, 13,  131, 1, 2, 612400, 16245.83, 192, 0.00, 1: 75; 2: 28; 
HGF_Signaling_in_Keratinocytes, 855,  6, 12,  131, 1, 2, 571125, 16245.83, 0, 0.00, 1: 75; 2: 28; 
HGF_Signaling_in_Keratinocytes, 283,  6, 13,  131, 1, 2, 612400, 16245.83, 47, 0.00, 1: 75; 2: 28; 
HGF_Signaling_in_Keratinocytes, 309,  7, 11,  131, 1, 2, 606883, 16245.83, 0, 0.00, 1: 75; 2: 28; 
HGF_Signaling_in_Keratinocytes, 993,  7, 11,  131, 1, 2, 606986, 16245.83, 0, 0.00, 1: 75; 2: 28; 
HGF_Signaling_in_Keratinocytes, 904,  6, 12,  131, 1, 2, 571297, 16245.83, 0, 0.00, 1: 75; 2: 28; 
HGF_Signaling_in_Keratinocytes, 696,  6, 12,  131, 1, 2, 571101, 16245.83, 0, 0.00, 1: 75; 2: 28; 
HGF_Signaling_in_Keratinocytes, 619,  6, 13,  132, 1, 2, 611742, 16245.83, 69, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 737,  9,  8,  132, 1, 2, 571180, 16245.83, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 892,  7, 11,  132, 1, 2, 606824, 16245.83, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 959,  7, 11,  132, 1, 2, 606699, 16245.83, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes,  54,  6, 12,  132, 1, 2, 571238, 16245.83, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 955,  6, 13,  132, 1, 2, 612280, 16245.83, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 695,  7, 10,  132, 1, 2, 557640, 16245.83, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes,  65,  7, 11,  132, 1, 2, 606989, 16245.83, 89, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 874,  7, 11,  132, 1, 2, 606576, 16245.83, 100, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 319,  8,  9,  132, 1, 2, 571342, 16245.83, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes,  82, 10,  7,  132, 1, 2, 557611, 16245.83, 62, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 360,  6, 13,  132, 1, 2, 612432, 16245.83, 32, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 192,  6, 13,  132, 1, 2, 612555, 16245.83, 64, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 548,  7, 11,  132, 1, 2, 606969, 16245.83, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 545,  8,  9,  132, 1, 2, 571223, 16245.83, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 506,  7, 10,  132, 1, 2, 557537, 16245.83, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 510, 10,  7,  132, 1, 2, 557666, 16245.83, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 514,  9,  8,  132, 1, 2, 571235, 16245.83, 19, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 563,  7, 11,  132, 1, 2, 607183, 16245.83, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 174,  8,  9,  132, 1, 2, 571075, 16245.83, 0, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 516, 10,  7,  132, 1, 2, 557651, 16245.83, 204, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 170,  7, 10,  132, 1, 2, 557624, 16245.83, 84, 0.00, 1: 74; 2: 29; 
HGF_Signaling_in_Keratinocytes, 920,  6, 12,  133, 1, 2, 571073, 16245.83, 120, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 879,  9,  8,  133, 1, 2, 571176, 16245.83, 82, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 374,  7, 11,  133, 1, 2, 606872, 16245.83, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 927,  8,  9,  133, 1, 2, 571131, 16245.83, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 861,  9,  8,  133, 1, 2, 571079, 16245.83, 85, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes,  21,  9,  8,  133, 1, 2, 571287, 16245.83, 85, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 541,  9,  8,  133, 1, 2, 571182, 16245.83, 85, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 985,  6, 12,  133, 1, 2, 571145, 16245.83, 215, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 181,  9,  8,  133, 1, 2, 571269, 16245.83, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 376, 10,  7,  133, 1, 2, 557655, 16245.83, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 314, 10,  7,  133, 1, 2, 557665, 16245.83, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 100,  7, 11,  133, 1, 2, 606815, 16245.83, 0, 0.00, 1: 73; 2: 30; 
HGF_Signaling_in_Keratinocytes, 285,  6, 12,  133, 1, 2, 571165, 16245.83, 85, 0.00, 1: 73; 2: 30; 
