Seed 1656949570
ARCH 0|F_ID 1|LIMIT 4
before: 
214(282)
Melhor resultado nxn: Lymphopoiesis_Regulatory_Network, 570,  9,  9,  267, 0, 4, 644760, 21216.21, 0, 0.00, 0: 8; 1: 67; 2: 53; 3: 26; 4: 4; 
Lymphopoiesis_Regulatory_Network, 105,  7, 13,  262, 0, 4, 720872, 21216.21, 0, 0.00, 0: 8; 1: 72; 2: 50; 3: 22; 4: 6; 
Lymphopoiesis_Regulatory_Network, 379,  8, 11,  263, 0, 4, 700480, 21216.21, 0, 0.00, 0: 8; 1: 68; 2: 58; 3: 17; 4: 7; 
Lymphopoiesis_Regulatory_Network, 882,  8, 11,  264, 0, 4, 700476, 21216.21, 0, 0.00, 0: 8; 1: 74; 2: 44; 3: 26; 4: 6; 
Lymphopoiesis_Regulatory_Network, 254,  8, 11,  264, 0, 4, 700532, 21216.21, 0, 0.00, 0: 8; 1: 69; 2: 54; 3: 21; 4: 6; 
Lymphopoiesis_Regulatory_Network, 590, 11,  8,  264, 0, 4, 700463, 21216.21, 0, 0.00, 0: 8; 1: 70; 2: 53; 3: 20; 4: 7; 
Lymphopoiesis_Regulatory_Network, 725, 11,  8,  265, 0, 4, 700414, 21216.21, 0, 0.00, 0: 8; 1: 65; 2: 58; 3: 24; 4: 3; 
Lymphopoiesis_Regulatory_Network, 353,  8, 11,  265, 0, 4, 700485, 21216.21, 0, 0.00, 0: 8; 1: 68; 2: 55; 3: 21; 4: 6; 
Lymphopoiesis_Regulatory_Network, 131,  9, 10,  265, 0, 4, 714475, 21216.21, 0, 0.00, 0: 8; 1: 64; 2: 62; 3: 19; 4: 5; 
Lymphopoiesis_Regulatory_Network, 376, 12,  7,  265, 0, 4, 668756, 21216.21, 24, 0.00, 0: 8; 1: 66; 2: 60; 3: 17; 4: 7; 
Lymphopoiesis_Regulatory_Network, 415, 11,  8,  266, 0, 4, 700433, 21216.21, 0, 0.00, 0: 8; 1: 68; 2: 56; 3: 18; 4: 8; 
Lymphopoiesis_Regulatory_Network, 766,  8, 11,  266, 0, 4, 700422, 21216.21, 0, 0.00, 0: 8; 1: 65; 2: 62; 3: 15; 4: 8; 
Lymphopoiesis_Regulatory_Network, 279, 11,  8,  266, 0, 4, 700465, 21216.21, 0, 0.00, 0: 8; 1: 68; 2: 57; 3: 16; 4: 9; 
Lymphopoiesis_Regulatory_Network, 603, 11,  8,  266, 0, 4, 700299, 21216.21, 0, 0.00, 0: 8; 1: 63; 2: 65; 3: 15; 4: 7; 
Lymphopoiesis_Regulatory_Network,  21, 11,  8,  266, 0, 4, 700434, 21216.21, 86, 0.00, 0: 8; 1: 68; 2: 53; 3: 24; 4: 5; 
Lymphopoiesis_Regulatory_Network, 417, 11,  8,  266, 0, 4, 700536, 21216.21, 0, 0.00, 0: 8; 1: 68; 2: 55; 3: 20; 4: 7; 
Lymphopoiesis_Regulatory_Network, 983,  9, 10,  266, 0, 4, 714391, 21216.21, 0, 0.00, 0: 8; 1: 69; 2: 53; 3: 21; 4: 7; 
Lymphopoiesis_Regulatory_Network, 267, 11,  8,  267, 0, 4, 700469, 21216.21, 0, 0.00, 0: 8; 1: 66; 2: 57; 3: 21; 4: 6; 
Lymphopoiesis_Regulatory_Network, 612,  7, 13,  267, 0, 4, 720945, 21216.21, 59, 0.00, 0: 8; 1: 68; 2: 54; 3: 21; 4: 7; 
Lymphopoiesis_Regulatory_Network, 441,  9, 10,  267, 0, 4, 714479, 21216.21, 0, 0.00, 0: 8; 1: 65; 2: 60; 3: 18; 4: 7; 
Lymphopoiesis_Regulatory_Network, 959,  8, 11,  267, 0, 4, 700459, 21216.21, 0, 0.00, 0: 8; 1: 65; 2: 59; 3: 20; 4: 6; 
Lymphopoiesis_Regulatory_Network, 222, 11,  8,  267, 0, 4, 700478, 21216.21, 0, 0.00, 0: 8; 1: 68; 2: 54; 3: 21; 4: 7; 
Lymphopoiesis_Regulatory_Network, 570,  9,  9,  267, 0, 4, 644760, 21216.21, 0, 0.00, 0: 8; 1: 67; 2: 53; 3: 26; 4: 4; 
Lymphopoiesis_Regulatory_Network, 381, 11,  8,  268, 0, 4, 700539, 21216.21, 0, 0.00, 0: 8; 1: 67; 2: 54; 3: 23; 4: 6; 
Lymphopoiesis_Regulatory_Network, 444,  9, 10,  268, 0, 4, 714427, 21216.21, 69, 0.00, 0: 8; 1: 67; 2: 57; 3: 17; 4: 9; 
Lymphopoiesis_Regulatory_Network, 123,  9, 10,  268, 0, 4, 714479, 21216.21, 0, 0.00, 0: 8; 1: 70; 2: 50; 3: 22; 4: 8; 
Lymphopoiesis_Regulatory_Network, 107,  7, 13,  268, 0, 4, 720906, 21216.21, 0, 0.00, 0: 8; 1: 65; 2: 58; 3: 21; 4: 6; 
