Seed 1656949570
ARCH 1|F_ID 1|LIMIT 4
before: 
242(251)
Melhor resultado nxn: PC12_Cell_Differentiation, 229,  8,  8,  146, 1, 2, 508032, 15314.41, 0, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation, 766,  8,  9,  143, 1, 2, 566123, 15314.41, 0, 0.00, 1: 75; 2: 34; 
PC12_Cell_Differentiation, 933,  6, 12,  144, 1, 2, 566185, 15314.41, 0, 0.00, 1: 74; 2: 35; 
PC12_Cell_Differentiation, 430,  8,  9,  144, 1, 2, 566215, 15314.41, 50, 0.00, 1: 74; 2: 35; 
PC12_Cell_Differentiation, 604,  7, 10,  144, 1, 2, 554450, 15314.41, 176, 0.00, 1: 74; 2: 35; 
PC12_Cell_Differentiation,   8, 10,  7,  144, 1, 2, 554489, 15314.41, 0, 0.00, 1: 74; 2: 35; 
PC12_Cell_Differentiation, 140, 10,  7,  145, 1, 2, 554328, 15314.41, 0, 0.00, 1: 73; 2: 36; 
PC12_Cell_Differentiation, 935,  5, 14,  145, 1, 2, 554475, 15314.41, 0, 0.00, 1: 73; 2: 36; 
PC12_Cell_Differentiation, 154,  8,  9,  145, 1, 2, 566223, 15314.41, 46, 0.00, 1: 73; 2: 36; 
PC12_Cell_Differentiation, 617, 10,  7,  145, 1, 2, 554407, 15314.41, 68, 0.00, 1: 73; 2: 36; 
PC12_Cell_Differentiation, 443,  6, 12,  145, 1, 2, 566327, 15314.41, 0, 0.00, 1: 73; 2: 36; 
PC12_Cell_Differentiation, 164,  8,  9,  145, 1, 2, 566170, 15314.41, 0, 0.00, 1: 73; 2: 36; 
PC12_Cell_Differentiation,  87,  8,  9,  145, 1, 2, 566428, 15314.41, 0, 0.00, 1: 73; 2: 36; 
PC12_Cell_Differentiation, 802, 10,  7,  145, 1, 2, 554436, 15314.41, 0, 0.00, 1: 73; 2: 36; 
PC12_Cell_Differentiation, 576, 10,  7,  145, 1, 2, 554455, 15314.41, 176, 0.00, 1: 73; 2: 36; 
PC12_Cell_Differentiation, 110, 10,  7,  145, 1, 2, 554420, 15314.41, 0, 0.00, 1: 73; 2: 36; 
PC12_Cell_Differentiation, 280,  5, 13,  145, 1, 2, 515840, 15314.41, 120, 0.00, 1: 73; 2: 36; 
PC12_Cell_Differentiation, 314,  8,  9,  145, 1, 2, 566277, 15314.41, 0, 0.00, 1: 73; 2: 36; 
