Seed 1656949570
ARCH 0|F_ID 1|LIMIT 4
before: 
184(634)
Melhor resultado nxn: PC12_Cell_Differentiation, 928,  8,  8,  201, 1, 4, 508032, 15452.93, 6, 0.00, 1: 48; 2: 37; 3: 17; 4: 7; 
PC12_Cell_Differentiation, 533,  7, 10,  198, 1, 4, 554479, 15452.93, 85, 0.00, 1: 51; 2: 33; 3: 19; 4: 6; 
PC12_Cell_Differentiation, 441,  7, 10,  198, 1, 4, 554365, 15452.93, 0, 0.00, 1: 48; 2: 36; 3: 22; 4: 3; 
PC12_Cell_Differentiation, 852,  8,  9,  199, 1, 4, 566245, 15452.93, 226, 0.00, 1: 48; 2: 37; 3: 19; 4: 5; 
PC12_Cell_Differentiation, 356,  8,  9,  200, 1, 4, 566238, 15452.93, 0, 0.00, 1: 49; 2: 36; 3: 17; 4: 7; 
PC12_Cell_Differentiation, 179, 10,  7,  200, 1, 4, 554423, 15452.93, 0, 0.00, 1: 45; 2: 41; 3: 19; 4: 4; 
PC12_Cell_Differentiation, 231, 10,  7,  200, 1, 4, 554304, 15452.93, 0, 0.00, 1: 47; 2: 37; 3: 21; 4: 4; 
PC12_Cell_Differentiation, 749,  7, 10,  200, 1, 4, 554410, 15452.93, 0, 0.00, 1: 46; 2: 37; 3: 24; 4: 2; 
PC12_Cell_Differentiation, 107, 10,  7,  200, 1, 4, 554719, 15452.93, 49, 0.00, 1: 45; 2: 40; 3: 21; 4: 3; 
PC12_Cell_Differentiation, 873,  7, 10,  200, 1, 4, 554357, 15452.93, 69, 0.00, 1: 48; 2: 36; 3: 20; 4: 5; 
PC12_Cell_Differentiation, 420,  7, 10,  200, 1, 4, 554402, 15452.93, 0, 0.00, 1: 49; 2: 34; 3: 21; 4: 5; 
PC12_Cell_Differentiation, 705, 10,  7,  200, 1, 4, 554315, 15452.93, 190, 0.00, 1: 46; 2: 38; 3: 22; 4: 3; 
PC12_Cell_Differentiation,  37, 10,  7,  200, 1, 4, 554403, 15452.93, 0, 0.00, 1: 46; 2: 40; 3: 18; 4: 5; 
PC12_Cell_Differentiation, 456, 10,  7,  200, 1, 4, 554412, 15452.93, 208, 0.00, 1: 49; 2: 34; 3: 21; 4: 5; 
PC12_Cell_Differentiation, 457,  7, 10,  200, 1, 4, 554368, 15452.93, 38, 0.00, 1: 47; 2: 39; 3: 17; 4: 6; 
PC12_Cell_Differentiation, 485,  7, 10,  201, 1, 4, 554341, 15452.93, 0, 0.00, 1: 50; 2: 32; 3: 21; 4: 6; 
PC12_Cell_Differentiation, 690,  7, 10,  201, 1, 4, 554434, 15452.93, 0, 0.00, 1: 44; 2: 41; 3: 21; 4: 3; 
PC12_Cell_Differentiation, 221,  7, 10,  201, 1, 4, 554435, 15452.93, 85, 0.00, 1: 45; 2: 42; 3: 16; 4: 6; 
PC12_Cell_Differentiation, 664,  6, 12,  201, 1, 4, 566089, 15452.93, 248, 0.00, 1: 47; 2: 38; 3: 18; 4: 6; 
PC12_Cell_Differentiation, 928,  8,  8,  201, 1, 4, 508032, 15452.93, 6, 0.00, 1: 48; 2: 37; 3: 17; 4: 7; 
PC12_Cell_Differentiation, 449,  8,  9,  201, 1, 4, 566324, 15452.93, 38, 0.00, 1: 45; 2: 41; 3: 18; 4: 5; 
PC12_Cell_Differentiation,  46,  8,  9,  201, 1, 4, 566258, 15452.93, 0, 0.00, 1: 47; 2: 37; 3: 20; 4: 5; 
PC12_Cell_Differentiation, 752, 10,  7,  201, 1, 4, 554433, 15452.93, 0, 0.00, 1: 48; 2: 34; 3: 23; 4: 4; 
PC12_Cell_Differentiation, 247,  7, 10,  201, 1, 4, 554421, 15452.93, 0, 0.00, 1: 44; 2: 40; 3: 23; 4: 2; 
PC12_Cell_Differentiation, 172,  7, 10,  201, 1, 4, 554352, 15452.93, 32, 0.00, 1: 48; 2: 36; 3: 19; 4: 6; 
PC12_Cell_Differentiation,   6,  6, 12,  201, 1, 4, 566323, 15452.93, 0, 0.00, 1: 48; 2: 36; 3: 19; 4: 6; 
PC12_Cell_Differentiation,  55, 10,  7,  201, 1, 4, 554485, 15452.93, 0, 0.00, 1: 48; 2: 35; 3: 21; 4: 5; 
PC12_Cell_Differentiation, 980,  6, 12,  201, 1, 4, 566202, 15452.93, 226, 0.00, 1: 47; 2: 36; 3: 22; 4: 4; 
PC12_Cell_Differentiation, 545,  8,  9,  201, 1, 4, 566258, 15452.93, 0, 0.00, 1: 47; 2: 38; 3: 18; 4: 6; 
PC12_Cell_Differentiation, 321,  7, 10,  201, 1, 4, 554470, 15452.93, 148, 0.00, 1: 45; 2: 41; 3: 18; 4: 5; 
PC12_Cell_Differentiation, 448,  7, 10,  201, 1, 4, 554388, 15452.93, 176, 0.00, 1: 49; 2: 32; 3: 24; 4: 4; 
PC12_Cell_Differentiation, 128,  7, 10,  202, 1, 4, 554370, 15452.93, 0, 0.00, 1: 47; 2: 38; 3: 17; 4: 7; 
PC12_Cell_Differentiation, 827, 11,  6,  202, 1, 4, 525283, 15452.93, 0, 0.00, 1: 47; 2: 37; 3: 19; 4: 6; 
PC12_Cell_Differentiation, 725,  7, 10,  202, 1, 4, 554371, 15452.93, 85, 0.00, 1: 45; 2: 39; 3: 21; 4: 4; 
PC12_Cell_Differentiation, 153, 10,  7,  202, 1, 4, 554296, 15452.93, 118, 0.00, 1: 48; 2: 37; 3: 16; 4: 8; 
PC12_Cell_Differentiation, 350,  8,  9,  202, 1, 4, 566126, 15452.93, 0, 0.00, 1: 46; 2: 37; 3: 22; 4: 4; 
PC12_Cell_Differentiation, 168,  7, 10,  202, 1, 4, 554408, 15452.93, 32, 0.00, 1: 48; 2: 36; 3: 18; 4: 7; 
PC12_Cell_Differentiation, 771,  8,  9,  202, 1, 4, 566303, 15452.93, 29, 0.00, 1: 47; 2: 36; 3: 21; 4: 5; 
PC12_Cell_Differentiation, 756,  7, 10,  202, 1, 4, 554459, 15452.93, 0, 0.00, 1: 46; 2: 38; 3: 20; 4: 5; 
PC12_Cell_Differentiation,  47,  7, 10,  202, 1, 4, 554415, 15452.93, 0, 0.00, 1: 48; 2: 36; 3: 18; 4: 7; 
PC12_Cell_Differentiation,  21,  7, 10,  202, 1, 4, 554361, 15452.93, 85, 0.00, 1: 46; 2: 36; 3: 24; 4: 3; 
PC12_Cell_Differentiation, 597, 10,  7,  202, 1, 4, 554439, 15452.93, 85, 0.00, 1: 47; 2: 37; 3: 19; 4: 6; 
PC12_Cell_Differentiation, 262, 11,  6,  202, 1, 4, 525272, 15452.93, 0, 0.00, 1: 49; 2: 32; 3: 23; 4: 5; 
PC12_Cell_Differentiation, 609,  8,  9,  202, 1, 4, 566348, 15452.93, 0, 0.00, 1: 48; 2: 35; 3: 20; 4: 6; 
PC12_Cell_Differentiation, 553,  7, 10,  202, 1, 4, 554459, 15452.93, 67, 0.00, 1: 43; 2: 43; 3: 19; 4: 4; 
PC12_Cell_Differentiation, 619,  8,  9,  202, 1, 4, 566269, 15452.93, 71, 0.00, 1: 45; 2: 40; 3: 19; 4: 5; 
PC12_Cell_Differentiation, 871,  8,  9,  202, 1, 4, 566155, 15452.93, 0, 0.00, 1: 50; 2: 31; 3: 22; 4: 6; 
PC12_Cell_Differentiation, 521, 10,  7,  202, 1, 4, 554557, 15452.93, 190, 0.00, 1: 48; 2: 34; 3: 22; 4: 5; 
PC12_Cell_Differentiation, 887,  6, 12,  202, 1, 4, 566442, 15452.93, 0, 0.00, 1: 46; 2: 38; 3: 20; 4: 5; 
PC12_Cell_Differentiation, 101,  6, 12,  202, 1, 4, 566094, 15452.93, 0, 0.00, 1: 47; 2: 37; 3: 19; 4: 6; 
PC12_Cell_Differentiation,  84,  7, 10,  202, 1, 4, 554449, 15452.93, 226, 0.00, 1: 46; 2: 38; 3: 20; 4: 5; 
PC12_Cell_Differentiation, 330,  6, 12,  202, 1, 4, 566343, 15452.93, 103, 0.00, 1: 50; 2: 33; 3: 18; 4: 8; 
PC12_Cell_Differentiation, 232, 10,  7,  202, 1, 4, 554364, 15452.93, 32, 0.00, 1: 47; 2: 37; 3: 19; 4: 6; 
PC12_Cell_Differentiation, 687,  7, 10,  202, 1, 4, 554310, 15452.93, 0, 0.00, 1: 46; 2: 39; 3: 18; 4: 6; 
PC12_Cell_Differentiation, 857, 10,  7,  202, 1, 4, 554445, 15452.93, 121, 0.00, 1: 45; 2: 37; 3: 25; 4: 2; 
PC12_Cell_Differentiation, 462, 11,  6,  202, 1, 4, 525294, 15452.93, 0, 0.00, 1: 46; 2: 37; 3: 22; 4: 4; 
PC12_Cell_Differentiation,  95,  7, 10,  203, 1, 4, 554465, 15452.93, 0, 0.00, 1: 45; 2: 39; 3: 20; 4: 5; 
PC12_Cell_Differentiation, 743, 11,  6,  203, 1, 4, 525297, 15452.93, 0, 0.00, 1: 46; 2: 36; 3: 23; 4: 4; 
PC12_Cell_Differentiation, 872,  8,  9,  203, 1, 4, 566273, 15452.93, 32, 0.00, 1: 50; 2: 32; 3: 19; 4: 8; 
PC12_Cell_Differentiation, 122,  6, 12,  203, 1, 4, 566466, 15452.93, 0, 0.00, 1: 46; 2: 38; 3: 19; 4: 6; 
PC12_Cell_Differentiation, 859, 10,  7,  203, 1, 4, 554411, 15452.93, 29, 0.00, 1: 46; 2: 37; 3: 21; 4: 5; 
PC12_Cell_Differentiation, 837,  7, 10,  203, 1, 4, 554319, 15452.93, 85, 0.00, 1: 49; 2: 31; 3: 24; 4: 5; 
PC12_Cell_Differentiation, 853,  6, 11,  203, 1, 4, 525289, 15452.93, 85, 0.00, 1: 48; 2: 32; 3: 25; 4: 4; 
PC12_Cell_Differentiation, 642, 10,  7,  203, 1, 4, 554351, 15452.93, 0, 0.00, 1: 47; 2: 36; 3: 20; 4: 6; 
PC12_Cell_Differentiation, 309,  7, 10,  203, 1, 4, 554366, 15452.93, 0, 0.00, 1: 43; 2: 41; 3: 22; 4: 3; 
PC12_Cell_Differentiation, 305,  6, 12,  203, 1, 4, 566195, 15452.93, 0, 0.00, 1: 47; 2: 36; 3: 20; 4: 6; 
PC12_Cell_Differentiation, 304, 10,  7,  203, 1, 4, 554364, 15452.93, 0, 0.00, 1: 45; 2: 40; 3: 18; 4: 6; 
PC12_Cell_Differentiation, 298,  8,  9,  203, 1, 4, 566304, 15452.93, 84, 0.00, 1: 45; 2: 39; 3: 20; 4: 5; 
PC12_Cell_Differentiation, 296,  6, 12,  203, 1, 4, 566146, 15452.93, 32, 0.00, 1: 46; 2: 37; 3: 21; 4: 5; 
PC12_Cell_Differentiation, 316,  6, 11,  203, 1, 4, 525297, 15452.93, 2, 0.00, 1: 48; 2: 35; 3: 19; 4: 7; 
PC12_Cell_Differentiation, 615,  6, 12,  203, 1, 4, 566388, 15452.93, 0, 0.00, 1: 43; 2: 41; 3: 22; 4: 3; 
PC12_Cell_Differentiation, 620, 10,  7,  203, 1, 4, 554314, 15452.93, 32, 0.00, 1: 45; 2: 40; 3: 18; 4: 6; 
PC12_Cell_Differentiation, 538, 10,  7,  203, 1, 4, 554323, 15452.93, 104, 0.00, 1: 49; 2: 34; 3: 18; 4: 8; 
PC12_Cell_Differentiation, 631,  7, 10,  203, 1, 4, 554407, 15452.93, 0, 0.00, 1: 45; 2: 38; 3: 22; 4: 4; 
PC12_Cell_Differentiation, 140, 10,  7,  203, 1, 4, 554428, 15452.93, 0, 0.00, 1: 45; 2: 39; 3: 20; 4: 5; 
PC12_Cell_Differentiation, 531,  6, 12,  203, 1, 4, 566329, 15452.93, 29, 0.00, 1: 46; 2: 37; 3: 21; 4: 5; 
PC12_Cell_Differentiation, 338,  8,  8,  203, 1, 4, 508032, 15452.93, 103, 0.00, 1: 48; 2: 35; 3: 19; 4: 7; 
PC12_Cell_Differentiation, 704, 11,  6,  203, 1, 4, 525281, 15452.93, 240, 0.00, 1: 46; 2: 36; 3: 23; 4: 4; 
PC12_Cell_Differentiation, 724, 10,  7,  203, 1, 4, 554338, 15452.93, 226, 0.00, 1: 49; 2: 32; 3: 22; 4: 6; 
PC12_Cell_Differentiation, 728,  8,  9,  203, 1, 4, 566319, 15452.93, 56, 0.00, 1: 46; 2: 38; 3: 19; 4: 6; 
PC12_Cell_Differentiation, 346,  8,  8,  203, 1, 4, 508032, 15452.93, 104, 0.00, 1: 45; 2: 37; 3: 24; 4: 3; 
PC12_Cell_Differentiation, 399,  8,  9,  203, 1, 4, 566164, 15452.93, 0, 0.00, 1: 48; 2: 35; 3: 19; 4: 7; 
