Seed 1656949570
ARCH 0|F_ID 1|LIMIT 5
before: 
16(471)
Melhor resultado nxn: T-LGL_Survival_Network_2011, 585,  8,  8,  463, 0, 6, 506554, 22393.59, 0, 0.00, 0: 5; 1: 58; 2: 52; 3: 38; 4: 27; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 515,  7,  9,  462, 0, 6, 499172, 22393.59, 0, 0.00, 0: 5; 1: 60; 2: 50; 3: 40; 4: 22; 5: 14; 6: 4; 
T-LGL_Survival_Network_2011, 585,  8,  8,  463, 0, 6, 506554, 22393.59, 0, 0.00, 0: 5; 1: 58; 2: 52; 3: 38; 4: 27; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 521,  9,  7,  464, 0, 6, 499218, 22393.59, 0, 0.00, 0: 5; 1: 55; 2: 58; 3: 36; 4: 24; 5: 13; 6: 4; 
T-LGL_Survival_Network_2011, 544,  7,  9,  464, 0, 6, 499214, 22393.59, 10, 0.00, 0: 5; 1: 56; 2: 56; 3: 37; 4: 24; 5: 13; 6: 4; 
T-LGL_Survival_Network_2011, 637,  8,  8,  464, 0, 6, 506539, 22393.59, 0, 0.00, 0: 5; 1: 54; 2: 59; 3: 37; 4: 23; 5: 13; 6: 4; 
T-LGL_Survival_Network_2011, 440,  7,  9,  464, 0, 6, 499221, 22393.59, 2, 0.00, 0: 5; 1: 57; 2: 51; 3: 43; 4: 23; 5: 12; 6: 4; 
T-LGL_Survival_Network_2011, 771,  7,  9,  464, 0, 6, 499211, 22393.59, 0, 0.00, 0: 5; 1: 58; 2: 54; 3: 39; 4: 19; 5: 15; 6: 5; 
T-LGL_Survival_Network_2011, 688,  7,  9,  465, 0, 6, 499217, 22393.59, 17, 0.00, 0: 5; 1: 56; 2: 56; 3: 36; 4: 25; 5: 13; 6: 4; 
T-LGL_Survival_Network_2011, 569,  8,  8,  465, 0, 6, 506544, 22393.59, 0, 0.00, 0: 5; 1: 52; 2: 62; 3: 37; 4: 22; 5: 12; 6: 5; 
T-LGL_Survival_Network_2011, 376,  9,  7,  465, 0, 6, 499201, 22393.59, 1, 0.00, 0: 5; 1: 55; 2: 57; 3: 37; 4: 24; 5: 13; 6: 4; 
T-LGL_Survival_Network_2011, 663,  8,  8,  465, 0, 6, 506546, 22393.59, 0, 0.00, 0: 5; 1: 54; 2: 52; 3: 49; 4: 19; 5: 12; 6: 4; 
T-LGL_Survival_Network_2011, 928,  8,  8,  465, 0, 6, 506465, 22393.59, 28, 0.00, 0: 5; 1: 55; 2: 58; 3: 34; 4: 26; 5: 14; 6: 3; 
T-LGL_Survival_Network_2011, 299,  9,  7,  465, 0, 6, 499197, 22393.59, 0, 0.00, 0: 5; 1: 62; 2: 47; 3: 37; 4: 26; 5: 14; 6: 4; 
T-LGL_Survival_Network_2011, 560,  7,  9,  465, 0, 6, 499198, 22393.59, 10, 0.00, 0: 5; 1: 52; 2: 58; 3: 42; 4: 23; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011,  93,  9,  7,  465, 0, 6, 499156, 22393.59, 0, 0.00, 0: 5; 1: 55; 2: 58; 3: 34; 4: 27; 5: 12; 6: 4; 
T-LGL_Survival_Network_2011, 793,  8,  8,  465, 0, 6, 506475, 22393.59, 0, 0.00, 0: 5; 1: 56; 2: 55; 3: 38; 4: 24; 5: 13; 6: 4; 
T-LGL_Survival_Network_2011, 777,  8,  8,  465, 0, 6, 506542, 22393.59, 0, 0.00, 0: 5; 1: 53; 2: 58; 3: 40; 4: 23; 5: 12; 6: 4; 
T-LGL_Survival_Network_2011, 597,  9,  7,  466, 0, 6, 499184, 22393.59, 0, 0.00, 0: 5; 1: 60; 2: 48; 3: 38; 4: 27; 5: 14; 6: 3; 
T-LGL_Survival_Network_2011, 543,  8,  8,  466, 0, 6, 506509, 22393.59, 0, 0.00, 0: 5; 1: 55; 2: 53; 3: 42; 4: 24; 5: 13; 6: 3; 
T-LGL_Survival_Network_2011,  35,  9,  7,  466, 0, 6, 499152, 22393.59, 0, 0.00, 0: 5; 1: 55; 2: 57; 3: 36; 4: 25; 5: 13; 6: 4; 
T-LGL_Survival_Network_2011, 504,  8,  8,  466, 0, 6, 506496, 22393.59, 6, 0.00, 0: 5; 1: 48; 2: 65; 3: 38; 4: 24; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 514,  8,  8,  466, 0, 6, 506504, 22393.59, 0, 0.00, 0: 5; 1: 55; 2: 56; 3: 40; 4: 20; 5: 15; 6: 4; 
T-LGL_Survival_Network_2011, 787,  8,  8,  466, 0, 6, 506525, 22393.59, 0, 0.00, 0: 5; 1: 53; 2: 55; 3: 44; 4: 22; 5: 13; 6: 3; 
T-LGL_Survival_Network_2011, 460,  9,  7,  466, 0, 6, 499178, 22393.59, 7, 0.00, 0: 5; 1: 62; 2: 48; 3: 37; 4: 23; 5: 15; 6: 5; 
T-LGL_Survival_Network_2011, 169,  8,  8,  466, 0, 6, 506456, 22393.59, 0, 0.00, 0: 5; 1: 52; 2: 61; 3: 37; 4: 23; 5: 13; 6: 4; 
T-LGL_Survival_Network_2011, 372,  9,  7,  466, 0, 6, 499209, 22393.59, 47, 0.00, 0: 5; 1: 54; 2: 59; 3: 36; 4: 23; 5: 14; 6: 4; 
T-LGL_Survival_Network_2011, 720,  8,  8,  466, 0, 6, 506494, 22393.59, 20, 0.00, 0: 5; 1: 54; 2: 60; 3: 35; 4: 24; 5: 11; 6: 6; 
T-LGL_Survival_Network_2011, 737,  7,  9,  466, 0, 6, 499189, 22393.59, 0, 0.00, 0: 5; 1: 51; 2: 59; 3: 43; 4: 21; 5: 12; 6: 4; 
T-LGL_Survival_Network_2011, 574,  8,  8,  467, 0, 6, 506512, 22393.59, 0, 0.00, 0: 5; 1: 53; 2: 56; 3: 41; 4: 24; 5: 13; 6: 3; 
T-LGL_Survival_Network_2011, 662,  8,  8,  467, 0, 6, 506523, 22393.59, 0, 0.00, 0: 5; 1: 54; 2: 61; 3: 32; 4: 25; 5: 13; 6: 5; 
T-LGL_Survival_Network_2011, 206,  8,  8,  467, 0, 6, 506556, 22393.59, 0, 0.00, 0: 5; 1: 52; 2: 58; 3: 40; 4: 24; 5: 13; 6: 3; 
T-LGL_Survival_Network_2011, 219,  8,  8,  467, 0, 6, 506561, 22393.59, 0, 0.00, 0: 5; 1: 53; 2: 58; 3: 39; 4: 23; 5: 13; 6: 4; 
T-LGL_Survival_Network_2011, 755,  8,  8,  467, 0, 6, 506515, 22393.59, 0, 0.00, 0: 5; 1: 55; 2: 52; 3: 46; 4: 20; 5: 12; 6: 5; 
T-LGL_Survival_Network_2011, 589,  8,  8,  467, 0, 6, 506538, 22393.59, 0, 0.00, 0: 5; 1: 51; 2: 60; 3: 39; 4: 24; 5: 13; 6: 3; 
T-LGL_Survival_Network_2011, 136,  9,  7,  467, 0, 6, 499195, 22393.59, 1, 0.00, 0: 5; 1: 59; 2: 50; 3: 41; 4: 19; 5: 17; 6: 4; 
T-LGL_Survival_Network_2011, 231,  9,  7,  467, 0, 6, 499192, 22393.59, 0, 0.00, 0: 5; 1: 52; 2: 56; 3: 44; 4: 23; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 235,  8,  8,  467, 0, 6, 506447, 22393.59, 0, 0.00, 0: 5; 1: 48; 2: 66; 3: 37; 4: 23; 5: 12; 6: 4; 
T-LGL_Survival_Network_2011, 988,  8,  8,  467, 0, 6, 506518, 22393.59, 49, 0.00, 0: 5; 1: 57; 2: 52; 3: 41; 4: 21; 5: 15; 6: 4; 
T-LGL_Survival_Network_2011, 243,  8,  8,  467, 0, 6, 506510, 22393.59, 0, 0.00, 0: 5; 1: 56; 2: 53; 3: 39; 4: 26; 5: 12; 6: 4; 
T-LGL_Survival_Network_2011, 571,  8,  8,  467, 0, 6, 506532, 22393.59, 0, 0.00, 0: 5; 1: 52; 2: 60; 3: 38; 4: 23; 5: 13; 6: 4; 
T-LGL_Survival_Network_2011, 740,  7,  9,  467, 0, 6, 499197, 22393.59, 2, 0.00, 0: 5; 1: 55; 2: 54; 3: 41; 4: 23; 5: 13; 6: 4; 
T-LGL_Survival_Network_2011, 545,  7,  9,  467, 0, 6, 499193, 22393.59, 0, 0.00, 0: 5; 1: 50; 2: 65; 3: 35; 4: 23; 5: 12; 6: 5; 
T-LGL_Survival_Network_2011, 473,  8,  8,  467, 0, 6, 506503, 22393.59, 0, 0.00, 0: 5; 1: 50; 2: 62; 3: 41; 4: 19; 5: 14; 6: 4; 
T-LGL_Survival_Network_2011, 320,  7,  9,  467, 0, 6, 499176, 22393.59, 1, 0.00, 0: 5; 1: 54; 2: 61; 3: 35; 4: 18; 5: 18; 6: 4; 
T-LGL_Survival_Network_2011, 112,  7,  9,  468, 0, 6, 499222, 22393.59, 1, 0.00, 0: 5; 1: 55; 2: 58; 3: 35; 4: 23; 5: 14; 6: 5; 
T-LGL_Survival_Network_2011, 984,  9,  7,  468, 0, 6, 499209, 22393.59, 30, 0.00, 0: 5; 1: 50; 2: 63; 3: 39; 4: 19; 5: 15; 6: 4; 
T-LGL_Survival_Network_2011, 161,  8,  8,  468, 0, 6, 506491, 22393.59, 0, 0.00, 0: 5; 1: 51; 2: 65; 3: 34; 4: 21; 5: 13; 6: 6; 
T-LGL_Survival_Network_2011,  90,  9,  7,  468, 0, 6, 499174, 22393.59, 0, 0.00, 0: 5; 1: 58; 2: 49; 3: 42; 4: 23; 5: 14; 6: 4; 
T-LGL_Survival_Network_2011, 173,  9,  7,  468, 0, 6, 499191, 22393.59, 0, 0.00, 0: 5; 1: 54; 2: 57; 3: 36; 4: 27; 5: 12; 6: 4; 
