Seed 1656949570
ARCH 1|F_ID 1|LIMIT 3
before: 
12(775)
Melhor resultado nxn: Treatment_of_Castration-Resistant_Prostate_Ca, 428,  7,  7,   75, 1, 2, 382260, 9553.27, 114, 0.00, 1: 55; 2: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 367,  6,  8,   75, 1, 2, 375726, 9553.27, 52, 0.00, 1: 55; 2: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 428,  7,  7,   75, 1, 2, 382260, 9553.27, 114, 0.00, 1: 55; 2: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 594,  6,  8,   75, 1, 2, 375636, 9553.27, 88, 0.00, 1: 55; 2: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 112,  8,  6,   76, 1, 2, 375874, 9553.27, 28, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 230,  8,  6,   76, 1, 2, 375752, 9553.27, 0, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 926,  5, 10,   76, 1, 2, 388844, 9553.27, 0, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 268,  6,  8,   76, 1, 2, 375501, 9553.27, 211, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 930,  9,  5,   76, 1, 2, 355049, 9553.27, 0, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 961,  7,  7,   76, 1, 2, 381857, 9553.27, 180, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 197,  8,  6,   76, 1, 2, 375657, 9553.27, 85, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 717,  5, 10,   76, 1, 2, 388881, 9553.27, 85, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 385,  8,  6,   76, 1, 2, 375761, 9553.27, 90, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 221,  8,  6,   76, 1, 2, 375683, 9553.27, 85, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 529,  8,  6,   76, 1, 2, 375616, 9553.27, 0, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 531,  7,  7,   76, 1, 2, 381986, 9553.27, 0, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca,  70,  6,  8,   76, 1, 2, 375771, 9553.27, 0, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca,  11,  5, 10,   76, 1, 2, 388769, 9553.27, 10, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 733,  5, 10,   76, 1, 2, 389057, 9553.27, 85, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 849,  7,  7,   76, 1, 2, 381822, 9553.27, 198, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 214,  7,  7,   76, 1, 2, 381954, 9553.27, 0, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 711,  8,  6,   76, 1, 2, 375637, 9553.27, 0, 0.00, 1: 54; 2: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 426,  5, 10,   77, 1, 2, 388729, 9553.27, 110, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca,  76,  6,  8,   77, 1, 2, 375785, 9553.27, 211, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 553,  8,  6,   77, 1, 2, 375399, 9553.27, 66, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 292,  7,  7,   77, 1, 2, 382181, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 976,  5, 10,   77, 1, 2, 388940, 9553.27, 64, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 190,  8,  6,   77, 1, 2, 375590, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 770,  6,  8,   77, 1, 2, 375392, 9553.27, 88, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 617,  7,  7,   77, 1, 2, 381930, 9553.27, 66, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 772,  5, 10,   77, 1, 2, 388690, 9553.27, 211, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 538,  8,  6,   77, 1, 2, 375579, 9553.27, 88, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca,  65,  7,  7,   77, 1, 2, 382008, 9553.27, 212, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 206,  7,  7,   77, 1, 2, 381987, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 175,  8,  6,   77, 1, 2, 375585, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 115,  7,  7,   77, 1, 2, 382102, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 138,  5,  9,   77, 1, 2, 355072, 9553.27, 208, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 574,  7,  7,   77, 1, 2, 381911, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 324,  7,  7,   77, 1, 2, 382086, 9553.27, 211, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 868,  5, 10,   77, 1, 2, 388938, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 145,  5,  9,   77, 1, 2, 355078, 9553.27, 180, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 150,  6,  8,   77, 1, 2, 375828, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 151,  9,  5,   77, 1, 2, 355014, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 451,  9,  5,   77, 1, 2, 355061, 9553.27, 63, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 308,  8,  6,   77, 1, 2, 375660, 9553.27, 25, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 747,  7,  7,   77, 1, 2, 382019, 9553.27, 120, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 957,  7,  7,   77, 1, 2, 381725, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 615,  6,  8,   77, 1, 2, 375856, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 762,  7,  7,   77, 1, 2, 381943, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 445,  6,  8,   77, 1, 2, 375557, 9553.27, 0, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 960,  6,  8,   77, 1, 2, 375433, 9553.27, 32, 0.00, 1: 53; 2: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 169,  5,  9,   77, 1, 2, 355068, 9553.27, 65, 0.00, 1: 53; 2: 12; 
