Seed 1656949570
ARCH 2|F_ID 1|LIMIT 3
before: 
02(559)
Melhor resultado nxn: Treatment_of_Castration-Resistant_Prostate_Ca, 466,  7,  7,   79, 1, 2, 381568, 10202.19, 84, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 466,  7,  7,   79, 1, 2, 381568, 10202.19, 84, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 163,  8,  6,   79, 1, 2, 375585, 10202.19, 0, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 558,  8,  6,   79, 1, 2, 375598, 10202.19, 0, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 403,  8,  6,   79, 1, 2, 375788, 10202.19, 116, 0.00, 1: 51; 2: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 628,  8,  6,   80, 1, 2, 375603, 10202.19, 5, 0.00, 1: 50; 2: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 339,  6,  8,   80, 1, 2, 375750, 10202.19, 116, 0.00, 1: 50; 2: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 727,  6,  8,   80, 1, 2, 375471, 10202.19, 0, 0.00, 1: 50; 2: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 728,  7,  7,   80, 1, 2, 382013, 10202.19, 184, 0.00, 1: 50; 2: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 760,  8,  6,   80, 1, 2, 375589, 10202.19, 0, 0.00, 1: 50; 2: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 511,  7,  7,   80, 1, 2, 381860, 10202.19, 0, 0.00, 1: 50; 2: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 851,  6,  8,   80, 1, 2, 375448, 10202.19, 115, 0.00, 1: 50; 2: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 516,  7,  7,   80, 1, 2, 381906, 10202.19, 0, 0.00, 1: 50; 2: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 126,  7,  7,   80, 1, 2, 382085, 10202.19, 0, 0.00, 1: 50; 2: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca,  22,  7,  7,   80, 1, 2, 381820, 10202.19, 0, 0.00, 1: 50; 2: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 428,  7,  7,   80, 1, 2, 381984, 10202.19, 114, 0.00, 1: 50; 2: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 957,  7,  7,   80, 1, 2, 381774, 10202.19, 0, 0.00, 1: 50; 2: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 915,  7,  7,   80, 1, 2, 381764, 10202.19, 116, 0.00, 1: 50; 2: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 273,  6,  8,   80, 1, 2, 375569, 10202.19, 26, 0.00, 1: 50; 2: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 102,  7,  7,   80, 1, 2, 382130, 10202.19, 0, 0.00, 1: 50; 2: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 237,  8,  6,   80, 1, 2, 375708, 10202.19, 83, 0.00, 1: 50; 2: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 708,  6,  8,   81, 1, 2, 375952, 10202.19, 89, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 120,  9,  5,   81, 1, 2, 355078, 10202.19, 0, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca,  65,  7,  7,   81, 1, 2, 382092, 10202.19, 148, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 399,  8,  6,   81, 1, 2, 375514, 10202.19, 0, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca,  40,  6,  8,   81, 1, 2, 375750, 10202.19, 32, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 932,  8,  6,   81, 1, 2, 375843, 10202.19, 0, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 935,  8,  6,   81, 1, 2, 375633, 10202.19, 0, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 337,  7,  7,   81, 1, 2, 382310, 10202.19, 26, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca,  60,  8,  6,   81, 1, 2, 375555, 10202.19, 89, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 569,  7,  7,   81, 1, 2, 381706, 10202.19, 0, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 837,  8,  6,   81, 1, 2, 375609, 10202.19, 85, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca,  97,  6,  8,   81, 1, 2, 375822, 10202.19, 0, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca,  93,  6,  8,   81, 1, 2, 375845, 10202.19, 85, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 324,  7,  7,   81, 1, 2, 382073, 10202.19, 89, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 308,  8,  6,   81, 1, 2, 375879, 10202.19, 25, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 949,  7,  7,   81, 1, 2, 382092, 10202.19, 0, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 104,  7,  7,   81, 1, 2, 382138, 10202.19, 32, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 780,  6,  8,   81, 1, 2, 375791, 10202.19, 89, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 531,  7,  7,   81, 1, 2, 381862, 10202.19, 0, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 227,  7,  7,   81, 1, 2, 382212, 10202.19, 0, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 661,  6,  8,   81, 1, 2, 375587, 10202.19, 0, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 286,  7,  7,   81, 1, 2, 381916, 10202.19, 0, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 927,  7,  7,   81, 1, 2, 381935, 10202.19, 0, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 488,  8,  6,   81, 1, 2, 375802, 10202.19, 32, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 784,  8,  6,   81, 1, 2, 375464, 10202.19, 208, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 790,  6,  8,   81, 1, 2, 375645, 10202.19, 0, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 592,  6,  8,   81, 1, 2, 375643, 10202.19, 80, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca,  87,  7,  7,   81, 1, 2, 382056, 10202.19, 0, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 355,  6,  8,   81, 1, 2, 375563, 10202.19, 0, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 633,  8,  6,   81, 1, 2, 375674, 10202.19, 0, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 862,  6,  8,   81, 1, 2, 375800, 10202.19, 0, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 240,  8,  6,   81, 1, 2, 375746, 10202.19, 0, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca,  17,  7,  7,   81, 1, 2, 381875, 10202.19, 33, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca,  18,  7,  7,   81, 1, 2, 382034, 10202.19, 84, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 732,  8,  6,   81, 1, 2, 375567, 10202.19, 89, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 795,  6,  8,   81, 1, 2, 375292, 10202.19, 116, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 670,  8,  6,   81, 1, 2, 375708, 10202.19, 0, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 349,  7,  7,   81, 1, 2, 382064, 10202.19, 85, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 460,  7,  7,   81, 1, 2, 381865, 10202.19, 89, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 434,  6,  8,   81, 1, 2, 375516, 10202.19, 32, 0.00, 1: 49; 2: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 155,  8,  6,   82, 1, 2, 375298, 10202.19, 116, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 577,  8,  6,   82, 1, 2, 375783, 10202.19, 27, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 612,  7,  7,   82, 1, 2, 381907, 10202.19, 0, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 574,  7,  7,   82, 1, 2, 381923, 10202.19, 0, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 747,  7,  7,   82, 1, 2, 381730, 10202.19, 120, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 213,  7,  7,   82, 1, 2, 381969, 10202.19, 85, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 623,  8,  6,   82, 1, 2, 375514, 10202.19, 32, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 615,  6,  8,   82, 1, 2, 375617, 10202.19, 0, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 139,  6,  8,   82, 1, 2, 375585, 10202.19, 115, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 238,  8,  6,   82, 1, 2, 375540, 10202.19, 80, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 590,  8,  6,   82, 1, 2, 375397, 10202.19, 0, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 794,  8,  6,   82, 1, 2, 375257, 10202.19, 84, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 937,  8,  6,   82, 1, 2, 375541, 10202.19, 69, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 729,  8,  6,   82, 1, 2, 375551, 10202.19, 36, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 797,  6,  8,   82, 1, 2, 375679, 10202.19, 85, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 148,  9,  5,   82, 1, 2, 355086, 10202.19, 89, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 152,  7,  7,   82, 1, 2, 382170, 10202.19, 120, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 710,  7,  7,   82, 1, 2, 381955, 10202.19, 0, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 263,  5, 10,   82, 1, 2, 389003, 10202.19, 0, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 264,  8,  6,   82, 1, 2, 375769, 10202.19, 80, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 109,  6,  8,   82, 1, 2, 375782, 10202.19, 0, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 265,  7,  7,   82, 1, 2, 382174, 10202.19, 26, 0.00, 1: 48; 2: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 150,  6,  8,   82, 1, 2, 375713, 10202.19, 0, 0.00, 1: 48; 2: 17; 
