Seed 1656949570
ARCH 0|F_ID 1|LIMIT 3
before: 
03(276)
Melhor resultado nxn: Treatment_of_Castration-Resistant_Prostate_Ca, 102,  7,  7,  102, 1, 3, 382042, 9216.06, 0, 0.00, 1: 35; 2: 23; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 102,  7,  7,  102, 1, 3, 382042, 9216.06, 0, 0.00, 1: 35; 2: 23; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 602,  6,  8,  102, 1, 3, 375608, 9216.06, 36, 0.00, 1: 35; 2: 23; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca,  29,  6,  8,  103, 1, 3, 375492, 9216.06, 85, 0.00, 1: 33; 2: 26; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 667,  6,  8,  103, 1, 3, 375691, 9216.06, 98, 0.00, 1: 33; 2: 26; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 961,  7,  7,  103, 1, 3, 381970, 9216.06, 52, 0.00, 1: 35; 2: 22; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 736,  8,  6,  104, 1, 3, 375505, 9216.06, 13, 0.00, 1: 33; 2: 25; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca,  56,  7,  7,  104, 1, 3, 381806, 9216.06, 0, 0.00, 1: 34; 2: 23; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 609,  7,  7,  104, 1, 3, 381835, 9216.06, 0, 0.00, 1: 34; 2: 23; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 938,  7,  7,  104, 1, 3, 382017, 9216.06, 71, 0.00, 1: 32; 2: 27; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca,  82,  7,  7,  104, 1, 3, 381984, 9216.06, 36, 0.00, 1: 33; 2: 25; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 964,  7,  7,  104, 1, 3, 381884, 9216.06, 92, 0.00, 1: 31; 2: 29; 3: 5; 
Treatment_of_Castration-Resistant_Prostate_Ca, 684,  7,  7,  104, 1, 3, 381997, 9216.06, 50, 0.00, 1: 31; 2: 29; 3: 5; 
Treatment_of_Castration-Resistant_Prostate_Ca, 336,  7,  7,  104, 1, 3, 381922, 9216.06, 144, 0.00, 1: 32; 2: 27; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 408,  7,  7,  104, 1, 3, 381956, 9216.06, 120, 0.00, 1: 31; 2: 29; 3: 5; 
Treatment_of_Castration-Resistant_Prostate_Ca, 466,  7,  7,  104, 1, 3, 381964, 9216.06, 36, 0.00, 1: 33; 2: 25; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 914,  6,  8,  104, 1, 3, 375708, 9216.06, 36, 0.00, 1: 32; 2: 27; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 950,  7,  7,  104, 1, 3, 382004, 9216.06, 0, 0.00, 1: 36; 2: 19; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 808,  6,  8,  105, 1, 3, 375576, 9216.06, 32, 0.00, 1: 31; 2: 28; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca,  85,  7,  7,  105, 1, 3, 381965, 9216.06, 85, 0.00, 1: 32; 2: 26; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 571,  6,  8,  105, 1, 3, 375605, 9216.06, 0, 0.00, 1: 32; 2: 26; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 922,  7,  7,  105, 1, 3, 382031, 9216.06, 36, 0.00, 1: 32; 2: 26; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 690,  8,  6,  105, 1, 3, 375713, 9216.06, 105, 0.00, 1: 34; 2: 22; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 533,  6,  8,  105, 1, 3, 375565, 9216.06, 0, 0.00, 1: 31; 2: 28; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 762,  7,  7,  105, 1, 3, 382044, 9216.06, 0, 0.00, 1: 32; 2: 26; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 728,  7,  7,  105, 1, 3, 381847, 9216.06, 184, 0.00, 1: 33; 2: 24; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 957,  7,  7,  105, 1, 3, 381822, 9216.06, 0, 0.00, 1: 32; 2: 26; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 293,  6,  8,  105, 1, 3, 375673, 9216.06, 0, 0.00, 1: 33; 2: 24; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca,  23,  7,  7,  105, 1, 3, 381992, 9216.06, 0, 0.00, 1: 31; 2: 28; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 909,  6,  8,  105, 1, 3, 375592, 9216.06, 85, 0.00, 1: 33; 2: 24; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 377,  7,  7,  105, 1, 3, 381920, 9216.06, 0, 0.00, 1: 32; 2: 26; 3: 7; 
