Seed 1656949570
ARCH 1|F_ID 1|LIMIT 4
before: 
82(298)
Melhor resultado nxn: Yeast_Apoptosis, 315,  9,  9,  140, 1, 2, 639179, 14433.87, 0, 0.00, 1: 84; 2: 28; 
Yeast_Apoptosis, 914, 10,  8,  136, 1, 2, 634241, 14433.87, 163, 0.00, 1: 88; 2: 24; 
Yeast_Apoptosis, 696,  7, 12,  138, 1, 2, 658621, 14433.87, 0, 0.00, 1: 86; 2: 26; 
Yeast_Apoptosis, 555,  8, 10,  138, 1, 2, 633937, 14433.87, 77, 0.00, 1: 86; 2: 26; 
Yeast_Apoptosis, 887,  7, 12,  138, 1, 2, 658497, 14433.87, 0, 0.00, 1: 86; 2: 26; 
Yeast_Apoptosis, 122,  7, 12,  139, 1, 2, 659011, 14433.87, 0, 0.00, 1: 85; 2: 27; 
Yeast_Apoptosis, 983,  8, 10,  139, 1, 2, 634143, 14433.87, 0, 0.00, 1: 85; 2: 27; 
Yeast_Apoptosis, 235, 10,  8,  139, 1, 2, 633949, 14433.87, 101, 0.00, 1: 85; 2: 27; 
Yeast_Apoptosis, 312, 10,  8,  140, 1, 2, 634120, 14433.87, 0, 0.00, 1: 84; 2: 28; 
Yeast_Apoptosis, 315,  9,  9,  140, 1, 2, 639179, 14433.87, 0, 0.00, 1: 84; 2: 28; 
Yeast_Apoptosis, 903,  7, 12,  140, 1, 2, 658984, 14433.87, 0, 0.00, 1: 84; 2: 28; 
Yeast_Apoptosis,  11,  7, 12,  140, 1, 2, 658712, 14433.87, 149, 0.00, 1: 84; 2: 28; 
Yeast_Apoptosis, 375,  9,  9,  140, 1, 2, 639142, 14433.87, 0, 0.00, 1: 84; 2: 28; 
Yeast_Apoptosis, 205, 10,  8,  140, 1, 2, 634019, 14433.87, 85, 0.00, 1: 84; 2: 28; 
Yeast_Apoptosis,  41,  7, 12,  140, 1, 2, 658880, 14433.87, 65, 0.00, 1: 84; 2: 28; 
Yeast_Apoptosis, 446, 10,  8,  141, 1, 2, 633991, 14433.87, 0, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 231, 10,  8,  141, 1, 2, 634093, 14433.87, 0, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 879, 10,  8,  141, 1, 2, 634048, 14433.87, 89, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 364,  6, 14,  141, 1, 2, 658781, 14433.87, 122, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 444,  8, 10,  141, 1, 2, 634163, 14433.87, 2, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 344, 10,  8,  141, 1, 2, 634169, 14433.87, 72, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis,  42,  7, 12,  141, 1, 2, 658723, 14433.87, 73, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 603, 10,  8,  141, 1, 2, 634197, 14433.87, 31, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 533,  8, 10,  141, 1, 2, 633730, 14433.87, 0, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis,  78,  8, 10,  141, 1, 2, 634024, 14433.87, 0, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 337,  7, 11,  141, 1, 2, 613127, 14433.87, 228, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 123,  8, 10,  141, 1, 2, 634241, 14433.87, 0, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 906,  9,  9,  141, 1, 2, 639241, 14433.87, 163, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 131,  8, 10,  141, 1, 2, 633937, 14433.87, 30, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 347, 10,  8,  141, 1, 2, 634220, 14433.87, 31, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 763, 11,  7,  141, 1, 2, 613030, 14433.87, 0, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 263,  8, 10,  141, 1, 2, 633871, 14433.87, 0, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 222, 10,  8,  141, 1, 2, 633971, 14433.87, 0, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 617, 11,  7,  141, 1, 2, 613254, 14433.87, 67, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 417, 10,  8,  141, 1, 2, 634142, 14433.87, 0, 0.00, 1: 83; 2: 29; 
Yeast_Apoptosis, 180,  7, 12,  142, 1, 2, 658710, 14433.87, 6, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 594, 10,  8,  142, 1, 2, 634213, 14433.87, 187, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis,  74,  8, 10,  142, 1, 2, 634258, 14433.87, 187, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 680,  6, 14,  142, 1, 2, 658623, 14433.87, 32, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 357,  6, 14,  142, 1, 2, 658725, 14433.87, 0, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 940, 11,  7,  142, 1, 2, 612992, 14433.87, 67, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 990,  6, 14,  142, 1, 2, 659150, 14433.87, 0, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 319,  9,  9,  142, 1, 2, 638947, 14433.87, 0, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 596,  8, 10,  142, 1, 2, 633980, 14433.87, 131, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 316, 11,  7,  142, 1, 2, 613204, 14433.87, 2, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 474,  7, 11,  142, 1, 2, 613182, 14433.87, 163, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 313,  9,  9,  142, 1, 2, 639149, 14433.87, 0, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 103, 10,  8,  142, 1, 2, 634311, 14433.87, 0, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 493, 10,  8,  142, 1, 2, 634053, 14433.87, 32, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 496,  8, 10,  142, 1, 2, 633998, 14433.87, 0, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 505, 10,  8,  142, 1, 2, 634212, 14433.87, 0, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 962,  7, 12,  142, 1, 2, 658595, 14433.87, 163, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 667,  7, 12,  142, 1, 2, 659031, 14433.87, 31, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 562,  9,  9,  142, 1, 2, 639244, 14433.87, 0, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 918,  7, 12,  142, 1, 2, 658541, 14433.87, 0, 0.00, 1: 82; 2: 30; 
Yeast_Apoptosis, 515,  8, 10,  142, 1, 2, 634081, 14433.87, 0, 0.00, 1: 82; 2: 30; 
