Seed 1656949570
ARCH 1|F_ID 1|LIMIT 6
before: 
35(214)
Melhor resultado nxn: macrophave_activation, 152, 18, 18,  902, 1, 5, 2616161, 63487.21, 160, 0.00, 1: 244; 2: 202; 3: 50; 4: 21; 5: 4; 
macrophave_activation, 109, 15, 22,  880, 1, 5, 2658166, 63487.21, 85, 0.00, 1: 271; 2: 174; 3: 48; 4: 23; 5: 5; 
macrophave_activation,  20, 17, 20,  886, 1, 5, 2757976, 63487.21, 172, 0.00, 1: 256; 2: 192; 3: 48; 4: 23; 5: 2; 
macrophave_activation, 174, 17, 20,  894, 1, 5, 2757937, 63487.21, 0, 0.00, 1: 258; 2: 186; 3: 45; 4: 31; 5: 1; 
macrophave_activation, 152, 18, 18,  902, 1, 5, 2616161, 63487.21, 160, 0.00, 1: 244; 2: 202; 3: 50; 4: 21; 5: 4; 
macrophave_activation, 325, 17, 20,  905, 1, 5, 2758206, 63487.21, 0, 0.00, 1: 257; 2: 180; 3: 54; 4: 24; 5: 6; 
macrophave_activation, 155, 17, 19,  907, 1, 5, 2600108, 63487.21, 138, 0.00, 1: 249; 2: 189; 3: 54; 4: 27; 5: 2; 
macrophave_activation,  59, 17, 19,  911, 1, 5, 2600105, 63487.21, 138, 0.00, 1: 252; 2: 185; 3: 51; 4: 29; 5: 4; 
macrophave_activation, 762, 15, 22,  913, 1, 5, 2658280, 63487.21, 26, 0.00, 1: 254; 2: 179; 3: 59; 4: 21; 5: 8; 
macrophave_activation, 538, 15, 22,  913, 1, 5, 2658176, 63487.21, 26, 0.00, 1: 247; 2: 191; 3: 52; 4: 27; 5: 4; 
macrophave_activation, 419, 14, 24,  914, 1, 5, 2696255, 63487.21, 0, 0.00, 1: 245; 2: 192; 3: 55; 4: 25; 5: 4; 
macrophave_activation, 525, 12, 29,  914, 1, 5, 2821409, 63487.21, 85, 0.00, 1: 259; 2: 176; 3: 52; 4: 23; 5: 11; 
macrophave_activation, 772, 14, 24,  914, 1, 5, 2696330, 63487.21, 0, 0.00, 1: 250; 2: 185; 3: 54; 4: 28; 5: 4; 
macrophave_activation, 365, 14, 24,  914, 1, 5, 2696114, 63487.21, 85, 0.00, 1: 251; 2: 183; 3: 54; 4: 30; 5: 3; 
macrophave_activation,  93, 13, 26,  914, 1, 5, 2727211, 63487.21, 85, 0.00, 1: 251; 2: 184; 3: 57; 4: 21; 5: 8; 
macrophave_activation, 476, 13, 25,  915, 1, 5, 2632205, 63487.21, 172, 0.00, 1: 246; 2: 193; 3: 51; 4: 25; 5: 6; 
macrophave_activation, 346, 17, 20,  918, 1, 5, 2758005, 63487.21, 26, 0.00, 1: 240; 2: 193; 3: 63; 4: 22; 5: 3; 
macrophave_activation, 861, 18, 18,  919, 1, 5, 2616148, 63487.21, 85, 0.00, 1: 241; 2: 196; 3: 55; 4: 24; 5: 5; 
macrophave_activation, 497, 18, 18,  921, 1, 5, 2616137, 63487.21, 0, 0.00, 1: 246; 2: 186; 3: 59; 4: 24; 5: 6; 
macrophave_activation, 674, 17, 19,  921, 1, 5, 2600111, 63487.21, 0, 0.00, 1: 241; 2: 191; 3: 63; 4: 21; 5: 5; 
macrophave_activation,  44, 21, 16,  921, 1, 5, 2696328, 63487.21, 172, 0.00, 1: 245; 2: 185; 3: 62; 4: 25; 5: 4; 
macrophave_activation, 697, 19, 17,  922, 1, 5, 2600112, 63487.21, 202, 0.00, 1: 241; 2: 192; 3: 61; 4: 21; 5: 6; 
macrophave_activation, 633, 14, 23,  923, 1, 5, 2635731, 63487.21, 202, 0.00, 1: 246; 2: 189; 3: 52; 4: 27; 5: 7; 
macrophave_activation, 785, 13, 26,  923, 1, 5, 2727208, 63487.21, 0, 0.00, 1: 247; 2: 186; 3: 56; 4: 24; 5: 8; 
macrophave_activation, 721, 17, 19,  924, 1, 5, 2600112, 63487.21, 0, 0.00, 1: 243; 2: 190; 3: 56; 4: 27; 5: 5; 
macrophave_activation, 554, 17, 20,  925, 1, 5, 2757955, 63487.21, 26, 0.00, 1: 237; 2: 196; 3: 61; 4: 22; 5: 5; 
macrophave_activation, 298, 17, 19,  925, 1, 5, 2600076, 63487.21, 26, 0.00, 1: 244; 2: 186; 3: 57; 4: 32; 5: 2; 
macrophave_activation, 913, 19, 17,  925, 1, 5, 2600105, 63487.21, 0, 0.00, 1: 235; 2: 200; 3: 56; 4: 28; 5: 2; 
macrophave_activation, 122, 17, 20,  926, 1, 5, 2757944, 63487.21, 26, 0.00, 1: 246; 2: 183; 3: 58; 4: 30; 5: 4; 
macrophave_activation, 128, 17, 20,  927, 1, 5, 2757561, 63487.21, 117, 0.00, 1: 238; 2: 193; 3: 61; 4: 25; 5: 4; 
macrophave_activation, 223, 19, 17,  927, 1, 5, 2600109, 63487.21, 0, 0.00, 1: 237; 2: 195; 3: 61; 4: 23; 5: 5; 
macrophave_activation, 803, 12, 28,  928, 1, 5, 2696164, 63487.21, 0, 0.00, 1: 242; 2: 189; 3: 58; 4: 26; 5: 6; 
macrophave_activation, 482, 15, 22,  929, 1, 5, 2658068, 63487.21, 0, 0.00, 1: 244; 2: 187; 3: 58; 4: 23; 5: 9; 
macrophave_activation, 622, 14, 24,  929, 1, 5, 2696240, 63487.21, 0, 0.00, 1: 233; 2: 201; 3: 58; 4: 25; 5: 4; 
macrophave_activation,  28, 17, 20,  929, 1, 5, 2757925, 63487.21, 172, 0.00, 1: 231; 2: 206; 3: 51; 4: 32; 5: 1; 
macrophave_activation, 368, 18, 18,  929, 1, 5, 2616151, 63487.21, 109, 0.00, 1: 240; 2: 186; 3: 66; 4: 26; 5: 3; 
macrophave_activation, 636, 18, 18,  929, 1, 5, 2616166, 63487.21, 172, 0.00, 1: 222; 2: 221; 3: 50; 4: 25; 5: 3; 
macrophave_activation, 486, 19, 17,  929, 1, 5, 2600096, 63487.21, 0, 0.00, 1: 237; 2: 195; 3: 59; 4: 25; 5: 5; 
macrophave_activation, 499, 15, 22,  929, 1, 5, 2658102, 63487.21, 0, 0.00, 1: 237; 2: 195; 3: 60; 4: 23; 5: 6; 
macrophave_activation, 479, 18, 18,  930, 1, 5, 2616173, 63487.21, 0, 0.00, 1: 238; 2: 190; 3: 64; 4: 25; 5: 4; 
macrophave_activation, 238, 17, 20,  930, 1, 5, 2758148, 63487.21, 0, 0.00, 1: 248; 2: 175; 3: 63; 4: 32; 5: 3; 
macrophave_activation, 352, 14, 24,  930, 1, 5, 2696385, 63487.21, 177, 0.00, 1: 237; 2: 198; 3: 51; 4: 31; 5: 4; 
macrophave_activation, 642, 15, 22,  931, 1, 5, 2657981, 63487.21, 0, 0.00, 1: 239; 2: 191; 3: 60; 4: 25; 5: 6; 
macrophave_activation, 987, 17, 19,  931, 1, 5, 2600084, 63487.21, 138, 0.00, 1: 239; 2: 190; 3: 59; 4: 30; 5: 3; 
macrophave_activation, 713, 17, 19,  931, 1, 5, 2600107, 63487.21, 203, 0.00, 1: 244; 2: 183; 3: 62; 4: 25; 5: 7; 
macrophave_activation, 369, 13, 26,  932, 1, 5, 2727147, 63487.21, 0, 0.00, 1: 231; 2: 202; 3: 60; 4: 23; 5: 5; 
macrophave_activation, 376, 15, 22,  932, 1, 5, 2658184, 63487.21, 96, 0.00, 1: 246; 2: 183; 3: 55; 4: 30; 5: 7; 
macrophave_activation, 592, 19, 17,  932, 1, 5, 2600107, 63487.21, 231, 0.00, 1: 246; 2: 180; 3: 60; 4: 29; 5: 6; 
macrophave_activation,  34, 21, 16,  932, 1, 5, 2696285, 63487.21, 0, 0.00, 1: 232; 2: 195; 3: 67; 4: 26; 5: 1; 
macrophave_activation, 190, 13, 26,  933, 1, 5, 2727157, 63487.21, 0, 0.00, 1: 230; 2: 207; 3: 54; 4: 23; 5: 7; 
macrophave_activation, 596, 14, 24,  933, 1, 5, 2696457, 63487.21, 0, 0.00, 1: 233; 2: 194; 3: 65; 4: 28; 5: 1; 
macrophave_activation, 963, 16, 21,  933, 1, 5, 2695923, 63487.21, 0, 0.00, 1: 245; 2: 179; 3: 64; 4: 27; 5: 6; 
macrophave_activation, 911, 17, 19,  933, 1, 5, 2600077, 63487.21, 0, 0.00, 1: 235; 2: 192; 3: 67; 4: 22; 5: 5; 
macrophave_activation, 928, 17, 19,  934, 1, 5, 2600094, 63487.21, 167, 0.00, 1: 239; 2: 192; 3: 54; 4: 31; 5: 5; 
macrophave_activation, 701, 17, 20,  934, 1, 5, 2757699, 63487.21, 85, 0.00, 1: 250; 2: 171; 3: 65; 4: 28; 5: 7; 
macrophave_activation, 221, 15, 22,  934, 1, 5, 2658127, 63487.21, 85, 0.00, 1: 247; 2: 177; 3: 65; 4: 22; 5: 10; 
macrophave_activation, 651, 17, 20,  935, 1, 5, 2757923, 63487.21, 138, 0.00, 1: 237; 2: 194; 3: 55; 4: 30; 5: 5; 
macrophave_activation,  98, 17, 20,  935, 1, 5, 2758048, 63487.21, 0, 0.00, 1: 246; 2: 176; 3: 63; 4: 32; 5: 4; 
macrophave_activation, 116, 21, 16,  935, 1, 5, 2696377, 63487.21, 0, 0.00, 1: 244; 2: 179; 3: 64; 4: 29; 5: 5; 
macrophave_activation, 626, 13, 26,  935, 1, 5, 2727183, 63487.21, 0, 0.00, 1: 232; 2: 199; 3: 63; 4: 19; 5: 8; 
macrophave_activation, 594, 19, 17,  936, 1, 5, 2600102, 63487.21, 0, 0.00, 1: 228; 2: 208; 3: 51; 4: 31; 5: 3; 
macrophave_activation, 437, 17, 19,  936, 1, 5, 2600108, 63487.21, 0, 0.00, 1: 232; 2: 199; 3: 59; 4: 26; 5: 5; 
