Seed 1656949570
ARCH 2|F_ID 1|LIMIT 6
before: 
05(206)
Melhor resultado nxn: macrophave_activation, 831, 18, 18,  943, 1, 5, 2616167, 68883.01, 0, 0.00, 1: 225; 2: 207; 3: 57; 4: 27; 5: 5; 
macrophave_activation, 831, 18, 18,  943, 1, 5, 2616167, 68883.01, 0, 0.00, 1: 225; 2: 207; 3: 57; 4: 27; 5: 5; 
macrophave_activation, 103, 16, 21,  945, 1, 5, 2696259, 68883.01, 0, 0.00, 1: 225; 2: 203; 3: 62; 4: 27; 5: 4; 
macrophave_activation,  99, 17, 20,  947, 1, 5, 2757520, 68883.01, 0, 0.00, 1: 229; 2: 196; 3: 61; 4: 32; 5: 3; 
macrophave_activation, 246, 14, 24,  951, 1, 5, 2696092, 68883.01, 0, 0.00, 1: 215; 2: 221; 3: 50; 4: 31; 5: 4; 
macrophave_activation, 601, 12, 29,  951, 1, 5, 2821346, 68883.01, 234, 0.00, 1: 223; 2: 203; 3: 64; 4: 25; 5: 6; 
macrophave_activation, 521, 15, 22,  954, 1, 5, 2658310, 68883.01, 233, 0.00, 1: 220; 2: 209; 3: 57; 4: 30; 5: 5; 
macrophave_activation, 346, 17, 20,  956, 1, 5, 2757979, 68883.01, 182, 0.00, 1: 215; 2: 213; 3: 64; 4: 22; 5: 7; 
macrophave_activation, 911, 17, 19,  956, 1, 5, 2600088, 68883.01, 0, 0.00, 1: 217; 2: 214; 3: 52; 4: 35; 5: 3; 
macrophave_activation, 790, 17, 19,  957, 1, 5, 2600102, 68883.01, 0, 0.00, 1: 219; 2: 205; 3: 66; 4: 25; 5: 6; 
macrophave_activation, 946, 17, 20,  960, 1, 5, 2757769, 68883.01, 0, 0.00, 1: 225; 2: 197; 3: 61; 4: 32; 5: 6; 
macrophave_activation, 381, 13, 25,  960, 1, 5, 2632224, 68883.01, 86, 0.00, 1: 213; 2: 218; 3: 55; 4: 29; 5: 6; 
macrophave_activation, 707, 17, 20,  960, 1, 5, 2758072, 68883.01, 0, 0.00, 1: 220; 2: 206; 3: 59; 4: 29; 5: 7; 
macrophave_activation, 871, 21, 16,  961, 1, 5, 2696346, 68883.01, 0, 0.00, 1: 213; 2: 214; 3: 61; 4: 28; 5: 5; 
macrophave_activation, 171, 21, 16,  961, 1, 5, 2696437, 68883.01, 165, 0.00, 1: 216; 2: 211; 3: 60; 4: 27; 5: 7; 
macrophave_activation, 913, 19, 17,  963, 1, 5, 2600095, 68883.01, 0, 0.00, 1: 205; 2: 230; 3: 51; 4: 30; 5: 5; 
macrophave_activation, 374, 14, 24,  964, 1, 5, 2696337, 68883.01, 0, 0.00, 1: 214; 2: 213; 3: 57; 4: 32; 5: 5; 
macrophave_activation, 128, 17, 20,  964, 1, 5, 2757337, 68883.01, 117, 0.00, 1: 211; 2: 213; 3: 66; 4: 26; 5: 5; 
macrophave_activation, 188, 12, 27,  965, 1, 5, 2616160, 68883.01, 0, 0.00, 1: 220; 2: 200; 3: 67; 4: 26; 5: 8; 
macrophave_activation, 145, 16, 21,  965, 1, 5, 2696367, 68883.01, 1, 0.00, 1: 229; 2: 184; 3: 70; 4: 32; 5: 6; 
macrophave_activation, 504, 14, 23,  966, 1, 5, 2635731, 68883.01, 96, 0.00, 1: 209; 2: 218; 3: 60; 4: 29; 5: 5; 
macrophave_activation, 174, 17, 20,  967, 1, 5, 2758083, 68883.01, 0, 0.00, 1: 217; 2: 209; 3: 58; 4: 27; 5: 10; 
macrophave_activation, 853, 14, 24,  968, 1, 5, 2696055, 68883.01, 0, 0.00, 1: 210; 2: 212; 3: 65; 4: 31; 5: 3; 
macrophave_activation, 410, 15, 22,  968, 1, 5, 2658161, 68883.01, 182, 0.00, 1: 207; 2: 220; 3: 64; 4: 21; 5: 9; 
macrophave_activation, 156, 17, 20,  968, 1, 5, 2757760, 68883.01, 0, 0.00, 1: 212; 2: 201; 3: 81; 4: 24; 5: 3; 
macrophave_activation, 563, 19, 17,  968, 1, 5, 2600107, 68883.01, 0, 0.00, 1: 214; 2: 208; 3: 64; 4: 29; 5: 6; 
macrophave_activation, 538, 15, 22,  969, 1, 5, 2658025, 68883.01, 182, 0.00, 1: 206; 2: 217; 3: 64; 4: 33; 5: 1; 
macrophave_activation, 926, 13, 26,  969, 1, 5, 2727319, 68883.01, 0, 0.00, 1: 216; 2: 213; 3: 55; 4: 23; 5: 14; 
macrophave_activation, 434, 17, 19,  969, 1, 5, 2600101, 68883.01, 0, 0.00, 1: 206; 2: 222; 3: 59; 4: 28; 5: 6; 
macrophave_activation, 849, 18, 18,  969, 1, 5, 2616127, 68883.01, 0, 0.00, 1: 220; 2: 199; 3: 60; 4: 39; 5: 3; 
macrophave_activation, 125, 14, 24,  969, 1, 5, 2696150, 68883.01, 86, 0.00, 1: 210; 2: 215; 3: 60; 4: 31; 5: 5; 
macrophave_activation, 280, 18, 18,  970, 1, 5, 2616158, 68883.01, 160, 0.00, 1: 216; 2: 204; 3: 64; 4: 31; 5: 6; 
macrophave_activation, 159, 16, 21,  970, 1, 5, 2696521, 68883.01, 0, 0.00, 1: 204; 2: 228; 3: 53; 4: 29; 5: 7; 
macrophave_activation, 722, 17, 20,  970, 1, 5, 2757747, 68883.01, 0, 0.00, 1: 203; 2: 220; 3: 70; 4: 23; 5: 5; 
macrophave_activation,  50, 15, 22,  971, 1, 5, 2658239, 68883.01, 0, 0.00, 1: 215; 2: 205; 3: 64; 4: 31; 5: 6; 
macrophave_activation, 786, 13, 25,  971, 1, 5, 2632208, 68883.01, 0, 0.00, 1: 209; 2: 216; 3: 60; 4: 30; 5: 6; 
macrophave_activation, 764, 17, 19,  971, 1, 5, 2600107, 68883.01, 0, 0.00, 1: 209; 2: 220; 3: 53; 4: 32; 5: 7; 
macrophave_activation, 881, 17, 20,  971, 1, 5, 2757775, 68883.01, 1, 0.00, 1: 203; 2: 226; 3: 60; 4: 24; 5: 8; 
macrophave_activation,  16, 16, 21,  972, 1, 5, 2696295, 68883.01, 144, 0.00, 1: 204; 2: 220; 3: 64; 4: 29; 5: 4; 
macrophave_activation, 467, 18, 18,  972, 1, 5, 2616107, 68883.01, 0, 0.00, 1: 217; 2: 200; 3: 66; 4: 33; 5: 5; 
macrophave_activation, 826, 19, 17,  972, 1, 5, 2600137, 68883.01, 182, 0.00, 1: 203; 2: 228; 3: 54; 4: 29; 5: 7; 
macrophave_activation, 861, 18, 18,  972, 1, 5, 2616145, 68883.01, 86, 0.00, 1: 206; 2: 216; 3: 65; 4: 31; 5: 3; 
macrophave_activation, 242, 17, 20,  972, 1, 5, 2757576, 68883.01, 0, 0.00, 1: 204; 2: 221; 3: 61; 4: 32; 5: 3; 
macrophave_activation, 287, 16, 21,  973, 1, 5, 2696276, 68883.01, 0, 0.00, 1: 212; 2: 211; 3: 59; 4: 33; 5: 6; 
macrophave_activation, 140, 19, 17,  973, 1, 5, 2600105, 68883.01, 0, 0.00, 1: 220; 2: 203; 3: 53; 4: 37; 5: 8; 
macrophave_activation, 939, 18, 18,  973, 1, 5, 2616171, 68883.01, 165, 0.00, 1: 211; 2: 213; 3: 58; 4: 33; 5: 6; 
macrophave_activation, 551, 17, 20,  974, 1, 5, 2757815, 68883.01, 0, 0.00, 1: 212; 2: 209; 3: 63; 4: 30; 5: 7; 
macrophave_activation, 311, 15, 22,  974, 1, 5, 2658267, 68883.01, 0, 0.00, 1: 211; 2: 210; 3: 66; 4: 25; 5: 9; 
macrophave_activation, 582, 17, 20,  974, 1, 5, 2757860, 68883.01, 0, 0.00, 1: 210; 2: 215; 3: 56; 4: 34; 5: 6; 
macrophave_activation, 482, 15, 22,  974, 1, 5, 2658054, 68883.01, 0, 0.00, 1: 220; 2: 194; 3: 68; 4: 33; 5: 6; 
macrophave_activation, 458, 19, 17,  975, 1, 5, 2600109, 68883.01, 182, 0.00, 1: 204; 2: 224; 3: 57; 4: 28; 5: 8; 
macrophave_activation, 465, 17, 20,  975, 1, 5, 2757937, 68883.01, 0, 0.00, 1: 214; 2: 205; 3: 65; 4: 29; 5: 8; 
macrophave_activation, 841, 13, 26,  975, 1, 5, 2727148, 68883.01, 236, 0.00, 1: 211; 2: 209; 3: 65; 4: 29; 5: 7; 
macrophave_activation, 600, 13, 26,  975, 1, 5, 2727152, 68883.01, 32, 0.00, 1: 207; 2: 220; 3: 57; 4: 28; 5: 9; 
macrophave_activation, 420, 14, 23,  975, 1, 5, 2635731, 68883.01, 0, 0.00, 1: 219; 2: 196; 3: 71; 4: 24; 5: 11; 
macrophave_activation, 324, 15, 22,  976, 1, 5, 2658079, 68883.01, 0, 0.00, 1: 206; 2: 213; 3: 69; 4: 28; 5: 5; 
macrophave_activation, 651, 17, 20,  976, 1, 5, 2757879, 68883.01, 165, 0.00, 1: 195; 2: 230; 3: 66; 4: 27; 5: 3; 
macrophave_activation, 475, 17, 19,  977, 1, 5, 2600108, 68883.01, 165, 0.00, 1: 199; 2: 225; 3: 65; 4: 27; 5: 5; 
macrophave_activation, 675, 17, 19,  977, 1, 5, 2600073, 68883.01, 0, 0.00, 1: 202; 2: 216; 3: 73; 4: 26; 5: 4; 
macrophave_activation, 838, 19, 17,  978, 1, 5, 2600101, 68883.01, 0, 0.00, 1: 211; 2: 203; 3: 73; 4: 28; 5: 6; 
macrophave_activation, 232, 19, 17,  978, 1, 5, 2600102, 68883.01, 64, 0.00, 1: 202; 2: 219; 3: 67; 4: 28; 5: 5; 
macrophave_activation, 854, 16, 21,  978, 1, 5, 2696243, 68883.01, 0, 0.00, 1: 204; 2: 216; 3: 69; 4: 25; 5: 7; 
macrophave_activation, 994, 14, 24,  978, 1, 5, 2696187, 68883.01, 0, 0.00, 1: 202; 2: 229; 3: 51; 4: 30; 5: 9; 
macrophave_activation, 658, 16, 21,  978, 1, 5, 2696278, 68883.01, 0, 0.00, 1: 206; 2: 217; 3: 62; 4: 28; 5: 8; 
macrophave_activation, 839, 17, 19,  978, 1, 5, 2600095, 68883.01, 0, 0.00, 1: 205; 2: 216; 3: 62; 4: 35; 5: 3; 
